Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,45.58,45.52,819019,46,45.25,45.55,14743,41.44,41.39,819019,41.82,41.14,41.42,,
2023-03-02,45.25,43.67,1795361,45.25,43.12,43.74,25392,41.14,39.71,1795361,41.14,39.21,39.77,,
2023-03-03,43.9,44.06,952174,44.29,43.39,43.96,17385,39.92,40.06,952174,40.27,39.45,39.97,,
2023-03-06,44.03,44.02,1058637,44.24,43.66,43.98,16752,40.03,40.02,1058637,40.22,39.7,39.99,,
2023-03-07,43.67,42.28,1006826,43.77,42.24,42.6,13373,39.71,38.44,1006826,39.8,38.41,38.73,,
2023-03-08,42.3,41,2088376,42.55,40.88,41.35,29737,38.46,37.28,2088376,38.69,37.17,37.6,,
2023-03-09,40.34,37.94,2461118,40.42,37.8,38.5,35902,36.68,34.5,2461118,36.75,34.37,35.01,,
2023-03-10,36.13,36.63,4532140,38.11,34.52,36.2,61861,32.85,33.31,4532140,34.65,31.39,32.91,,
2023-03-13,34.69,36.04,6528760,39.2,31.91,36.22,85006,31.54,32.77,6528760,35.64,29.01,32.93,,
2023-03-14,38.29,37.62,3272264,39.37,36.68,37.64,50857,34.81,34.21,3272264,35.8,33.35,34.22,,
2023-03-15,36.27,36.58,2702688,37.3,35.04,36.6,40408,32.98,33.26,2702688,33.91,31.86,33.28,,
2023-03-16,35.93,37.84,2749020,38.96,35.4,37.35,44085,32.67,34.41,2749020,35.42,32.19,33.96,,
2023-03-17,37.26,35.66,4079156,37.39,35.29,35.94,47538,33.88,32.42,4079156,34,32.09,32.68,,
2023-03-20,36.63,35.68,3178003,37.39,35.36,36.03,44711,33.31,32.44,3178003,34,32.15,32.76,,
2023-03-21,37.26,38.26,2568831,38.44,36.7,37.86,31521,33.88,34.79,2568831,34.95,33.37,34.42,,
2023-03-22,38.31,35.8,2658057,38.34,35.56,36.96,38238,34.83,32.55,2658057,34.86,32.33,33.61,,
2023-03-23,36.04,33.07,4464586,36.58,32.88,34.13,66280,32.77,30.07,4464586,33.26,29.9,31.03,,
2023-03-24,32.22,34.38,3871036,34.75,31.5,33.58,52911,29.3,31.26,3871036,31.6,28.64,30.53,,
2023-03-27,35.62,34.63,1662351,35.7,34.59,34.89,26033,32.39,31.49,1662351,32.46,31.45,31.72,,
2023-03-28,34.35,34.54,1213077,34.82,33.93,34.4,17929,31.23,31.41,1213077,31.66,30.85,31.28,,
2023-03-29,35.26,34.91,994189,35.37,34.43,34.87,16844,32.06,31.74,994189,32.16,31.3,31.71,,
2023-03-30,35.51,33.66,1552826,35.63,33.53,33.95,23069,32.29,30.6,1552826,32.4,30.49,30.87,,
2023-03-31,34.19,34.21,1298209,34.56,33.87,34.18,16104,31.09,31.1,1298209,31.42,30.8,31.08,,
