Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,9.1,8.77,2757210,9.14,8.75,8.873,24609,9.1,8.77,2757210,9.14,8.75,8.873,,
2023-03-02,8.59,9.43,3833647,9.58,8.52,9.259,31017,8.59,9.43,3833647,9.58,8.52,9.259,,
2023-03-03,9.5,9.84,3925721,10,9.22,9.698,33927,9.5,9.84,3925721,10,9.22,9.698,,
2023-03-06,9.83,9.16,3110776,9.9,9.16,9.431,28909,9.83,9.16,3110776,9.9,9.16,9.431,,
2023-03-07,9.12,9.02,2999702,9.3,8.97,9.082,24374,9.12,9.02,2999702,9.3,8.97,9.082,,
2023-03-08,9.019,8.899,2396374,9.169,8.849,8.962,20953,9.019,8.899,2396374,9.169,8.849,8.962,,
2023-03-09,8.869,8.769,5676353,9.009,8.539,8.788,36967,8.869,8.769,5676353,9.009,8.539,8.788,,
2023-03-10,8.714,8.304,6591293,8.724,8.014,8.266,51597,8.714,8.304,6591293,8.724,8.014,8.266,,
2023-03-13,8.304,8.734,6289321,9.22,8.219,8.768,53123,8.304,8.734,6289321,9.22,8.219,8.768,,
2023-03-14,8.994,8.734,3765605,9.215,8.684,8.905,33375,8.994,8.734,3765605,9.215,8.684,8.905,,
2023-03-15,8.504,9.065,4519074,9.085,8.414,8.861,42106,8.504,9.065,4519074,9.085,8.414,8.861,,
2023-03-16,8.974,8.844,3749515,9.185,8.644,8.939,34302,8.974,8.844,3749515,9.185,8.644,8.939,,
2023-03-17,8.824,8.304,6701933,8.824,8.204,8.358,34445,8.824,8.304,6701933,8.824,8.204,8.358,,
2023-03-20,8.324,8.364,3527962,8.694,8.144,8.385,31806,8.324,8.364,3527962,8.694,8.144,8.385,,
2023-03-21,8.514,9.125,4379227,9.235,8.474,9.04,32355,8.514,9.125,4379227,9.235,8.474,9.04,,
2023-03-22,9.155,8.894,3673331,9.43,8.809,9.068,31609,9.155,8.894,3673331,9.43,8.809,9.068,,
2023-03-23,9.075,9.245,4926618,9.775,9.035,9.416,48329,9.075,9.245,4926618,9.775,9.035,9.416,,
2023-03-24,9.155,9.615,3549690,9.705,9.015,9.473,31753,9.155,9.615,3549690,9.705,9.015,9.473,,
2023-03-27,9.695,9.325,3252079,9.84,9.11,9.368,31630,9.695,9.325,3252079,9.84,9.11,9.368,,
2023-03-28,9.275,9.135,1915205,9.335,9.065,9.174,20311,9.275,9.135,1915205,9.335,9.065,9.174,,
2023-03-29,9.345,9.585,2325264,9.645,9.205,9.503,23022,9.345,9.585,2325264,9.645,9.205,9.503,,
2023-03-30,9.774,9.764,2607466,9.894,9.584,9.737,25123,9.774,9.764,2607466,9.894,9.584,9.737,,
2023-03-31,10.71,11.58,11767450,11.79,10.36,11.27,78846,10.71,11.58,11767450,11.79,10.36,11.27,,
