Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,8.06,8.285,15109,8.4,8,8.132,293,8.06,8.285,15109,8.4,8,8.132,,
2023-03-02,8.15,8.99,15951,9,8.06,8.623,420,8.15,8.99,15951,9,8.06,8.623,,
2023-03-03,8.73,8.7,9794,9.07,8.35,8.813,404,8.73,8.7,9794,9.07,8.35,8.813,,
2023-03-06,8.53,8.45,20896,9.475,7.3,8.684,542,8.53,8.45,20896,9.475,7.3,8.684,,
2023-03-07,8.52,8.72,26097,9.18,8.2,8.724,551,8.52,8.72,26097,9.18,8.2,8.724,,
2023-03-08,8.509,7.379,43684,8.819,7.379,8.252,807,8.509,7.379,43684,8.819,7.379,8.252,,
2023-03-09,7.199,7.169,42877,7.619,6.679,7.006,595,7.199,7.169,42877,7.619,6.679,7.006,,
2023-03-10,7.704,6.343,15639,7.704,6.058,6.929,221,7.704,6.343,15639,7.704,6.058,6.929,,
2023-03-13,6.103,7.274,52988,7.654,6.023,6.604,612,6.103,7.274,52988,7.654,6.023,6.604,,
2023-03-14,6.753,6.883,17617,7.344,6.623,7.072,328,6.753,6.883,17617,7.344,6.623,7.072,,
2023-03-15,6.983,6.913,9052,7.134,6.393,6.936,161,6.983,6.913,9052,7.134,6.393,6.936,,
2023-03-16,6.943,7.564,2702,7.564,6.923,7.134,81,6.943,7.564,2702,7.564,6.923,7.134,,
2023-03-17,7.864,7.434,3518,7.864,7.404,7.515,94,7.864,7.434,3518,7.864,7.404,7.515,,
2023-03-20,7.454,7.054,2457,8.054,7.054,7.43,91,7.454,7.054,2457,8.054,7.054,7.43,,
2023-03-21,6.943,6.713,26708,7.534,6.253,7.115,583,6.943,6.713,26708,7.534,6.253,7.115,,
2023-03-22,6.753,7.944,5405,7.944,6.753,7.403,137,6.753,7.944,5405,7.944,6.753,7.403,,
2023-03-23,7.604,6.773,5657,7.804,6.763,7.404,190,7.604,6.773,5657,7.804,6.763,7.404,,
2023-03-24,7.094,7.484,4110,7.534,7.094,7.174,113,7.094,7.484,4110,7.534,7.094,7.174,,
2023-03-27,7.354,7.424,30837,8.204,7.014,7.597,446,7.354,7.424,30837,8.204,7.014,7.597,,
2023-03-28,7.344,7.564,23721,8.264,7.195,7.664,528,7.344,7.564,23721,8.264,7.195,7.664,,
2023-03-29,7.564,7.854,33047,7.854,7.003,7.433,551,7.564,7.854,33047,7.854,7.003,7.433,,
2023-03-30,7.653,7.333,36255,8.203,7.103,7.566,576,7.653,7.333,36255,8.203,7.103,7.566,,
2023-03-31,7.253,8.058,37335,8.253,7.123,7.45,668,7.253,8.058,37335,8.253,7.123,7.45,,
