Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.13,2.03,1129215,2.13,1.98,2.023,6639,2.13,2.03,1129215,2.13,1.98,2.023,,
2023-03-02,1.96,2.06,1041611,2.11,1.96,2.044,5071,1.96,2.06,1041611,2.11,1.96,2.044,,
2023-03-03,2.08,2.1,612326,2.135,2.05,2.104,3593,2.08,2.1,612326,2.135,2.05,2.104,,
2023-03-06,2.09,2.01,582938,2.119,2,2.039,3986,2.09,2.01,582938,2.119,2,2.039,,
2023-03-07,2,2.02,675947,2.1,1.99,2.052,4422,2,2.02,675947,2.1,1.99,2.052,,
2023-03-08,2.04,2.04,1067008,2.08,1.99,2.028,5714,2.04,2.04,1067008,2.08,1.99,2.028,,
2023-03-09,2.02,1.99,852666,2.065,1.98,2.009,5473,2.02,1.99,852666,2.065,1.98,2.009,,
2023-03-10,1.991,1.991,1091391,2.066,1.911,1.992,6211,1.991,1.991,1091391,2.066,1.911,1.992,,
2023-03-13,1.961,2.091,1207226,2.131,1.931,2.071,6223,1.961,2.091,1207226,2.131,1.931,2.071,,
2023-03-14,2.141,2.061,968407,2.171,2.041,2.073,6266,2.141,2.061,968407,2.171,2.041,2.073,,
2023-03-15,2.031,2.011,2182930,2.071,1.841,1.942,9223,2.031,2.011,2182930,2.071,1.841,1.942,,
2023-03-16,2.001,1.961,715579,2.041,1.951,1.96,3595,2.001,1.961,715579,2.041,1.951,1.96,,
2023-03-17,1.701,1.746,3393667,1.861,1.631,1.726,9943,1.701,1.746,3393667,1.861,1.631,1.726,,
2023-03-20,1.721,1.851,1519897,1.866,1.691,1.775,6396,1.721,1.851,1519897,1.866,1.691,1.775,,
2023-03-21,1.901,2.021,1372436,2.051,1.861,1.995,7763,1.901,2.021,1372436,2.051,1.861,1.995,,
2023-03-22,1.991,1.951,1090705,2.037,1.951,1.994,6860,1.991,1.951,1090705,2.037,1.951,1.994,,
2023-03-23,2.051,2.031,2113055,2.181,1.961,2.05,9284,2.051,2.031,2113055,2.181,1.961,2.05,,
2023-03-24,2.031,2.101,1677266,2.131,1.991,2.084,8610,2.031,2.101,1677266,2.131,1.991,2.084,,
2023-03-27,2.101,1.956,1339808,2.101,1.891,1.964,6519,2.101,1.956,1339808,2.101,1.891,1.964,,
2023-03-28,1.981,1.931,394175,2.001,1.931,1.949,1757,1.981,1.931,394175,2.001,1.931,1.949,,
2023-03-29,1.961,1.941,744172,1.971,1.861,1.919,3952,1.961,1.941,744172,1.971,1.861,1.919,,
2023-03-30,1.961,1.921,474700,2.001,1.921,1.956,2734,1.961,1.921,474700,2.001,1.921,1.956,,
2023-03-31,1.941,1.981,562598,2.011,1.911,1.977,3268,1.941,1.981,562598,2.011,1.911,1.977,,
