Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,14.08,14.12,2393,14.12,14.08,14.12,117,12.72,12.76,2393,12.76,12.72,12.76,,
2023-03-03,14.17,14.08,26034,14.22,14.08,14.19,158,12.8,12.72,26034,12.85,12.72,12.82,,
2023-03-06,14.25,14.17,2959,14.26,14.12,14.22,101,12.87,12.8,2959,12.88,12.76,12.85,,
2023-03-07,14.21,14.18,5679,14.21,14.12,14.17,180,12.84,12.81,5679,12.84,12.76,12.8,,
2023-03-08,14.18,14.27,5855,14.3,14.12,14.24,115,12.81,12.89,5855,12.92,12.76,12.87,,
2023-03-09,14.31,14.13,6408,14.31,14.12,14.17,143,12.93,12.77,6408,12.93,12.76,12.8,,
2023-03-10,14.13,14.18,12017,14.41,13.82,14.05,179,12.77,12.81,12017,13.02,12.49,12.69,,
2023-03-13,14.02,13.58,16195,14.02,13.51,13.82,253,12.67,12.27,16195,12.67,12.21,12.49,,
2023-03-14,14.25,13.81,21665,14.25,13.81,13.95,295,12.87,12.48,21665,12.87,12.48,12.6,,
2023-03-15,13.9,13.95,4033,13.99,13.9,13.95,136,12.56,12.6,4033,12.64,12.56,12.6,,
2023-03-16,13.81,13.62,11851,14.08,13.59,13.82,170,12.48,12.3,11851,12.72,12.28,12.49,,
2023-03-17,13.61,13.52,13263,13.73,13.51,13.56,244,12.3,12.21,13263,12.4,12.21,12.25,,
2023-03-20,13.86,13.54,7324,13.99,13.39,13.82,153,12.52,12.23,7324,12.64,12.1,12.49,,
2023-03-21,13.71,13.77,1571,13.77,13.71,13.77,74,12.39,12.44,1571,12.44,12.39,12.44,,
2023-03-22,13.72,13.43,5657,13.76,13.41,13.65,64,12.4,12.13,5657,12.43,12.12,12.33,,
2023-03-23,13.37,13.45,953,13.45,13.37,13.45,43,12.08,12.15,953,12.15,12.08,12.15,,
2023-03-24,13.7,13.64,2534,13.7,13.56,13.58,73,12.38,12.32,2534,12.38,12.25,12.27,,
2023-03-27,13.69,13.66,1491,13.69,13.36,13.57,160,12.37,12.34,1491,12.37,12.07,12.26,,
2023-03-28,13.58,13.56,1459,13.77,13.56,13.61,109,12.27,12.25,1459,12.44,12.25,12.3,,
2023-03-29,13.63,13.7,4990,13.87,13.42,13.74,128,12.31,12.38,4990,12.53,12.12,12.41,,
2023-03-30,13.71,13.54,2785,13.91,13.52,13.71,61,12.39,12.23,2785,12.57,12.21,12.39,,
2023-03-31,13.74,13.64,4175,13.85,13.64,13.75,258,12.41,12.32,4175,12.51,12.32,12.42,,
