Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,8.85,9.12,1287183,9.185,8.85,9.07,15898,8.85,9.12,1287183,9.185,8.85,9.07,,
2023-03-02,9.04,9.52,1235024,9.625,8.98,9.426,12611,9.04,9.52,1235024,9.625,8.98,9.426,,
2023-03-03,9.47,9.89,2216639,10.12,9.41,9.905,15515,9.47,9.89,2216639,10.12,9.41,9.905,,
2023-03-06,9.83,9.66,1220144,9.89,9.525,9.668,11918,9.83,9.66,1220144,9.89,9.525,9.668,,
2023-03-07,9.65,9.33,1613675,9.68,9.31,9.395,12692,9.65,9.33,1613675,9.68,9.31,9.395,,
2023-03-08,9.329,9.459,1795978,9.489,9.279,9.398,14265,9.329,9.459,1795978,9.489,9.279,9.398,,
2023-03-09,9.509,8.949,1905272,9.609,8.909,9.126,14701,9.509,8.949,1905272,9.609,8.909,9.126,,
2023-03-10,8.984,8.834,1879653,9.21,8.754,8.913,17218,8.984,8.834,1879653,9.21,8.754,8.913,,
2023-03-13,8.454,8.174,1520440,8.704,8.134,8.304,13714,8.454,8.174,1520440,8.704,8.134,8.304,,
2023-03-14,8.274,8.124,1958300,8.494,7.989,8.207,18673,8.274,8.124,1958300,8.494,7.989,8.207,,
2023-03-15,7.694,7.294,2855633,7.824,7.209,7.467,24380,7.694,7.294,2855633,7.824,7.209,7.467,,
2023-03-16,7.034,7.404,1719710,7.444,6.863,7.255,17725,7.034,7.404,1719710,7.444,6.863,7.255,,
2023-03-17,7.314,7.234,4066790,7.394,7.069,7.217,17713,7.314,7.234,4066790,7.394,7.069,7.217,,
2023-03-20,7.244,7.384,1496318,7.569,7.184,7.408,14024,7.244,7.384,1496318,7.569,7.184,7.408,,
2023-03-21,7.654,7.544,1927749,7.834,7.504,7.593,16801,7.654,7.544,1927749,7.834,7.504,7.593,,
2023-03-22,7.534,7.114,1497744,7.589,7.104,7.307,14116,7.534,7.114,1497744,7.589,7.104,7.307,,
2023-03-23,7.184,6.823,2274238,7.294,6.788,6.938,16857,7.184,6.823,2274238,7.294,6.788,6.938,,
2023-03-24,6.623,6.843,1336222,6.983,6.543,6.838,12469,6.623,6.843,1336222,6.983,6.543,6.838,,
2023-03-27,7.094,7.294,1659909,7.349,6.903,7.217,14043,7.094,7.294,1659909,7.349,6.903,7.217,,
2023-03-28,7.204,7.364,1350067,7.514,7.204,7.397,10532,7.204,7.364,1350067,7.514,7.204,7.397,,
2023-03-29,7.534,7.404,1831567,7.564,7.334,7.402,15739,7.534,7.404,1831567,7.564,7.334,7.402,,
2023-03-30,7.573,7.153,1476353,7.583,7.063,7.197,12440,7.573,7.153,1476353,7.583,7.063,7.197,,
2023-03-31,7.213,7.193,1453918,7.283,7.103,7.188,11725,7.213,7.193,1453918,7.283,7.103,7.188,,
