Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,20.83,20.89,140034,21.09,20.66,20.78,381,16.9,16.95,140034,17.11,16.76,16.86,,
2023-03-02,20.93,20.66,35424,20.95,20.5,20.63,326,16.98,16.76,35424,17,16.63,16.74,,
2023-03-03,20.72,20.5,35485,20.72,20.5,20.6,290,16.81,16.63,35485,16.81,16.63,16.71,,
2023-03-06,20.5,20.55,11900,20.68,20.4,20.49,124,16.63,16.67,11900,16.78,16.55,16.63,,
2023-03-07,20.7,20.45,19154,20.88,20.3,20.54,120,16.8,16.59,19154,16.94,16.47,16.67,,
2023-03-08,20.59,20.5,13505,20.6,20.3,20.4,113,16.71,16.63,13505,16.71,16.47,16.55,,
2023-03-09,20.03,20,16513,20.4,19.8,20.01,172,16.25,16.23,16513,16.55,16.07,16.24,,
2023-03-10,19.92,19.44,78865,20.17,18.9,19.28,545,16.16,15.77,78865,16.37,15.34,15.64,,
2023-03-13,18.91,18.26,94744,18.91,17.7,18.38,821,15.34,14.82,94744,15.34,14.36,14.91,,
2023-03-14,18.74,18.91,29974,19.25,18.07,18.85,210,15.21,15.34,29974,15.62,14.66,15.29,,
2023-03-15,18.71,18.32,56014,18.84,18.21,18.33,552,15.18,14.86,56014,15.29,14.78,14.87,,
2023-03-16,18.31,18.53,29895,18.71,18.02,18.29,400,14.86,15.04,29895,15.18,14.62,14.84,,
2023-03-17,18.36,17.67,78379,18.59,16.03,17.2,743,14.9,14.34,78379,15.08,13.01,13.96,,
2023-03-20,17.74,17.77,31692,17.96,17.34,17.63,286,14.39,14.42,31692,14.57,14.07,14.31,,
2023-03-21,18.01,18.08,5897,18.17,17.61,17.89,63,14.61,14.67,5897,14.74,14.29,14.52,,
2023-03-22,17.76,17.58,83336,17.77,17.04,17.42,636,14.41,14.26,83336,14.42,13.83,14.13,,
2023-03-23,17.48,17.51,45710,17.59,16.56,17.25,346,14.18,14.21,45710,14.27,13.44,14,,
2023-03-24,17.29,17.01,87365,17.51,16.41,16.85,639,14.03,13.8,87365,14.21,13.32,13.67,,
2023-03-27,17.01,17.24,24583,17.35,17.01,17.06,112,13.8,13.99,24583,14.08,13.8,13.84,,
2023-03-28,17.41,17.26,15190,17.51,17.13,17.3,129,14.13,14,15190,14.21,13.9,14.04,,
2023-03-29,17.48,18.24,13304,18.54,17.48,18,102,14.18,14.8,13304,15.04,14.18,14.61,,
2023-03-30,18.2,17.99,7221,18.2,17.76,18.01,110,14.77,14.6,7221,14.77,14.41,14.61,,
2023-03-31,18.31,17.62,34196,18.31,17.62,17.8,443,14.86,14.3,34196,14.86,14.3,14.44,,
