Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.8,22.94,2374,23.5,22.5,22.83,23,19.17,19.29,2374,19.76,18.92,19.2,,
2023-03-02,22.91,22.75,6434,22.91,22.73,22.77,44,19.27,19.13,6434,19.27,19.12,19.15,,
2023-03-03,22.75,22.7,11795,22.75,22.26,22.5,113,19.13,19.09,11795,19.13,18.72,18.92,,
2023-03-06,22.73,22.65,7638,22.75,22.3,22.46,60,19.12,19.05,7638,19.13,18.75,18.89,,
2023-03-07,22.52,22.26,9171,22.94,22.13,22.35,73,18.94,18.72,9171,19.29,18.61,18.8,,
2023-03-08,22.2,22.45,9550,22.95,22.2,22.4,52,18.67,18.88,9550,19.3,18.67,18.84,,
2023-03-09,22.21,21.7,8282,22.4,21.7,21.97,88,18.68,18.25,8282,18.84,18.25,18.48,,
2023-03-10,21.34,20.14,40003,22.01,18.07,20.1,227,17.95,16.94,40003,18.51,15.2,16.9,,
2023-03-13,20.01,18.13,28702,20.41,18.12,18.78,204,16.83,15.25,28702,17.16,15.24,15.79,,
2023-03-14,18.31,20.53,8812,21.51,18.31,20.61,91,15.4,17.27,8812,18.09,15.4,17.33,,
2023-03-15,22.01,20.64,6303,22.01,19.81,21.09,49,18.51,17.36,6303,18.51,16.66,17.74,,
2023-03-16,20.26,20.28,5136,21.25,20.06,20.56,52,17.04,17.06,5136,17.87,16.87,17.29,,
2023-03-17,20.2,20.76,3201,21.93,18.44,20.26,49,16.99,17.46,3201,18.44,15.51,17.04,,
2023-03-20,19.61,19.33,3203,22.01,19.26,20.2,37,16.49,16.26,3203,18.51,16.2,16.99,,
2023-03-21,19.3,19.01,4298,19.3,18.26,18.92,65,16.23,15.99,4298,16.23,15.36,15.91,,
2023-03-22,19.14,20.16,11120,20.88,18.91,19.51,134,16.1,16.95,11120,17.56,15.9,16.41,,
2023-03-23,20.09,19.8,5069,20.76,19.77,20.23,33,16.9,16.65,5069,17.46,16.63,17.01,,
2023-03-24,19.79,19.65,8120,20.85,19.51,19.75,81,16.64,16.53,8120,17.53,16.41,16.61,,
2023-03-27,20.1,20.51,8716,20.88,19.65,20.18,74,16.9,17.25,8716,17.56,16.53,16.97,,
2023-03-28,20.09,20.46,4283,21.25,20.09,20.61,44,16.9,17.21,4283,17.87,16.9,17.33,,
2023-03-29,20.51,20.71,5143,20.99,19.65,20.61,32,17.25,17.42,5143,17.65,16.53,17.33,,
2023-03-30,20.17,20.51,1329,21.11,20.17,20.35,11,16.96,17.25,1329,17.75,16.96,17.11,,
2023-03-31,21.24,21.23,5726,21.53,20.54,21.07,62,17.86,17.85,5726,18.11,17.27,17.72,,
