Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.061,2.07,4597,2.12,2.061,2.097,98,2.061,2.07,4597,2.12,2.061,2.097,,
2023-03-02,2.12,2.1,1082,2.12,2.1,2.105,40,2.12,2.1,1082,2.12,2.1,2.105,,
2023-03-03,2.1,2.11,5740,2.12,2.1,2.107,57,2.1,2.11,5740,2.12,2.1,2.107,,
2023-03-06,2.14,2.16,23913,2.16,2.08,2.139,178,2.14,2.16,23913,2.16,2.08,2.139,,
2023-03-07,2.15,2.183,6440,2.25,2.15,2.202,121,2.15,2.183,6440,2.25,2.15,2.202,,
2023-03-08,2.156,2.15,3453,2.16,2.14,2.15,70,2.156,2.15,3453,2.16,2.14,2.15,,
2023-03-09,2.1,2.18,14545,2.22,2.1,2.183,191,2.1,2.18,14545,2.22,2.1,2.183,,
2023-03-10,2.156,2.141,4413,2.231,2.108,2.16,126,2.156,2.141,4413,2.231,2.108,2.16,,
2023-03-13,2.121,2.121,3238,2.161,2.121,2.139,143,2.121,2.121,3238,2.161,2.121,2.139,,
2023-03-14,2.121,2.161,19456,2.231,2.121,2.16,244,2.121,2.161,19456,2.231,2.121,2.16,,
2023-03-15,2.131,2.091,16561,2.141,2.091,2.114,196,2.131,2.091,16561,2.141,2.091,2.114,,
2023-03-16,2.061,2.121,5028,2.121,2.061,2.087,113,2.061,2.121,5028,2.121,2.061,2.087,,
2023-03-17,2.131,2.031,16053,2.131,2.031,2.053,216,2.131,2.031,16053,2.131,2.031,2.053,,
2023-03-20,2.051,2.021,10336,2.081,2.021,2.055,137,2.051,2.021,10336,2.081,2.021,2.055,,
2023-03-21,2.041,2.061,7333,2.091,2.041,2.05,154,2.041,2.061,7333,2.091,2.041,2.05,,
2023-03-22,2.062,2.041,3415,2.062,2.041,2.05,183,2.062,2.041,3415,2.062,2.041,2.05,,
2023-03-23,2.051,1.951,95496,2.081,1.951,1.995,834,2.051,1.951,95496,2.081,1.951,1.995,,
2023-03-24,1.991,2.041,12694,2.051,1.967,2.024,79,1.991,2.041,12694,2.051,1.967,2.024,,
2023-03-27,2.041,2.021,5126,2.051,2.021,2.03,105,2.041,2.021,5126,2.051,2.021,2.03,,
2023-03-28,2.001,2.011,1831,2.011,2.001,2.03,86,2.001,2.011,1831,2.011,2.001,2.03,,
2023-03-29,2.011,2.011,20039,2.041,2.001,2.019,237,2.011,2.011,20039,2.041,2.001,2.019,,
2023-03-31,2.031,2.011,10899,2.031,1.991,2.009,148,2.031,2.011,10899,2.031,1.991,2.009,,
