Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,66.43,65.04,890382,66.7,64.51,65.19,16369,66.43,65.04,890382,66.7,64.51,65.19,,
2023-03-02,64.28,64.94,789529,65.2,64.03,64.74,15073,64.28,64.94,789529,65.2,64.03,64.74,,
2023-03-03,65.58,66.66,869950,67.7,64.95,66.89,16950,65.58,66.66,869950,67.7,64.95,66.89,,
2023-03-06,67.2,66.4,1025982,68.19,66.38,66.89,16120,67.2,66.4,1025982,68.19,66.38,66.89,,
2023-03-07,66.24,63.71,740200,66.43,63.71,64.63,12835,66.24,63.71,740200,66.43,63.71,64.63,,
2023-03-08,64.02,63.5,558920,64.15,62.5,63.35,11278,64.02,63.5,558920,64.15,62.5,63.35,,
2023-03-09,63.37,61.48,950771,63.85,61.37,62,15198,63.37,61.48,950771,63.85,61.37,62,,
2023-03-10,61.29,59.21,838491,61.68,58.83,59.72,16792,61.29,59.21,838491,61.68,58.83,59.72,,
2023-03-13,57.79,57.31,900207,58.31,56.4,57.6,17532,57.79,57.31,900207,58.31,56.4,57.6,,
2023-03-14,58.88,57.96,716569,59.03,57.27,57.93,12084,58.88,57.96,716569,59.03,57.27,57.93,,
2023-03-15,56.12,56.54,681054,57.03,55.49,56.38,12256,56.12,56.54,681054,57.03,55.49,56.38,,
2023-03-16,55.76,58.14,736853,58.28,55.76,57.65,13591,55.76,58.14,736853,58.28,55.76,57.65,,
2023-03-17,57.53,57.33,852624,58.1,56.37,57.23,11222,57.53,57.33,852624,58.1,56.37,57.23,,
2023-03-20,57.93,57.83,1210700,59.47,57.53,58.32,18083,57.93,57.83,1210700,59.47,57.53,58.32,,
2023-03-21,59.32,59.36,1315201,61.16,59.05,59.84,16808,59.32,59.36,1315201,61.16,59.05,59.84,,
2023-03-22,59.26,57.51,1042535,59.51,57.42,58.08,13530,59.26,57.51,1042535,59.51,57.42,58.08,,
2023-03-23,57.69,55.36,798034,58.75,54.36,55.85,12687,57.69,55.36,798034,58.75,54.36,55.85,,
2023-03-24,54.58,55.97,682728,56.16,53.69,55.44,12253,54.58,55.97,682728,56.16,53.69,55.44,,
2023-03-27,56.83,56.34,558576,57.03,55.51,56.2,11736,56.83,56.34,558576,57.03,55.51,56.2,,
2023-03-28,56.28,56.69,589083,56.97,56.02,56.6,10657,56.28,56.69,589083,56.97,56.02,56.6,,
2023-03-29,57.37,57.92,610114,58.41,57.01,57.83,11653,57.37,57.92,610114,58.41,57.01,57.83,,
2023-03-30,58.73,59.11,489580,59.43,58.38,58.89,10278,58.73,59.11,489580,59.43,58.38,58.89,,
2023-03-31,59.92,61.33,884785,61.46,59.17,60.97,18494,59.92,61.33,884785,61.46,59.17,60.97,,
