Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,3940,3889.05,1092,3949.99,3869.99,3904.48,686,3912.36,3861.76,1092,3922.28,3842.84,3877.09,,
2023-03-02,3896.46,3893.99,914,3906.5,3880,3897.93,564,3869.12,3866.67,914,3879.09,3852.78,3870.58,,
2023-03-03,3897.97,3873.79,744,3897.97,3806.8,3849.23,530,3870.62,3846.61,744,3870.62,3780.09,3822.22,,
2023-03-06,3878.46,3775.88,1347,3900.15,3775.88,3852.51,732,3851.25,3749.39,1347,3872.79,3749.39,3825.48,,
2023-03-07,3790.75,3800,1336,3842,3780.75,3798.23,929,3764.15,3773.34,1336,3815.04,3754.22,3771.58,,
2023-03-08,3806.55,3799.63,1535,3808.62,3784.62,3797.53,1097,3779.84,3772.97,1535,3781.9,3758.07,3770.89,,
2023-03-09,3807.07,3784.64,926,3845.56,3784.62,3811.39,773,3780.36,3758.09,926,3818.58,3758.07,3784.65,,
2023-03-10,3792.5,3760.46,904,3810.81,3701.85,3762.14,650,3765.89,3734.08,904,3784.07,3675.88,3735.75,,
2023-03-13,3711.99,3719.87,1790,3842.75,3706.9,3743.96,1335,3685.95,3693.77,1790,3815.79,3680.89,3717.69,,
2023-03-14,3779.71,3727,1456,3813.21,3705.85,3764.64,1023,3753.19,3700.85,1456,3786.46,3679.85,3738.23,,
2023-03-15,3741.87,3755.11,1808,3790.28,3701.85,3743.07,1002,3715.62,3728.76,1808,3763.69,3675.88,3716.81,,
2023-03-16,3729.86,3817.33,1725,3847.86,3701.85,3790.14,1335,3703.69,3790.55,1725,3820.86,3675.88,3763.55,,
2023-03-17,3789.8,3796.8,5434,3836.77,3729.36,3790.5,1096,3763.21,3770.16,5434,3809.85,3703.2,3763.91,,
2023-03-20,3790.85,3838.9,2579,3900.29,3776.89,3852.39,1418,3764.25,3811.97,2579,3872.93,3750.39,3825.36,,
2023-03-21,3838.65,3846.92,1522,3892.5,3810.91,3850.11,710,3811.72,3819.93,1522,3865.19,3784.17,3823.1,,
2023-03-22,3817.01,3751.9,2291,3872.83,3751.88,3790.57,1238,3790.23,3725.58,2291,3845.66,3725.56,3763.98,,
2023-03-23,3780.05,3733.2,1445,3812.91,3717.58,3774.39,942,3753.53,3707.01,1445,3786.16,3691.5,3747.91,,
2023-03-24,3735.02,3777.78,738,3801.9,3734.44,3773.4,480,3708.82,3751.28,738,3775.23,3708.24,3746.93,,
2023-03-27,3777.78,3826.9,1556,3884.39,3739.65,3829.58,767,3751.28,3800.05,1556,3857.14,3713.41,3802.71,,
2023-03-28,3834.09,3820.59,835,3898.04,3801.93,3840.97,459,3807.19,3793.78,835,3870.69,3775.26,3814.02,,
2023-03-29,3847.25,3842.39,669,3876.92,3820.59,3841.08,455,3820.26,3815.43,669,3849.72,3793.78,3814.13,,
2023-03-30,3841.54,3841.44,593,3876.42,3792.65,3836.66,435,3814.59,3814.49,593,3849.22,3766.04,3809.74,,
2023-03-31,3833.19,3771.52,674,3853.54,3762.29,3796.9,350,3806.3,3745.06,674,3826.5,3735.89,3770.26,,
