Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,4.6,4.54,1965905,4.74,4.455,4.557,15796,4.6,4.54,1965905,4.74,4.455,4.557,,
2023-03-02,4.44,4.77,1825486,4.815,4.4,4.717,14427,4.44,4.77,1825486,4.815,4.4,4.717,,
2023-03-03,4.85,5.05,2111622,5.065,4.76,4.95,16546,4.85,5.05,2111622,5.065,4.76,4.95,,
2023-03-06,5.13,4.77,2990189,5.13,4.7,4.88,30557,5.13,4.77,2990189,5.13,4.7,4.88,,
2023-03-07,4.8,4.97,3997775,5.18,4.665,4.952,24207,4.8,4.97,3997775,5.18,4.665,4.952,,
2023-03-08,4.4,4.95,6493416,4.97,4.215,4.559,37631,4.4,4.95,6493416,4.97,4.215,4.559,,
2023-03-09,4.91,4.99,3998676,5.259,4.86,5.038,28866,4.91,4.99,3998676,5.259,4.86,5.038,,
2023-03-10,5.013,4.752,3529769,5.103,4.662,4.804,26556,5.013,4.752,3529769,5.103,4.662,4.804,,
2023-03-13,4.602,4.962,2704550,5.083,4.502,4.861,19499,4.602,4.962,2704550,5.083,4.502,4.861,,
2023-03-14,5.063,5.213,2202981,5.223,4.932,5.112,17332,5.063,5.213,2202981,5.223,4.932,5.112,,
2023-03-15,5.083,5.203,3877019,5.293,4.827,5.108,27550,5.083,5.203,3877019,5.293,4.827,5.108,,
2023-03-16,5.243,5.243,2884861,5.393,5.013,5.231,21534,5.243,5.243,2884861,5.393,5.013,5.231,,
2023-03-17,5.183,5.103,4221268,5.248,4.892,5.101,18790,5.183,5.103,4221268,5.248,4.892,5.101,,
2023-03-20,5.053,5.093,2568674,5.283,4.907,5.069,17760,5.053,5.093,2568674,5.283,4.907,5.069,,
2023-03-21,5.103,5.423,2653418,5.478,5.103,5.381,18547,5.103,5.423,2653418,5.478,5.103,5.381,,
2023-03-22,5.433,5.043,2520766,5.483,5.033,5.218,16552,5.433,5.043,2520766,5.483,5.033,5.218,,
2023-03-23,5.133,5.113,2314551,5.358,5.008,5.17,17853,5.133,5.113,2314551,5.358,5.008,5.17,,
2023-03-24,5.063,5.373,1968925,5.383,5.033,5.273,15409,5.063,5.373,1968925,5.383,5.033,5.273,,
2023-03-27,5.413,4.727,2771290,5.463,4.722,4.944,18167,5.413,4.727,2771290,5.463,4.722,4.944,,
2023-03-28,4.682,4.742,1973052,4.862,4.662,4.752,15015,4.682,4.742,1973052,4.862,4.662,4.752,,
2023-03-29,4.802,4.812,2341039,4.852,4.647,4.767,16537,4.802,4.812,2341039,4.852,4.647,4.767,,
2023-03-30,4.902,4.792,1682240,4.987,4.762,4.832,14312,4.902,4.792,1682240,4.987,4.762,4.832,,
2023-03-31,4.852,5.112,2386084,5.142,4.802,5.051,17493,4.852,5.112,2386084,5.142,4.802,5.051,,
