Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,16.86,16.85,235011,17.29,16.7,16.85,4631,16.86,16.85,235011,17.29,16.7,16.85,,
2023-03-02,16.58,16.77,199911,16.86,16.32,16.63,4128,16.58,16.77,199911,16.86,16.32,16.63,,
2023-03-03,16.78,17.05,193350,17.09,16.58,16.94,4469,16.78,17.05,193350,17.09,16.58,16.94,,
2023-03-06,17.05,16.47,281195,17.08,16.35,16.57,5045,17.05,16.47,281195,17.08,16.35,16.57,,
2023-03-07,16.46,15.99,381825,16.56,15.93,16.15,6979,16.46,15.99,381825,16.56,15.93,16.15,,
2023-03-08,16.08,16.3,345374,16.42,16.04,16.29,5293,16.08,16.3,345374,16.42,16.04,16.29,,
2023-03-09,16.37,16.29,303988,16.8,16.28,16.47,5628,16.37,16.29,303988,16.8,16.28,16.47,,
2023-03-10,16.4,15.63,593449,16.4,15.35,15.64,8300,16.4,15.63,593449,16.4,15.35,15.64,,
2023-03-13,15.02,15.54,478189,15.72,15.02,15.51,7651,15.02,15.54,478189,15.72,15.02,15.51,,
2023-03-14,16.05,16.01,415168,16.37,15.6,16.01,6850,16.05,16.01,415168,16.37,15.6,16.01,,
2023-03-15,15.53,15.9,388097,15.9,15.37,15.7,6584,15.53,15.9,388097,15.9,15.37,15.7,,
2023-03-16,15.7,15.93,523857,16.1,15.64,15.95,7795,15.7,15.93,523857,16.1,15.64,15.95,,
2023-03-17,15.99,15.61,1523940,16.1,15.46,15.64,8784,15.99,15.61,1523940,16.1,15.46,15.64,,
2023-03-20,15.72,15.86,610434,15.93,15.65,15.81,7183,15.72,15.86,610434,15.93,15.65,15.81,,
2023-03-21,16.12,15.84,525004,16.27,15.67,15.88,6636,16.12,15.84,525004,16.27,15.67,15.88,,
2023-03-22,15.85,15.67,694558,16.29,15.66,15.91,8262,15.85,15.67,694558,16.29,15.66,15.91,,
2023-03-23,15.99,16.05,372336,16.26,15.85,16.1,5181,15.99,16.05,372336,16.26,15.85,16.1,,
2023-03-24,15.94,15.95,253743,16.04,15.76,15.92,4287,15.94,15.95,253743,16.04,15.76,15.92,,
2023-03-27,16.02,15.95,295375,16.11,15.84,15.97,4422,16.02,15.95,295375,16.11,15.84,15.97,,
2023-03-28,15.85,15.46,364286,15.98,15.24,15.47,4639,15.85,15.46,364286,15.98,15.24,15.47,,
2023-03-29,15.74,16.36,444733,16.38,15.67,16.2,7312,15.74,16.36,444733,16.38,15.67,16.2,,
2023-03-30,16.58,16.64,369907,16.78,16.37,16.61,5999,16.58,16.64,369907,16.78,16.37,16.61,,
2023-03-31,16.7,17.25,782198,17.3,16.7,17.15,8096,16.7,17.25,782198,17.3,16.7,17.15,,
