Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,8.69,8.31,1749156,8.75,8.14,8.341,14942,8.69,8.31,1749156,8.75,8.14,8.341,,
2023-03-02,8.15,8.28,1913500,8.36,7.93,8.206,16951,8.15,8.28,1913500,8.36,7.93,8.206,,
2023-03-03,8.39,8.56,1388488,8.705,8.18,8.506,14145,8.39,8.56,1388488,8.705,8.18,8.506,,
2023-03-06,8.69,8.59,1213752,8.93,8.45,8.661,13025,8.69,8.59,1213752,8.93,8.45,8.661,,
2023-03-07,8.5,8.21,1165013,8.625,8.13,8.251,11246,8.5,8.21,1165013,8.625,8.13,8.251,,
2023-03-08,8.099,8.009,1311970,8.199,7.889,8.025,12048,8.099,8.009,1311970,8.199,7.889,8.025,,
2023-03-09,7.999,7.469,2542687,8.019,7.219,7.63,17540,7.999,7.469,2542687,8.019,7.219,7.63,,
2023-03-10,7.454,7.074,2384783,7.509,6.883,7.122,19184,7.454,7.074,2384783,7.509,6.883,7.122,,
2023-03-13,6.913,6.973,2394853,7.244,6.583,6.981,19550,6.913,6.973,2394853,7.244,6.583,6.981,,
2023-03-14,7.114,6.993,1983082,7.334,6.783,6.931,17699,7.114,6.993,1983082,7.334,6.783,6.931,,
2023-03-15,6.783,7.264,1895185,7.314,6.683,7.084,16233,6.783,7.264,1895185,7.314,6.683,7.084,,
2023-03-16,7.164,7.174,1481864,7.364,7.029,7.201,14152,7.164,7.174,1481864,7.364,7.029,7.201,,
2023-03-17,7.184,7.034,2741972,7.214,6.908,7.042,16333,7.184,7.034,2741972,7.214,6.908,7.042,,
2023-03-20,7.069,7.044,2795660,7.234,6.903,7.103,16973,7.069,7.044,2795660,7.234,6.903,7.103,,
2023-03-21,7.104,7.204,1562213,7.294,7.019,7.184,12705,7.104,7.204,1562213,7.294,7.019,7.184,,
2023-03-22,7.194,6.653,2671555,7.224,6.623,6.943,16607,7.194,6.653,2671555,7.224,6.623,6.943,,
2023-03-23,6.743,6.683,2199934,7.054,6.658,6.792,18432,6.743,6.683,2199934,7.054,6.658,6.792,,
2023-03-24,6.793,6.493,1572774,6.793,6.413,6.508,16315,6.793,6.493,1572774,6.793,6.413,6.508,,
2023-03-27,6.583,6.313,2197009,6.593,6.143,6.276,18764,6.583,6.313,2197009,6.593,6.143,6.276,,
2023-03-28,6.223,6.433,1823634,6.538,6.103,6.325,15850,6.223,6.433,1823634,6.538,6.103,6.325,,
2023-03-29,6.493,6.813,1963652,6.918,6.443,6.743,13990,6.493,6.813,1963652,6.918,6.443,6.743,,
2023-03-30,6.993,7.463,2485312,7.663,6.993,7.431,16984,6.993,7.463,2485312,7.663,6.993,7.431,,
2023-03-31,7.573,7.843,2546603,8.058,7.463,7.877,19511,7.573,7.843,2546603,8.058,7.463,7.877,,
