Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,123.86,133.19,500804,133.39,122.64,130.97,14802,123.86,133.19,500804,133.39,122.64,130.97,,
2023-03-02,130,131.36,325346,132.98,128.27,130.94,9497,130,131.36,325346,132.98,128.27,130.94,,
2023-03-03,130.84,134.03,252200,134.43,130,133.12,9054,130.84,134.03,252200,134.43,130,133.12,,
2023-03-06,133.87,129.98,207869,135.73,129.31,132.16,6510,133.87,129.98,207869,135.73,129.31,132.16,,
2023-03-07,130,129.19,221637,130.82,127.03,128.84,7998,130,129.19,221637,130.82,127.03,128.84,,
2023-03-08,130.03,132.38,217523,133.8,128.74,131.85,7131,130.03,132.38,217523,133.8,128.74,131.85,,
2023-03-09,131.31,134.41,401805,135.97,131.31,134.7,12324,131.31,134.41,401805,135.97,131.31,134.7,,
2023-03-10,133.9,126.33,364316,134.91,122.61,126.23,11200,133.9,126.33,364316,134.91,122.61,126.23,,
2023-03-13,122.94,130.39,332974,131.73,122.49,128.38,10796,122.94,130.39,332974,131.73,122.49,128.38,,
2023-03-14,134.07,132.28,193676,136.28,129.83,132.66,6747,134.07,132.28,193676,136.28,129.83,132.66,,
2023-03-15,129.16,128.1,480611,130.2,118.3,124.3,14801,129.16,128.1,480611,130.2,118.3,124.3,,
2023-03-16,126.73,134.35,205577,135.15,126,131.75,7889,126.73,134.35,205577,135.15,126,131.75,,
2023-03-17,135.19,131.19,425078,137.43,130.85,132.75,9697,135.19,131.19,425078,137.43,130.85,132.75,,
2023-03-20,131.27,132.49,198771,133.12,128.16,131.47,6335,131.27,132.49,198771,133.12,128.16,131.47,,
2023-03-21,134.4,134.23,103982,136.92,132.4,134.14,5489,134.4,134.23,103982,136.92,132.4,134.14,,
2023-03-22,134.23,131.58,183054,136.38,131.4,133.81,6426,134.23,131.58,183054,136.38,131.4,133.81,,
2023-03-23,134.06,142.07,325344,142.95,133.57,140.91,8487,134.06,142.07,325344,142.95,133.57,140.91,,
2023-03-24,140.54,136.32,150155,140.54,135.4,137.25,6479,140.54,136.32,150155,140.54,135.4,137.25,,
2023-03-27,136.85,133.28,96481,137.45,131.76,133.74,4246,136.85,133.28,96481,137.45,131.76,133.74,,
2023-03-28,132.86,132.06,127914,134.37,127.46,130.21,6055,132.86,132.06,127914,134.37,127.46,130.21,,
2023-03-29,134.88,136.52,122159,137.03,133.2,135.66,4744,134.88,136.52,122159,137.03,133.2,135.66,,
2023-03-30,138.07,139.21,130152,140.05,137.54,139.12,5310,138.07,139.21,130152,140.05,137.54,139.12,,
2023-03-31,138.51,142.29,162370,142.41,138.09,141.54,5763,138.51,142.29,162370,142.41,138.09,141.54,,
