Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.4,11.45,202098,11.6,10.26,11.19,2640,10.4,11.45,202098,11.6,10.26,11.19,,
2023-03-02,11.57,11.2,113850,11.57,11.04,11.21,1402,11.57,11.2,113850,11.57,11.04,11.21,,
2023-03-03,11.24,11.1,83718,11.3,11.05,11.2,1434,11.24,11.1,83718,11.3,11.05,11.2,,
2023-03-06,11.1,11.02,59842,11.18,10.84,11.03,1310,11.1,11.02,59842,11.18,10.84,11.03,,
2023-03-07,11.01,10.37,61736,11.01,10.2,10.5,1004,11.01,10.37,61736,11.01,10.2,10.5,,
2023-03-08,10.36,10.29,85939,10.48,9.999,10.26,1637,10.36,10.29,85939,10.48,9.999,10.26,,
2023-03-09,10.42,10.43,95685,10.66,10.15,10.41,1919,10.42,10.43,95685,10.66,10.15,10.41,,
2023-03-10,10.53,10.25,74757,10.53,10.06,10.2,1439,10.53,10.25,74757,10.53,10.06,10.2,,
2023-03-13,10,9.225,46581,10.02,8.935,9.343,984,10,9.225,46581,10.02,8.935,9.343,,
2023-03-14,9.175,9.145,83648,9.385,8.964,9.211,1780,9.175,9.145,83648,9.385,8.964,9.211,,
2023-03-15,9.005,7.974,72511,9.005,7.854,8.17,1411,9.005,7.974,72511,9.005,7.854,8.17,,
2023-03-16,8.084,8.154,65634,8.236,7.954,8.101,1065,8.084,8.154,65634,8.236,7.954,8.101,,
2023-03-17,8.064,7.494,72815,8.064,7.424,7.669,1196,8.064,7.494,72815,8.064,7.424,7.669,,
2023-03-20,7.524,7.214,173183,7.904,7.044,7.359,2335,7.524,7.214,173183,7.904,7.044,7.359,,
2023-03-21,7.504,7.714,55152,7.764,7.414,7.625,934,7.504,7.714,55152,7.764,7.414,7.625,,
2023-03-22,7.684,7.684,31547,8.104,7.684,7.89,985,7.684,7.684,31547,8.104,7.684,7.89,,
2023-03-23,7.724,7.304,51708,7.824,7.194,7.484,1099,7.724,7.304,51708,7.824,7.194,7.484,,
2023-03-24,7.154,7.484,61515,7.524,7.154,7.323,1063,7.154,7.484,61515,7.524,7.154,7.323,,
2023-03-27,7.564,7.704,37197,7.794,7.456,7.705,697,7.564,7.704,37197,7.794,7.456,7.705,,
2023-03-28,7.584,7.404,75745,7.624,7.314,7.438,1393,7.584,7.404,75745,7.624,7.314,7.438,,
2023-03-29,7.444,7.434,90752,7.519,7.384,7.453,1287,7.444,7.434,90752,7.519,7.384,7.453,,
2023-03-30,7.453,7.363,55008,7.453,7.298,7.352,1000,7.453,7.363,55008,7.453,7.298,7.352,,
2023-03-31,7.393,7.613,77146,7.683,7.393,7.494,1046,7.393,7.613,77146,7.683,7.393,7.494,,
