Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.52,24.86,1051530,25.75,23.65,25.1,17056,24.52,24.86,1051530,25.75,23.65,25.1,,
2023-03-02,24.82,24.12,783288,24.82,23.82,24.11,9949,24.82,24.12,783288,24.82,23.82,24.11,,
2023-03-03,24.13,24.44,586429,24.87,23.9,24.51,9480,24.13,24.44,586429,24.87,23.9,24.51,,
2023-03-06,24.32,24.37,663276,24.44,23.4,24.09,9424,24.32,24.37,663276,24.44,23.4,24.09,,
2023-03-07,24.35,24.23,1583000,24.76,23.99,24.29,12879,24.35,24.23,1583000,24.76,23.99,24.29,,
2023-03-08,24.16,23.7,796709,24.51,23.14,23.52,12769,24.16,23.7,796709,24.51,23.14,23.52,,
2023-03-09,23.78,23.21,749384,24.08,22.95,23.22,9251,23.78,23.21,749384,24.08,22.95,23.22,,
2023-03-10,23.16,22.25,1135656,23.16,21.72,22.25,14696,23.16,22.25,1135656,23.16,21.72,22.25,,
2023-03-13,22.02,22.43,926392,23.19,22,22.5,11524,22.02,22.43,926392,23.19,22,22.5,,
2023-03-14,22.84,22.59,898725,23.33,22.32,22.65,12695,22.84,22.59,898725,23.33,22.32,22.65,,
2023-03-15,22.23,22.31,674407,22.66,21.85,22.21,11386,22.23,22.31,674407,22.66,21.85,22.21,,
2023-03-16,22.21,22.51,1121918,22.61,21.9,22.31,12166,22.21,22.51,1121918,22.61,21.9,22.31,,
2023-03-17,22.47,22.26,2438622,22.51,21.75,22.21,11705,22.47,22.26,2438622,22.51,21.75,22.21,,
2023-03-20,22.33,23.14,678308,23.24,22.15,22.94,10628,22.33,23.14,678308,23.24,22.15,22.94,,
2023-03-21,23.34,23.08,809551,23.46,22.94,23.15,9014,23.34,23.08,809551,23.46,22.94,23.15,,
2023-03-22,22.95,21.47,815009,22.95,21.42,21.87,10093,22.95,21.47,815009,22.95,21.42,21.87,,
2023-03-23,21.67,21.57,666991,21.99,21.14,21.54,9431,21.67,21.57,666991,21.99,21.14,21.54,,
2023-03-24,21.43,21.58,831135,21.64,21.07,21.43,12108,21.43,21.58,831135,21.64,21.07,21.43,,
2023-03-27,21.86,21.95,481583,22.18,21.47,21.96,8167,21.86,21.95,481583,22.18,21.47,21.96,,
2023-03-28,21.93,21.33,528319,22.47,21.26,21.61,10226,21.93,21.33,528319,22.47,21.26,21.61,,
2023-03-29,21.51,21.56,1473238,21.74,21.37,21.53,13842,21.51,21.56,1473238,21.74,21.37,21.53,,
2023-03-30,21.59,20.67,911241,21.89,20.02,20.62,13383,21.59,20.67,911241,21.89,20.02,20.62,,
2023-03-31,20.86,21.13,2020347,21.44,20.67,21.11,12227,20.86,21.13,2020347,21.44,20.67,21.11,,
