Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,100.53,102.6,121985,102.7,100.53,102.22,3373,44.68,45.6,274466,45.64,44.68,45.43,,
2023-03-02,102.09,103.74,64797,103.74,101.32,103.04,2671,45.37,46.11,145793,46.11,45.03,45.8,,
2023-03-03,103.74,104.17,110520,104.41,103.06,103.95,4041,46.11,46.3,248670,46.4,45.8,46.2,,
2023-03-06,103.84,103.52,114747,104.2,103.29,103.59,3870,46.15,46.01,258181,46.31,45.91,46.04,,
2023-03-07,103.8,104.5,114039,104.51,103.27,104.24,3530,46.13,46.44,256588,46.45,45.9,46.33,,
2023-03-08,104.51,105,119239,106.34,104.46,105.33,5017,46.45,46.67,268288,47.26,46.43,46.81,,
2023-03-09,105.06,101.72,112686,105.06,101.7,103.24,3736,46.69,45.21,253544,46.69,45.2,45.88,,
2023-03-10,100.92,97.85,115345,100.92,97.7,98.75,4364,44.85,43.49,259526,44.85,43.42,43.89,,
2023-03-13,96,91.57,170044,96.36,90.4,92.22,6186,42.67,40.7,382599,42.83,40.18,40.99,,
2023-03-14,92.29,94.93,121873,96.25,92.29,94.98,4490,41.02,42.19,274214,42.78,41.02,42.21,,
2023-03-15,92.18,91.54,142064,92.18,89.53,91.06,5207,40.97,40.68,319644,40.97,39.79,40.47,,
2023-03-16,90.45,94.15,129142,94.52,89.55,93.13,4235,40.2,41.84,290570,42.01,39.8,41.39,,
2023-03-17,93.97,91.78,228482,93.97,91.62,92.22,4113,41.76,40.79,514085,41.76,40.72,40.99,,
2023-03-20,92.58,94.85,116250,95.14,92.05,94.47,3384,41.15,42.16,261563,42.28,40.91,41.99,,
2023-03-21,96.91,98.05,103811,98.5,96.74,97.96,3513,43.07,43.58,233575,43.78,43,43.54,,
2023-03-22,98.05,94.6,56287,98.05,94.47,95.72,2258,43.58,42.04,126646,43.58,41.99,42.54,,
2023-03-23,95.36,96.58,133989,97.15,94.31,96.43,4459,42.38,42.92,301475,43.18,41.92,42.86,,
2023-03-24,95.99,96.94,115414,97.16,92.98,95.74,4170,42.66,43.08,259682,43.18,41.32,42.55,,
2023-03-27,98.48,99.88,90477,99.98,96.82,99.09,3187,43.77,44.39,203573,44.44,43.03,44.04,,
2023-03-28,99.89,100.72,80716,101.14,99.51,100.34,2436,44.4,44.76,181611,44.95,44.23,44.6,,
2023-03-29,101.56,101.07,96229,102.16,100.32,101.03,2640,45.14,44.92,216515,45.4,44.59,44.9,,
2023-03-30,101.74,101.13,102472,103.19,100.34,101.38,3553,45.22,44.95,230562,45.86,44.6,45.06,,
2023-03-31,101.31,103.57,273424,104.03,100.87,102.99,5702,45.03,46.03,615204,46.24,44.83,45.77,,
