Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,80.38,80.31,272847,80.65,79.41,80.07,8929,75.41,75.34,272847,75.66,74.5,75.11,,
2023-03-02,79.48,78.94,291772,79.82,77.83,78.69,8045,74.56,74.05,291772,74.88,73.01,73.82,,
2023-03-03,79.11,79.74,221545,79.81,78.39,79.49,5910,74.21,74.81,221545,74.87,73.54,74.57,,
2023-03-06,83.5,82.63,2439300,85.38,82.07,83.74,38768,78.33,77.52,2439300,80.1,76.99,78.56,,
2023-03-07,81.81,79.86,822227,82.42,79.85,80.5,15590,76.75,74.92,822227,77.32,74.91,75.52,,
2023-03-08,79.93,79.56,659070,80.65,79.26,79.67,13864,74.98,74.64,659070,75.66,74.36,74.74,,
2023-03-09,78.88,74.77,947126,79.03,74.63,75.83,19469,74,70.14,947126,74.14,70.01,71.14,,
2023-03-10,73.24,75.76,1635845,76.56,71.17,74.69,32627,68.71,71.07,1635845,71.82,66.77,70.07,,
2023-03-13,69.53,69.21,2546850,74.67,66.59,70.44,48437,65.23,64.93,2546850,70.05,62.47,66.08,,
2023-03-14,73.49,75.58,1865192,76.98,73.49,75.32,36049,68.94,70.9,1865192,72.22,68.94,70.66,,
2023-03-15,72.02,73.77,1872931,75.51,72.02,73.8,25397,67.56,69.2,1872931,70.84,67.56,69.23,,
2023-03-16,72.8,75.74,1182541,77.39,71.71,75.23,24972,68.29,71.05,1182541,72.6,67.27,70.57,,
2023-03-17,74.84,72.8,12105950,74.99,69.19,72.64,29837,70.21,68.29,12105950,70.35,64.91,68.14,,
2023-03-20,74.44,72.39,1450824,75.67,72.32,73.44,23883,69.83,67.91,1450824,70.99,67.84,68.9,,
2023-03-21,75.64,75.7,1083565,77.33,74.2,75.61,19104,70.96,71.02,1083565,72.54,69.61,70.93,,
2023-03-22,75.47,71.09,959306,75.68,71.03,72.9,21865,70.8,66.69,959306,71,66.63,68.39,,
2023-03-23,71.31,71.17,1221649,72.96,70.16,71.09,25371,66.9,66.77,1221649,68.44,65.82,66.69,,
2023-03-24,69.94,72.99,1263118,73.74,68.64,72.75,19069,65.61,68.47,1263118,69.18,64.39,68.25,,
2023-03-27,75.14,73.01,1054503,75.34,72.59,73.17,15809,70.49,68.49,1054503,70.68,68.1,68.64,,
2023-03-28,72.45,73.06,801286,73.69,71.93,72.76,14222,67.97,68.54,801286,69.13,67.48,68.26,,
2023-03-29,73.98,72.12,1135149,73.98,71.08,72.06,15063,69.4,67.66,1135149,69.4,66.68,67.6,,
2023-03-30,73.01,71.19,550676,73.01,70.54,71.23,12011,68.49,66.78,550676,68.49,66.17,66.82,,
2023-03-31,71.9,71.29,771114,72.02,70.71,71.19,11882,67.45,66.88,771114,67.56,66.33,66.78,,
