Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,33.48,32.99,1073284,33.55,32.81,33.05,16802,30.2,29.75,1073284,30.26,29.59,29.81,,
2023-03-02,32.77,33.53,897127,33.63,32.72,33.38,14251,29.55,30.24,897127,30.33,29.51,30.11,,
2023-03-03,33.89,34.21,687148,34.22,33.77,34.07,9810,30.57,30.85,687148,30.86,30.46,30.73,,
2023-03-06,34.32,34.13,748055,34.33,33.99,34.11,11175,30.95,30.78,748055,30.96,30.66,30.76,,
2023-03-07,34.08,33.3,1050972,34.13,33.12,33.41,14675,30.74,30.03,1050972,30.78,29.87,30.13,,
2023-03-08,33.35,33.44,799756,33.82,33.2,33.46,12789,30.08,30.16,799756,30.5,29.94,30.18,,
2023-03-09,33.49,32.62,1591030,33.49,32.27,32.69,16672,30.2,29.42,1591030,30.2,29.1,29.48,,
2023-03-10,32.58,31.39,1340264,32.76,31.03,31.61,21185,29.38,28.31,1340264,29.55,27.99,28.51,,
2023-03-13,31.16,31.91,1140524,32.31,31.15,31.96,17677,28.1,28.78,1140524,29.14,28.09,28.82,,
2023-03-14,32.59,32.37,2104318,32.72,32.01,32.34,20871,29.39,29.19,2104318,29.51,28.87,29.17,,
2023-03-15,31.93,32.46,1457545,32.73,31.83,32.28,18612,28.8,29.28,1457545,29.52,28.71,29.11,,
2023-03-16,32.03,32.56,1163952,32.99,31.93,32.6,17811,28.89,29.37,1163952,29.75,28.8,29.4,,
2023-03-17,32.35,31.93,1811370,32.35,31.79,32.05,15801,29.18,28.8,1811370,29.18,28.67,28.91,,
2023-03-20,32.13,32.69,1088374,32.79,31.98,32.59,14986,28.98,29.48,1088374,29.57,28.84,29.39,,
2023-03-21,32.87,32.68,1872221,33.05,32.26,32.63,19929,29.65,29.47,1872221,29.81,29.09,29.43,,
2023-03-22,32.48,31.79,1883609,32.78,31.77,32.18,24137,29.29,28.67,1883609,29.56,28.65,29.02,,
2023-03-23,31.98,31.88,1106191,32.3,31.66,31.93,15162,28.84,28.75,1106191,29.13,28.55,28.8,,
2023-03-24,31.73,32.73,1159788,32.75,31.72,32.35,16334,28.62,29.52,1159788,29.54,28.61,29.18,,
2023-03-27,33.01,32.99,943944,33.26,32.89,33.06,14246,29.77,29.75,943944,30,29.66,29.82,,
2023-03-28,32.75,33.03,1016139,33.08,32.64,32.94,12948,29.54,29.79,1016139,29.83,29.44,29.71,,
2023-03-29,33.3,33.37,1067124,33.57,33.17,33.35,14490,30.03,30.1,1067124,30.28,29.92,30.08,,
2023-03-30,33.56,33.25,1343692,33.75,33.02,33.28,16135,30.38,30.1,1343692,30.55,29.89,30.13,0.1225,
2023-03-31,33.43,33.83,1708452,33.9,33.35,33.67,18703,30.26,30.62,1708452,30.69,30.19,30.48,,
