Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,16.87,15.91,3183246,17.05,15.49,16.21,28934,16.87,15.91,3183246,17.05,15.49,16.21,,
2023-03-02,16,16.1,2535917,16.16,15.67,16.03,21540,16,16.1,2535917,16.16,15.67,16.03,,
2023-03-03,15.92,16.67,1567691,16.82,15.77,16.54,13632,15.92,16.67,1567691,16.82,15.77,16.54,,
2023-03-06,16.41,15.76,2092480,16.41,15.71,15.85,22641,16.41,15.76,2092480,16.41,15.71,15.85,,
2023-03-07,15.62,15.46,1630222,15.64,15.11,15.4,15362,15.62,15.46,1630222,15.64,15.11,15.4,,
2023-03-08,15.43,15.04,1667468,15.5,14.84,15.05,16165,15.43,15.04,1667468,15.5,14.84,15.05,,
2023-03-09,15.08,14.45,1686541,15.42,14.42,14.71,14780,15.08,14.45,1686541,15.42,14.42,14.71,,
2023-03-10,14.5,14.01,2610729,14.89,13.95,14.3,25205,14.5,14.01,2610729,14.89,13.95,14.3,,
2023-03-13,13.43,13.63,2014786,14.05,13.15,13.67,18351,13.43,13.63,2014786,14.05,13.15,13.67,,
2023-03-14,13.75,13.34,2426790,14.04,13.28,13.62,21111,13.75,13.34,2426790,14.04,13.28,13.62,,
2023-03-15,12.72,12.03,3334744,12.96,11.68,12.15,26705,12.72,12.03,3334744,12.96,11.68,12.15,,
2023-03-16,11.82,12.55,2084862,12.57,11.68,12.31,19775,11.82,12.55,2084862,12.57,11.68,12.31,,
2023-03-17,12.32,11.9,4525852,12.37,11.75,11.94,20153,12.32,11.9,4525852,12.37,11.75,11.94,,
2023-03-20,12.5,12.94,3660763,13.48,12.4,13.02,24827,12.5,12.94,3660763,13.48,12.4,13.02,,
2023-03-21,13.21,13.8,2618851,13.94,13.11,13.74,20604,13.21,13.8,2618851,13.94,13.11,13.74,,
2023-03-22,13.7,13.27,1806162,13.83,13.26,13.48,16113,13.7,13.27,1806162,13.83,13.26,13.48,,
2023-03-23,13.42,13.29,2371504,13.83,13.1,13.41,22518,13.42,13.29,2371504,13.83,13.1,13.41,,
2023-03-24,12.84,13.95,2374327,14.09,12.77,13.71,23299,12.84,13.95,2374327,14.09,12.77,13.71,,
2023-03-27,14,14.45,1744924,14.56,13.85,14.32,21774,14,14.45,1744924,14.56,13.85,14.32,,
2023-03-28,14.29,14.67,1562368,14.72,14.25,14.6,16758,14.29,14.67,1562368,14.72,14.25,14.6,,
2023-03-29,14.84,15.12,1506626,15.16,14.71,14.96,16869,14.84,15.12,1506626,15.16,14.71,14.96,,
2023-03-30,15.35,14.7,1703417,15.35,14.62,14.8,16093,15.35,14.7,1703417,15.35,14.62,14.8,,
2023-03-31,14.87,14.85,1565186,14.96,14.65,14.8,14118,14.87,14.85,1565186,14.96,14.65,14.8,,
