Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,58.97,59.99,785760,60.01,58.89,59.73,13984,56.93,57.91,785760,57.93,56.85,57.66,,
2023-03-02,59.26,59.91,682480,60.08,59.08,59.81,11139,57.21,57.83,682480,58,57.03,57.74,,
2023-03-03,59.92,60.32,736747,60.39,59.29,60.04,14723,57.84,58.23,736747,58.3,57.23,57.96,,
2023-03-06,60,59.4,690653,60.85,59.16,59.77,11570,57.92,57.34,690653,58.74,57.11,57.7,,
2023-03-07,59.34,58.57,851541,59.97,58.41,58.94,16961,57.28,56.54,851541,57.89,56.39,56.9,,
2023-03-08,58.76,59.19,731163,59.69,57.58,58.85,12612,56.87,57.28,731163,57.77,55.73,56.96,0.15,
2023-03-09,59.52,57.59,628653,60.14,57.52,58.4,14959,57.6,55.74,628653,58.2,55.67,56.52,,
2023-03-10,57.04,53.26,1537952,57.26,52.98,54.3,25543,55.2,51.55,1537952,55.42,51.27,52.55,,
2023-03-13,52.03,51.15,1113458,52.59,50.45,51.52,19043,50.36,49.5,1113458,50.9,48.83,49.86,,
2023-03-14,52.77,52.87,853186,53.76,52.01,52.89,13218,51.07,51.17,853186,52.03,50.34,51.19,,
2023-03-15,51.04,49.66,1231773,51.57,48.43,49.51,18529,49.4,48.06,1231773,49.91,46.87,47.92,,
2023-03-16,48.89,49.7,1081929,50.4,48.11,49.47,19660,47.32,48.1,1081929,48.78,46.56,47.88,,
2023-03-17,48.41,45.33,2281882,48.41,45.09,46.16,30550,46.85,43.87,2281882,46.85,43.64,44.67,,
2023-03-20,46.44,47.06,1345186,47.72,46.21,47.12,18833,44.95,45.55,1345186,46.18,44.72,45.6,,
2023-03-21,48.7,49.3,1347313,49.73,48.11,49.2,16852,47.13,47.71,1347313,48.13,46.56,47.62,,
2023-03-22,49.15,47.47,1284768,49.26,47.32,48.27,18484,47.57,45.94,1284768,47.67,45.8,46.72,,
2023-03-23,47.53,46.63,931228,48.85,46.09,47.24,17021,46,45.13,931228,47.28,44.61,45.72,,
2023-03-24,45.34,46.02,983616,46.04,44.27,45.48,13432,43.88,44.54,983616,44.56,42.85,44.02,,
2023-03-27,46.32,46.38,844742,46.92,45.54,46.34,12109,44.83,44.89,844742,45.41,44.07,44.85,,
2023-03-28,46.25,46.76,814714,47.06,45.95,46.61,9617,44.76,45.25,814714,45.55,44.47,45.11,,
2023-03-29,47.46,47.03,673873,47.59,46.9,47.1,10025,45.93,45.52,673873,46.06,45.39,45.58,,
2023-03-30,47.62,47.38,506764,47.99,47.15,47.45,8619,46.09,45.86,506764,46.45,45.63,45.92,,
2023-03-31,48,48.4,818617,48.77,47.88,48.31,10483,46.46,46.84,818617,47.2,46.34,46.76,,
