Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,29.2,29.27,224654,29.44,28.86,29.25,5874,26.97,27.04,224654,27.19,26.66,27.02,,
2023-03-02,29.19,29.13,270429,29.19,28.83,29.05,4845,26.96,26.91,270429,26.96,26.63,26.83,,
2023-03-03,29.31,29.22,233856,29.49,28.91,29.15,5685,27.07,26.99,233856,27.24,26.7,26.93,,
2023-03-06,29.15,28.3,322203,29.45,28.18,28.51,7689,26.93,26.14,322203,27.2,26.03,26.33,,
2023-03-07,28.22,28.11,285046,28.48,27.93,28.14,5957,26.07,25.96,285046,26.31,25.8,25.99,,
2023-03-08,28.15,27.83,215883,28.15,27.65,27.82,4922,26,25.71,215883,26,25.54,25.7,,
2023-03-09,27.64,26.5,340228,27.68,26.43,26.69,7355,25.53,24.48,340228,25.57,24.41,24.65,,
2023-03-10,26.1,26.73,608171,26.88,25.52,26.32,10563,24.11,24.69,608171,24.83,23.57,24.31,,
2023-03-13,26.52,26.27,765256,27.81,24.97,26.59,12838,24.5,24.27,765256,25.69,23.06,24.56,,
2023-03-14,28.07,25.71,590186,28.68,25.44,26.24,11409,25.93,23.75,590186,26.49,23.5,24.24,,
2023-03-15,25.14,25.58,494687,25.82,24.69,25.43,8807,23.22,23.63,494687,23.85,22.81,23.49,,
2023-03-16,25.13,26.64,433962,27.13,25.04,26.36,7985,23.21,24.61,433962,25.06,23.13,24.35,,
2023-03-17,26.21,25.58,1181045,26.21,25.22,25.62,8851,24.21,23.63,1181045,24.21,23.3,23.66,,
2023-03-20,25.97,25.29,376497,26.43,25.26,25.55,7543,23.99,23.36,376497,24.41,23.33,23.6,,
2023-03-21,26.35,26.04,379475,26.69,25.91,26.09,7768,24.34,24.05,379475,24.65,23.93,24.1,,
2023-03-22,25.88,24.92,355585,26.2,24.89,25.38,7134,23.9,23.02,355585,24.2,22.99,23.44,,
2023-03-23,25.07,24.21,402656,25.27,24.03,24.38,7899,23.16,22.36,402656,23.34,22.2,22.52,,
2023-03-24,23.91,25.31,305888,25.37,23.87,25.1,5777,22.09,23.38,305888,23.43,22.05,23.18,,
2023-03-27,25.77,25.52,226874,25.92,25.36,25.55,4256,23.8,23.57,226874,23.94,23.42,23.6,,
2023-03-28,25.39,25.32,191536,25.79,25.06,25.35,3798,23.45,23.39,191536,23.82,23.15,23.42,,
2023-03-29,25.52,25.21,278431,25.6,24.95,25.18,5274,23.57,23.29,278431,23.65,23.05,23.26,,
2023-03-30,25.21,24.6,279260,25.45,24.47,24.7,3795,23.29,22.72,279260,23.51,22.6,22.81,,
2023-03-31,24.87,24.71,254541,25.04,24.46,24.71,3960,22.97,22.82,254541,23.13,22.59,22.82,,
