Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.9,1.81,58700,1.9,1.77,1.823,467,1.9,1.81,58700,1.9,1.77,1.823,,
2023-03-02,1.8,1.97,260269,2,1.75,1.905,1494,1.8,1.97,260269,2,1.75,1.905,,
2023-03-03,1.55,2.62,951224,2.62,1.53,2.244,2610,1.55,2.62,951224,2.62,1.53,2.244,,
2023-03-06,2.6,2.64,698466,2.94,2.571,2.752,2373,2.6,2.64,698466,2.94,2.571,2.752,,
2023-03-07,2.62,2.72,172506,2.83,2.59,2.698,1131,2.62,2.72,172506,2.83,2.59,2.698,,
2023-03-08,2.65,2.8,167171,2.82,2.47,2.705,864,2.65,2.8,167171,2.82,2.47,2.705,,
2023-03-09,2.8,2.81,136601,2.87,2.75,2.807,980,2.8,2.81,136601,2.87,2.75,2.807,,
2023-03-10,2.811,2.441,138184,2.811,2.401,2.547,903,2.811,2.441,138184,2.811,2.401,2.547,,
2023-03-13,2.371,2.431,388432,2.541,2.361,2.498,1114,2.371,2.431,388432,2.541,2.361,2.498,,
2023-03-14,2.401,2.501,122863,2.531,2.391,2.49,610,2.401,2.501,122863,2.531,2.391,2.49,,
2023-03-15,2.471,2.511,159958,2.53,2.401,2.479,973,2.471,2.511,159958,2.53,2.401,2.479,,
2023-03-16,2.538,2.481,72466,2.541,2.431,2.484,650,2.538,2.481,72466,2.541,2.431,2.484,,
2023-03-17,2.431,2.311,354645,2.551,2.291,2.377,1448,2.431,2.311,354645,2.551,2.291,2.377,,
2023-03-20,2.301,2.361,126057,2.421,2.251,2.349,1012,2.301,2.361,126057,2.421,2.251,2.349,,
2023-03-21,2.361,2.461,97569,2.551,2.361,2.486,678,2.361,2.461,97569,2.551,2.361,2.486,,
2023-03-22,2.451,2.371,31805,2.451,2.371,2.409,416,2.451,2.371,31805,2.451,2.371,2.409,,
2023-03-23,2.241,2.511,150724,2.551,2.211,2.433,963,2.241,2.511,150724,2.551,2.211,2.433,,
2023-03-24,2.531,2.521,69321,2.561,2.451,2.51,517,2.531,2.521,69321,2.561,2.451,2.51,,
2023-03-27,2.501,2.481,67056,2.581,2.411,2.499,455,2.501,2.481,67056,2.581,2.411,2.499,,
2023-03-28,2.471,2.481,54202,2.541,2.441,2.484,294,2.471,2.481,54202,2.541,2.441,2.484,,
2023-03-29,2.461,2.601,72265,2.631,2.461,2.564,582,2.461,2.601,72265,2.631,2.461,2.564,,
2023-03-30,2.601,2.731,75872,2.741,2.588,2.689,597,2.601,2.731,75872,2.741,2.588,2.689,,
2023-03-31,2.741,2.821,98899,2.841,2.721,2.792,672,2.741,2.821,98899,2.841,2.721,2.792,,
