Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,4.9,4.77,670362,5.05,4.76,4.818,7280,4.9,4.77,670362,5.05,4.76,4.818,,
2023-03-02,4.65,4.87,622993,4.92,4.62,4.84,6453,4.65,4.87,622993,4.92,4.62,4.84,,
2023-03-03,4.96,4.88,571047,4.99,4.88,4.914,5399,4.96,4.88,571047,4.99,4.88,4.914,,
2023-03-06,4.44,4.19,4734004,4.54,4,4.167,26703,4.44,4.19,4734004,4.54,4,4.167,,
2023-03-07,4.2,4.13,2400826,4.23,3.96,4.137,15168,4.2,4.13,2400826,4.23,3.96,4.137,,
2023-03-08,4.13,4.39,1896659,4.4,4.045,4.308,15617,4.13,4.39,1896659,4.4,4.045,4.308,,
2023-03-09,4.43,4.38,1514252,4.67,4.33,4.465,13888,4.43,4.38,1514252,4.67,4.33,4.465,,
2023-03-10,4.292,4.112,2073539,4.337,4.032,4.123,18325,4.292,4.112,2073539,4.337,4.032,4.123,,
2023-03-13,3.972,3.692,2110320,3.982,3.632,3.719,14645,3.972,3.692,2110320,3.982,3.632,3.719,,
2023-03-14,3.932,3.602,2966072,3.932,3.557,3.696,18535,3.932,3.602,2966072,3.932,3.557,3.696,,
2023-03-15,3.532,3.512,2629324,3.562,3.357,3.47,20454,3.532,3.512,2629324,3.562,3.357,3.47,,
2023-03-16,3.432,3.452,2700618,3.572,3.342,3.476,20054,3.432,3.452,2700618,3.572,3.342,3.476,,
2023-03-17,3.382,3.422,18853844,3.552,3.332,3.429,22389,3.382,3.422,18853844,3.552,3.332,3.429,,
2023-03-20,3.532,3.612,3420543,3.622,3.432,3.568,16735,3.532,3.612,3420543,3.622,3.432,3.568,,
2023-03-21,3.702,3.822,3670990,3.897,3.622,3.8,14830,3.702,3.822,3670990,3.897,3.622,3.8,,
2023-03-22,3.772,3.452,1958044,3.852,3.452,3.622,9783,3.772,3.452,1958044,3.852,3.452,3.622,,
2023-03-23,3.462,3.362,1591598,3.552,3.332,3.434,10480,3.462,3.362,1591598,3.552,3.332,3.434,,
2023-03-24,3.352,3.442,1393112,3.487,3.312,3.412,10022,3.352,3.442,1393112,3.487,3.312,3.412,,
2023-03-27,3.432,3.522,1366237,3.602,3.432,3.525,7590,3.432,3.522,1366237,3.602,3.432,3.525,,
2023-03-28,3.532,3.512,760493,3.602,3.477,3.531,5768,3.532,3.512,760493,3.602,3.477,3.531,,
2023-03-29,3.552,3.662,1411339,3.752,3.512,3.657,7137,3.552,3.662,1411339,3.752,3.512,3.657,,
2023-03-30,3.671,3.701,557279,3.721,3.626,3.681,5068,3.671,3.701,557279,3.721,3.626,3.681,,
2023-03-31,3.741,3.882,1134772,3.892,3.691,3.847,6730,3.741,3.882,1134772,3.892,3.691,3.847,,
