Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,11.77,11.29,1599236,11.85,11.2,11.45,14133,11.77,11.29,1599236,11.85,11.2,11.45,,
2023-03-02,11.17,11.37,1059057,11.39,10.91,11.23,11887,11.17,11.37,1059057,11.39,10.91,11.23,,
2023-03-03,11.51,11.58,794715,11.72,11.46,11.6,9278,11.51,11.58,794715,11.72,11.46,11.6,,
2023-03-06,11.74,11.47,1112468,11.86,11.46,11.58,11213,11.74,11.47,1112468,11.86,11.46,11.58,,
2023-03-07,11.54,11.77,952838,11.8,11.43,11.67,12258,11.54,11.77,952838,11.8,11.43,11.67,,
2023-03-08,11.8,11.75,2220640,11.84,11.22,11.59,15991,11.8,11.75,2220640,11.84,11.22,11.59,,
2023-03-09,11.75,11.14,1141728,11.8,11.13,11.43,11678,11.75,11.14,1141728,11.8,11.13,11.43,,
2023-03-10,11.17,10.67,6857188,11.23,10.55,10.71,27997,11.17,10.67,6857188,11.23,10.55,10.71,,
2023-03-13,10.53,10.41,1710160,10.56,10.2,10.38,14409,10.53,10.41,1710160,10.56,10.2,10.38,,
2023-03-14,10.54,9.895,1552972,10.58,9.81,10.04,15453,10.54,9.895,1552972,10.58,9.81,10.04,,
2023-03-15,9.595,9.165,2176460,9.595,9.005,9.211,19767,9.595,9.165,2176460,9.595,9.005,9.211,,
2023-03-16,8.984,9.385,1442342,9.48,8.944,9.314,15682,8.984,9.385,1442342,9.48,8.944,9.314,,
2023-03-17,9.245,9.115,2636151,9.471,9.04,9.163,18747,9.245,9.115,2636151,9.471,9.04,9.163,,
2023-03-20,9.105,9.105,1091378,9.275,9.07,9.136,10524,9.105,9.105,1091378,9.275,9.07,9.136,,
2023-03-21,9.335,9.385,911079,9.495,9.26,9.398,8625,9.335,9.385,911079,9.495,9.26,9.398,,
2023-03-22,9.425,9.055,1008096,9.425,9.035,9.152,8077,9.425,9.055,1008096,9.425,9.035,9.152,,
2023-03-23,9.145,8.854,1069154,9.165,8.744,8.915,8913,9.145,8.854,1069154,9.165,8.744,8.915,,
2023-03-24,8.754,8.664,1393448,8.754,8.394,8.58,12602,8.754,8.664,1393448,8.754,8.394,8.58,,
2023-03-27,8.794,8.784,934081,8.83,8.656,8.766,7239,8.794,8.784,934081,8.83,8.656,8.766,,
2023-03-28,8.764,8.984,1909044,9.045,8.744,8.935,9853,8.764,8.984,1909044,9.045,8.744,8.935,,
2023-03-29,9.255,9.385,1599738,9.425,9.215,9.339,8854,9.255,9.385,1599738,9.425,9.215,9.339,,
2023-03-30,9.554,9.424,1338722,9.724,9.414,9.47,7973,9.554,9.424,1338722,9.724,9.414,9.47,,
2023-03-31,9.524,9.844,886919,9.854,9.494,9.733,7500,9.524,9.844,886919,9.854,9.494,9.733,,
