Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,11.4,11.67,1283305,11.71,11.3,11.6,14111,11.4,11.67,1283305,11.71,11.3,11.6,,
2023-03-02,11.38,11.76,917337,11.79,11.36,11.68,11182,11.38,11.76,917337,11.79,11.36,11.68,,
2023-03-03,11.86,12.21,890211,12.28,11.82,12.13,12437,11.86,12.21,890211,12.28,11.82,12.13,,
2023-03-06,12.23,11.93,669636,12.36,11.89,12.09,9774,12.23,11.93,669636,12.36,11.89,12.09,,
2023-03-07,11.93,11.81,623403,12.1,11.7,11.84,9392,11.93,11.81,623403,12.1,11.7,11.84,,
2023-03-08,11.78,11.48,942683,11.79,11.37,11.49,12003,11.78,11.48,942683,11.79,11.37,11.49,,
2023-03-09,11.4,11.13,2191560,11.71,11.11,11.34,13946,11.4,11.13,2191560,11.71,11.11,11.34,,
2023-03-10,11.12,10.63,1403029,11.13,10.57,10.78,14827,11.12,10.63,1403029,11.13,10.57,10.78,,
2023-03-13,10.45,10.62,1342865,10.81,10.27,10.64,14893,10.45,10.62,1342865,10.81,10.27,10.64,,
2023-03-14,10.98,10.47,1837711,11.13,10.33,10.55,18324,10.98,10.47,1837711,11.13,10.33,10.55,,
2023-03-15,10.21,10.51,1570378,10.54,10.17,10.41,16927,10.21,10.51,1570378,10.54,10.17,10.41,,
2023-03-16,10.43,10.39,1249577,10.53,10.28,10.42,14683,10.43,10.39,1249577,10.53,10.28,10.42,,
2023-03-17,10.37,10.05,1774591,10.4,10.02,10.15,18835,10.37,10.05,1774591,10.4,10.02,10.15,,
2023-03-20,10.03,10.23,1160515,10.23,9.925,10.15,14044,10.03,10.23,1160515,10.23,9.925,10.15,,
2023-03-21,10.45,10.68,988170,10.74,10.4,10.64,12908,10.45,10.68,988170,10.74,10.4,10.64,,
2023-03-22,10.68,10.7,1539697,11.06,10.67,10.83,14914,10.68,10.7,1539697,11.06,10.67,10.83,,
2023-03-23,10.83,11.05,1231673,11.48,10.83,11.16,13958,10.83,11.05,1231673,11.48,10.83,11.16,,
2023-03-24,11.08,11.48,1998272,11.77,11.05,11.47,19300,11.08,11.48,1998272,11.77,11.05,11.47,,
2023-03-27,11.62,11.29,1174970,11.64,11.12,11.29,13545,11.62,11.29,1174970,11.64,11.12,11.29,,
2023-03-28,11.15,10.68,1381292,11.2,10.61,10.83,13829,11.15,10.68,1381292,11.2,10.61,10.83,,
2023-03-29,10.94,10.81,1192503,11.01,10.71,10.82,13319,10.94,10.81,1192503,11.01,10.71,10.82,,
2023-03-30,10.99,10.82,751576,11.08,10.78,10.85,10209,10.99,10.82,751576,11.08,10.78,10.85,,
2023-03-31,10.9,11.32,1336288,11.37,10.8,11.26,13890,10.9,11.32,1336288,11.37,10.8,11.26,,
