Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,101.54,101.89,82746,103.27,100.49,101.94,2929,96.26,96.6,82746,97.9,95.27,96.64,,
2023-03-02,101.26,101.06,98267,101.93,100.19,101.08,3625,96,95.81,98267,96.63,94.98,95.83,,
2023-03-03,101.62,102.9,69661,103.11,100.69,102.13,2152,96.34,97.55,69661,97.75,95.46,96.82,,
2023-03-06,103.17,95.81,152995,103.17,95.78,98.07,4555,97.81,90.83,152995,97.81,90.8,92.97,,
2023-03-07,95.65,96.01,87576,96.46,94.78,95.57,3007,90.68,91.02,87576,91.45,89.85,90.6,,
2023-03-08,96.29,95.97,75982,97.1,94.71,95.57,2578,91.29,90.98,75982,92.05,89.79,90.6,,
2023-03-09,95.85,95,81111,96.6,94.41,95.21,2391,91.28,90.47,81111,91.99,89.91,90.67,0.43,
2023-03-10,94.63,94.61,77934,94.98,92.83,94.21,2407,90.12,90.1,77934,90.45,88.4,89.72,,
2023-03-13,93.4,95.92,88847,97.78,92.43,96.06,3189,88.94,91.34,88847,93.12,88.02,91.48,,
2023-03-14,97.93,94.46,137025,97.98,93.44,95.15,3995,93.26,89.95,137025,93.31,88.98,90.61,,
2023-03-15,92.51,93.84,92795,94.06,91.59,92.87,2574,88.1,89.36,92795,89.57,87.22,88.44,,
2023-03-16,92.66,96.39,88291,97.64,92.58,96.03,2638,88.24,91.79,88291,92.98,88.16,91.45,,
2023-03-17,96.2,93.04,293376,96.2,92.74,93.57,3745,91.61,88.6,293376,91.61,88.32,89.11,,
2023-03-20,93.19,95.58,84688,96.35,93.13,95.48,2756,88.74,91.02,84688,91.75,88.69,90.93,,
2023-03-21,97.21,95.75,85263,97.9,94.57,95.76,2448,92.57,91.18,85263,93.23,90.06,91.19,,
2023-03-22,95.56,93.24,107860,96.22,93.24,94.65,3475,91,88.79,107860,91.63,88.79,90.14,,
2023-03-23,93.53,92.01,77822,94.1,91.17,92.37,2163,89.07,87.62,77822,89.61,86.82,87.96,,
2023-03-24,91.52,93.54,51724,93.9,90.68,93.2,1948,87.15,89.08,51724,89.42,86.35,88.75,,
2023-03-27,95.01,96.29,63075,96.77,94.35,95.82,2416,90.48,91.7,63075,92.15,89.85,91.25,,
2023-03-28,95.69,97.39,89650,97.53,95.05,96.74,2587,91.13,92.74,89650,92.88,90.52,92.13,,
2023-03-29,98.2,96.09,86802,98.2,94.73,95.92,2440,93.52,91.51,86802,93.52,90.21,91.34,,
2023-03-30,96.99,95.67,54394,97.39,94.74,95.78,2176,92.36,91.11,54394,92.74,90.22,91.21,,
2023-03-31,96.2,97.95,60122,98.07,96.2,97.58,1953,91.61,93.28,60122,93.39,91.61,92.93,,
