Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,18.36,18.49,1595897,18.58,18.16,18.4,16942,16.67,16.79,1595897,16.87,16.49,16.71,,
2023-03-02,18.46,18.41,856119,18.46,18.2,18.34,10402,16.76,16.71,856119,16.76,16.52,16.65,,
2023-03-03,18.51,18.67,1104514,18.7,18.45,18.63,10434,16.8,16.95,1104514,16.98,16.75,16.91,,
2023-03-06,18.75,18.35,1040948,18.75,18.3,18.42,11728,17.02,16.66,1040948,17.02,16.61,16.72,,
2023-03-07,18.31,18.5,935427,18.59,18.27,18.48,11240,16.62,16.8,935427,16.88,16.59,16.78,,
2023-03-08,18.44,18.17,956553,18.45,18.14,18.23,10947,16.74,16.5,956553,16.75,16.47,16.55,,
2023-03-09,18.08,17.48,905646,18.14,17.48,17.75,12433,16.41,15.87,905646,16.47,15.87,16.11,,
2023-03-10,17.41,16.6,1881079,17.41,16.56,16.82,21304,15.81,15.07,1881079,15.81,15.03,15.27,,
2023-03-13,16.46,17.06,1687207,17.3,16.27,16.98,20868,14.94,15.49,1687207,15.71,14.77,15.42,,
2023-03-14,17.41,17.37,1364243,17.65,16.94,17.3,16052,15.81,15.77,1364243,16.02,15.38,15.71,,
2023-03-15,17.05,17.79,2449799,18,17.05,17.68,25195,15.48,16.15,2449799,16.34,15.48,16.05,,
2023-03-16,17.76,17.97,2116436,18.06,17.71,17.92,23313,16.12,16.31,2116436,16.4,16.08,16.27,,
2023-03-17,17.93,18.32,3015811,18.39,17.76,18.23,20037,16.28,16.63,3015811,16.7,16.12,16.55,,
2023-03-20,18.32,17.77,1234411,18.47,17.73,17.92,14521,16.63,16.13,1234411,16.77,16.1,16.27,,
2023-03-21,17.99,17.86,1057137,18.12,17.77,17.9,12895,16.33,16.21,1057137,16.45,16.13,16.25,,
2023-03-22,17.82,17.44,1178263,17.93,17.41,17.65,16387,16.18,15.83,1178263,16.28,15.81,16.02,,
2023-03-23,17.49,17.2,1404547,17.51,17.03,17.25,16286,15.88,15.62,1404547,15.9,15.46,15.66,,
2023-03-24,17.13,17.28,1755590,17.31,16.97,17.22,19185,15.55,15.69,1755590,15.72,15.41,15.63,,
2023-03-27,17.45,17.51,1151239,17.66,17.23,17.47,16255,15.84,15.9,1151239,16.03,15.64,15.86,,
2023-03-28,17.55,18.26,1243397,18.31,17.48,18.11,12489,15.93,16.58,1243397,16.62,15.87,16.44,,
2023-03-29,18.43,18.65,1891129,19.27,18.43,18.74,21893,16.73,16.93,1891129,17.49,16.73,17.01,,
2023-03-30,18.69,18.72,834013,18.87,18.49,18.67,12048,16.97,17,834013,17.13,16.79,16.95,,
2023-03-31,18.83,18.91,858837,18.92,18.58,18.81,9459,17.1,17.17,858837,17.18,16.87,17.08,,
