Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.67,1.62,45372,1.67,1.55,1.6,181,16.7,16.2,4537,16.7,15.5,16,,
2023-03-02,1.59,1.72,71407,1.73,1.59,1.689,231,15.9,17.2,7141,17.3,15.9,16.89,,
2023-03-03,1.78,1.8,105327,1.844,1.74,1.791,375,17.8,18,10533,18.44,17.4,17.91,,
2023-03-06,1.85,1.71,61753,1.85,1.68,1.735,287,18.5,17.1,6175,18.5,16.8,17.35,,
2023-03-07,1.73,1.66,73627,1.75,1.6,1.685,246,17.3,16.6,7363,17.5,16,16.85,,
2023-03-08,1.67,1.64,24654,1.685,1.64,1.665,99,16.7,16.4,2465,16.85,16.4,16.65,,
2023-03-09,1.76,1.59,11434,1.76,1.59,1.644,119,17.6,15.9,1143,17.6,15.9,16.44,,
2023-03-10,1.701,1.601,18914,1.701,1.584,1.63,97,17.01,16.01,1891,17.01,15.84,16.3,,
2023-03-13,1.601,1.6,45930,1.621,1.531,1.565,144,16.01,16,4593,16.21,15.31,15.65,,
2023-03-14,1.601,1.531,36080,1.691,1.531,1.57,244,16.01,15.31,3608,16.91,15.31,15.7,,
2023-03-15,1.511,1.481,74084,1.551,1.423,1.499,190,15.11,14.81,7408,15.51,14.23,14.99,,
2023-03-16,1.501,1.466,15819,1.526,1.453,1.486,105,15.01,14.66,1582,15.26,14.53,14.86,,
2023-03-17,1.481,1.471,26702,1.531,1.451,1.494,172,14.81,14.71,2670,15.31,14.51,14.94,,
2023-03-20,1.491,1.461,39860,1.521,1.451,1.479,174,14.91,14.61,3986,15.21,14.51,14.79,,
2023-03-21,1.491,1.471,36262,1.516,1.461,1.488,131,14.91,14.71,3626,15.16,14.61,14.88,,
2023-03-22,1.501,1.471,16161,1.511,1.441,1.478,105,15.01,14.71,1616,15.11,14.41,14.78,,
2023-03-23,1.466,1.43,64364,1.471,1.371,1.428,256,14.66,14.3,6436,14.71,13.71,14.28,,
2023-03-24,1.441,1.411,18233,1.441,1.381,1.402,120,14.41,14.11,1823,14.41,13.81,14.02,,
2023-03-27,1.411,1.411,59834,1.491,1.401,1.43,227,14.11,14.11,5983,14.91,14.01,14.3,,
2023-03-28,1.391,1.391,34756,1.431,1.381,1.404,149,13.91,13.91,3476,14.31,13.81,14.04,,
2023-03-29,1.391,1.391,24379,1.401,1.381,1.39,191,13.91,13.91,2438,14.01,13.81,13.9,,
2023-03-30,1.381,1.401,23391,1.431,1.381,1.408,128,13.81,14.01,2339,14.31,13.81,14.08,,
2023-03-31,1.431,1.451,26782,1.461,1.406,1.432,128,14.31,14.51,2678,14.61,14.06,14.32,,
