Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,30.06,29.94,7374774,30.19,29.78,29.96,58818,26.54,26.43,7374774,26.65,26.29,26.45,,
2023-03-02,29.9,30.42,5558557,30.5,29.82,30.29,45634,26.4,26.85,5558557,26.93,26.33,26.74,,
2023-03-03,30.28,30.97,5713942,31.07,30.22,30.87,49836,26.73,27.34,5713942,27.43,26.68,27.25,,
2023-03-06,30.81,30.7,5721981,31.02,30.63,30.77,47626,27.2,27.1,5721981,27.38,27.04,27.16,,
2023-03-07,30.62,30.37,5586393,30.68,30.21,30.4,46582,27.03,26.81,5586393,27.08,26.67,26.84,,
2023-03-08,30.37,30.37,6793720,30.59,30.11,30.3,52638,26.81,26.81,6793720,27,26.58,26.75,,
2023-03-09,30.6,29.89,8254926,30.76,29.86,30.16,63066,27.01,26.39,8254926,27.15,26.36,26.63,,
2023-03-10,29.47,28.91,9149363,29.58,28.71,29.04,78556,26.41,25.91,9149363,26.51,25.73,26.03,0.4475,
2023-03-13,28.52,29.02,11861198,29.37,28.18,29.01,100249,25.56,26.01,11861198,26.32,25.26,26,,
2023-03-14,29.19,29.26,9680817,29.69,28.79,29.3,68520,26.16,26.22,9680817,26.61,25.8,26.26,,
2023-03-15,28.45,28.79,11609501,29.16,28.28,28.7,104346,25.5,25.8,11609501,26.13,25.34,25.72,,
2023-03-16,28.36,28.83,10967755,28.9,28.06,28.68,81082,25.42,25.84,10967755,25.9,25.15,25.7,,
2023-03-17,28.72,28.31,13158627,28.76,28.15,28.39,64271,25.74,25.37,13158627,25.78,25.23,25.44,,
2023-03-20,28.44,28.9,6863000,29.17,28.37,28.88,61420,25.49,25.9,6863000,26.14,25.43,25.88,,
2023-03-21,29.23,29.19,7847305,29.31,28.83,29.12,51691,26.2,26.16,7847305,26.27,25.84,26.1,,
2023-03-22,29.21,28.65,6228873,29.36,28.63,29.03,52357,26.18,25.68,6228873,26.31,25.66,26.02,,
2023-03-23,28.65,28.31,5481138,28.97,28.1,28.49,44504,25.68,25.37,5481138,25.96,25.18,25.53,,
2023-03-24,27.92,28.75,7075674,28.8,27.81,28.47,57029,25.02,25.77,7075674,25.81,24.92,25.52,,
2023-03-27,29.09,28.94,6327258,29.22,28.84,29.03,45592,26.07,25.94,6327258,26.19,25.85,26.02,,
2023-03-28,28.45,28.88,6616796,29.05,28.27,28.85,52022,25.5,25.88,6616796,26.04,25.34,25.86,,
2023-03-29,29.21,29.28,7482511,29.28,29.01,29.17,45980,26.18,26.24,7482511,26.24,26,26.14,,
2023-03-30,29.61,29.42,4215232,29.61,29.3,29.42,36104,26.54,26.37,4215232,26.54,26.26,26.37,,
2023-03-31,29.43,29.87,5824244,29.89,29.43,29.74,38594,26.38,26.77,5824244,26.79,26.38,26.65,,
