Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,11.63,11.81,249700,11.89,11.42,11.75,3671,11.63,11.81,249700,11.89,11.42,11.75,,
2023-03-02,11.7,11.89,256237,12.08,11.68,11.87,3269,11.7,11.89,256237,12.08,11.68,11.87,,
2023-03-03,11.94,11.87,268045,12.02,11.75,11.88,3890,11.94,11.87,268045,12.02,11.75,11.88,,
2023-03-06,11.91,11.54,325579,11.99,11.18,11.58,4079,11.91,11.54,325579,11.99,11.18,11.58,,
2023-03-07,11.53,11.6,182085,11.77,11.42,11.59,2815,11.53,11.6,182085,11.77,11.42,11.59,,
2023-03-08,11.58,11.13,262569,11.75,11.1,11.41,3622,11.58,11.13,262569,11.75,11.1,11.41,,
2023-03-09,11.15,11.28,203416,11.6,11.15,11.34,2857,11.15,11.28,203416,11.6,11.15,11.34,,
2023-03-10,11.03,10.91,253705,11.29,10.84,11.02,4187,11.03,10.91,253705,11.29,10.84,11.02,,
2023-03-13,10.57,10.53,201683,10.85,10.32,10.59,4926,10.57,10.53,201683,10.85,10.32,10.59,,
2023-03-14,10.79,10.96,196217,11.02,10.6,10.93,3244,10.79,10.96,196217,11.02,10.6,10.93,,
2023-03-15,10.71,10.61,257312,10.78,10.16,10.5,5193,10.71,10.61,257312,10.78,10.16,10.5,,
2023-03-16,10.48,10.95,193373,10.98,10.36,10.83,3909,10.48,10.95,193373,10.98,10.36,10.83,,
2023-03-17,10.79,10.71,1162870,10.87,9.975,10.61,6472,10.79,10.71,1162870,10.87,9.975,10.61,,
2023-03-20,10.77,10.63,258396,10.88,10.47,10.63,4878,10.77,10.63,258396,10.88,10.47,10.63,,
2023-03-21,10.78,10.92,159990,10.96,10.66,10.86,2322,10.78,10.92,159990,10.96,10.66,10.86,,
2023-03-22,10.92,10.35,309698,10.96,10.31,10.6,3399,10.92,10.35,309698,10.96,10.31,10.6,,
2023-03-23,10.41,10.61,216810,10.65,10.14,10.54,3743,10.41,10.61,216810,10.65,10.14,10.54,,
2023-03-24,10.52,10.41,252495,10.62,10.38,10.45,3412,10.52,10.41,252495,10.62,10.38,10.45,,
2023-03-27,10.49,10.48,320078,10.69,10.26,10.53,4643,10.49,10.48,320078,10.69,10.26,10.53,,
2023-03-28,10.4,10.54,143333,10.56,10.33,10.48,2424,10.4,10.54,143333,10.56,10.33,10.48,,
2023-03-29,10.62,10.45,306417,10.78,10.4,10.48,3855,10.62,10.45,306417,10.78,10.4,10.48,,
2023-03-30,10.58,10.66,280604,10.68,10.47,10.58,3206,10.58,10.66,280604,10.68,10.47,10.58,,
2023-03-31,10.74,10.93,439907,11.04,10.67,10.9,4109,10.74,10.93,439907,11.04,10.67,10.9,,
