Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,43.39,42.55,64044,43.42,42.24,42.68,1843,41.15,40.35,64044,41.17,40.06,40.47,,
2023-03-02,42.32,42.95,53300,43.23,42.26,42.82,1362,40.13,40.73,53300,40.99,40.07,40.61,,
2023-03-03,43.18,43.42,49101,43.55,42.7,43.27,1364,40.95,41.17,49101,41.3,40.49,41.03,,
2023-03-06,43.67,43.57,61735,43.94,42.94,43.38,1811,41.41,41.32,61735,41.67,40.72,41.14,,
2023-03-07,43.87,45.33,155051,45.69,43.72,44.84,3775,41.6,42.99,155051,43.33,41.46,42.52,,
2023-03-08,45.09,43.59,95641,45.31,42.7,43.5,2616,42.76,41.34,95641,42.97,40.49,41.25,,
2023-03-09,43.57,43.64,59025,44.2,43.25,43.69,1612,41.32,41.38,59025,41.91,41.01,41.43,,
2023-03-10,43.75,44.02,74847,44.22,43.45,43.96,2162,41.49,41.74,74847,41.93,41.2,41.69,,
2023-03-13,43.82,43.67,70820,45.02,43.56,44.06,2273,41.55,41.41,70820,42.69,41.31,41.78,,
2023-03-14,44.05,44.64,52787,44.79,44.05,44.58,1884,41.77,42.33,52787,42.47,41.77,42.27,,
2023-03-15,44.39,44.8,37257,45.12,43.8,44.69,1444,42.09,42.48,37257,42.79,41.53,42.38,,
2023-03-16,44.42,45.1,41216,45.43,44.42,45.15,1675,42.12,42.77,41216,43.08,42.12,42.81,,
2023-03-17,44.95,44.59,143275,45.21,44.22,44.64,1926,42.63,42.28,143275,42.87,41.93,42.33,,
2023-03-20,44.7,44.82,57620,45.02,44.44,44.76,1837,42.39,42.5,57620,42.69,42.14,42.45,,
2023-03-21,45,44.16,94224,45.07,43.86,44.23,2027,42.67,41.88,94224,42.74,41.59,41.94,,
2023-03-22,44.05,43.12,50750,44.36,43.11,43.51,1359,41.77,40.89,50750,42.07,40.88,41.26,,
2023-03-23,43.16,42.78,38169,43.37,42.7,42.95,1299,40.93,40.57,38169,41.13,40.49,40.73,,
2023-03-24,42.62,44.2,55502,44.38,42.52,44,1349,40.42,41.91,55502,42.08,40.32,41.72,,
2023-03-27,44.4,44.22,30472,44.71,44.19,44.35,1267,42.1,41.93,30472,42.4,41.9,42.06,,
2023-03-28,44.07,44.38,30790,44.67,44.07,44.3,1271,41.79,42.08,30790,42.36,41.79,42.01,,
2023-03-29,44.31,44.5,39748,44.77,44.07,44.41,1046,42.02,42.2,39748,42.45,41.79,42.11,,
2023-03-30,44.46,44.55,21014,44.83,44.14,44.48,1133,42.16,42.25,21014,42.51,41.86,42.18,,
2023-03-31,44.7,44.72,45144,44.95,44.05,44.58,1118,42.39,42.41,45144,42.63,41.77,42.27,,
