Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,40,40.09,12110,40.31,39.67,39.94,124,38.73,38.82,12110,39.03,38.41,38.67,,
2023-03-02,39.79,39.15,17202,40.19,39.02,39.33,187,38.53,37.91,17202,38.91,37.78,38.08,,
2023-03-03,39.64,39.61,3402,39.64,39.32,39.49,82,38.38,38.35,3402,38.38,38.07,38.23,,
2023-03-06,39.53,40.62,58674,40.64,39.39,40.36,269,38.27,39.33,58674,39.35,38.14,39.08,,
2023-03-07,40.63,39.64,13858,40.63,39.46,39.93,173,39.34,38.38,13858,39.34,38.21,38.66,,
2023-03-08,39.77,39.95,8642,40,39.01,39.62,128,38.51,38.68,8642,38.73,37.77,38.36,,
2023-03-09,39.72,38.83,32500,40.27,38.67,39.19,196,38.46,37.6,32500,38.99,37.44,37.94,,
2023-03-10,38.83,37.27,56974,38.83,37.24,37.48,274,37.6,36.09,56974,37.6,36.06,36.29,,
2023-03-13,37.11,36.76,32655,37.32,36.07,36.65,214,35.93,35.59,32655,36.13,34.92,35.49,,
2023-03-14,36.78,37.09,14227,37.67,36.78,37.16,192,35.61,35.91,14227,36.47,35.61,35.98,,
2023-03-15,36.22,35.66,62471,36.35,35.04,35.5,353,35.07,34.53,62471,35.19,33.93,34.37,,
2023-03-16,35.63,36.73,5843,36.74,35.28,35.93,84,34.5,35.56,5843,35.57,34.16,34.79,,
2023-03-17,36.34,36.08,46512,36.34,35.47,35.73,141,35.18,34.93,46512,35.18,34.34,34.59,,
2023-03-20,35.97,35.89,10202,36.13,35.59,35.92,98,34.83,34.75,10202,34.98,34.46,34.78,,
2023-03-21,36.17,36.92,4807,37.04,36.17,36.74,79,35.02,35.75,4807,35.86,35.02,35.57,,
2023-03-22,37.21,36.47,9691,37.21,36.47,36.9,94,36.03,35.31,9691,36.03,35.31,35.73,,
2023-03-23,36.98,36.36,4769,36.99,36.15,36.51,76,35.8,35.2,4769,35.81,35,35.35,,
2023-03-24,36.12,36.51,2910,36.57,35.79,36.25,54,34.97,35.35,2910,35.41,34.65,35.1,,
2023-03-27,36.92,37.42,8992,37.57,36.83,37.2,89,35.75,36.23,8992,36.38,35.66,36.02,,
2023-03-28,37.63,38.02,9450,38.15,37.49,37.8,115,36.43,36.81,9450,36.94,36.3,36.6,,
2023-03-29,38.16,38.78,10158,38.84,38.16,38.62,99,36.95,37.55,10158,37.61,36.95,37.39,,
2023-03-30,39.08,39.15,6138,39.15,38.81,39.04,145,37.84,37.91,6138,37.91,37.58,37.8,,
2023-03-31,39.77,39.29,19226,39.82,38.86,39.33,169,38.51,38.04,19226,38.55,37.62,38.08,,
