Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,44.49,44.51,8578,44.57,44.46,44.55,35,41.37,41.39,8578,41.45,41.35,41.43,,
2023-03-02,44.56,44.74,6713,44.77,44.51,44.71,26,41.44,41.61,6713,41.63,41.39,41.58,,
2023-03-03,44.84,45.07,14232,45.11,44.83,44.94,32,41.7,41.91,14232,41.95,41.69,41.79,,
2023-03-06,44.96,44.98,2443,45.22,44.96,45.12,20,41.81,41.83,2443,42.05,41.81,41.96,,
2023-03-07,44.55,44.27,1348,44.56,44.23,44.39,25,41.43,41.17,1348,41.44,41.13,41.28,,
2023-03-08,44.54,44.49,742,44.54,44.45,44.44,7,41.42,41.37,742,41.42,41.34,41.33,,
2023-03-09,44.17,43.58,4383,44.2,43.58,43.88,25,41.08,40.53,4383,41.1,40.53,40.81,,
2023-03-10,43.57,43.3,812,43.57,43.3,43.56,7,40.52,40.27,812,40.52,40.27,40.51,,
2023-03-13,43.45,43.28,541,43.45,43.28,43.36,14,40.41,40.25,541,40.41,40.25,40.32,,
2023-03-14,43.33,43.27,1768,43.33,43.18,43.24,13,40.29,40.24,1768,40.29,40.15,40.21,,
2023-03-15,42.43,42.51,3341,42.55,42.26,42.42,18,39.46,39.53,3341,39.57,39.3,39.45,,
2023-03-16,42.58,43.29,113773,43.3,42.54,42.87,77,39.6,40.26,113773,40.27,39.56,39.87,,
2023-03-17,43.28,43.03,5131,43.28,42.82,42.95,22,40.25,40.02,5131,40.25,39.82,39.94,,
2023-03-20,42.95,43.03,4324,43.08,42.95,42.99,22,39.94,40.02,4324,40.06,39.94,39.98,,
2023-03-21,43.44,43.41,10143,43.44,43.22,43.34,53,40.4,40.37,10143,40.4,40.19,40.3,,
2023-03-22,43.79,43.58,6644,43.96,43.58,43.77,30,40.72,40.53,6644,40.88,40.53,40.7,,
2023-03-23,44.39,44.06,6280,44.39,43.81,44.13,23,41.28,40.97,6280,41.28,40.74,41.04,,
2023-03-24,43.74,43.89,27416,43.89,43.7,43.77,19,40.68,40.82,27416,40.82,40.64,40.7,,
2023-03-27,43.67,43.7,4814,43.77,43.63,43.7,25,40.61,40.64,4814,40.7,40.57,40.64,,
2023-03-28,44.12,44.18,3881,44.18,44.07,44.1,28,41.03,41.08,3881,41.08,40.98,41.01,,
2023-03-29,44.18,44.29,44613,44.49,44.18,44.3,188,41.08,41.19,44613,41.37,41.08,41.2,,
2023-03-30,44.89,44.81,4037,44.89,44.73,44.8,31,41.75,41.67,4037,41.75,41.6,41.66,,
2023-03-31,44.91,44.8,716,44.91,44.74,44.82,17,41.76,41.66,716,41.76,41.61,41.68,,
