Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,84.56,84.44,2691,84.56,84.4,84.42,21,81.5,81.38,2691,81.5,81.34,81.36,,
2023-03-02,84.1,84.74,1161,84.74,84.01,84.07,9,81.05,81.67,1161,81.67,80.97,81.03,,
2023-03-03,85.5,85.86,2152,85.94,85.5,85.69,12,82.4,82.75,2152,82.83,82.4,82.59,,
2023-03-06,85.05,84.72,1841,85.08,84.72,84.92,20,81.97,81.65,1841,82,81.65,81.84,,
2023-03-07,84.66,83.72,866,84.86,83.72,84.5,17,81.59,80.69,866,81.79,80.69,81.44,,
2023-03-08,84.42,83.74,11761,84.42,83.18,83.62,24,81.36,80.71,11761,81.36,80.17,80.59,,
2023-03-09,83.61,81.49,6057,83.61,81.49,82.83,23,80.58,78.54,6057,80.58,78.54,79.83,,
2023-03-10,80.23,79.16,2771,80.23,79.03,79.84,26,77.32,76.29,2771,77.32,76.17,76.95,,
2023-03-13,77.03,77.96,3945,78.7,77.03,78.29,30,74.24,75.14,3945,75.85,74.24,75.45,,
2023-03-14,80.23,79.22,1764,80.3,78.97,79.93,29,77.32,76.35,1764,77.39,76.11,77.04,,
2023-03-15,77.48,77.8,3110,77.8,77.06,77.21,25,74.67,74.98,3110,74.98,74.27,74.41,,
2023-03-16,77.04,79.11,1798,79.17,77.04,78.42,31,74.25,76.24,1798,76.3,74.25,75.58,,
2023-03-17,77.36,77.28,1954,77.46,77.28,77.41,23,74.56,74.48,1954,74.65,74.48,74.61,,
2023-03-20,78.74,78.28,2120,78.82,78.28,78.67,26,75.89,75.44,2120,75.97,75.44,75.82,,
2023-03-21,79.52,79.8,15259,79.82,79.52,79.69,26,76.64,76.91,15259,76.93,76.64,76.8,,
2023-03-22,79.34,77.85,1977,79.34,77.85,78.98,17,76.47,75.03,1977,76.47,75.03,76.12,,
2023-03-23,78.85,77.36,1375,78.85,77.36,78.5,15,75.99,74.56,1375,75.99,74.56,75.66,,
2023-03-24,76.54,77.74,2265,77.82,76.54,77.17,21,73.77,74.92,2265,75,73.77,74.38,,
2023-03-27,78.3,78.61,15443,78.9,78.14,78.73,28,75.46,75.76,15443,76.04,75.31,75.88,,
2023-03-28,79.16,78.68,3265,79.16,78.32,78.78,37,76.29,75.83,3265,76.29,75.48,75.93,,
2023-03-29,79.41,79.69,4087,79.69,79.38,79.54,35,76.53,76.8,4087,76.8,76.5,76.66,,
2023-03-30,79.81,79.81,1327,79.81,79.63,79.77,15,76.92,76.92,1327,76.92,76.75,76.88,,
2023-03-31,81.32,81.32,457,81.32,81.32,80.98,13,78.37,78.37,457,78.37,78.37,78.05,,
