Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.39,10.22,7151,10.44,10.21,10.39,31,8.014,7.883,7151,8.052,7.875,8.014,,
2023-03-02,10.14,10.17,414,10.17,10.14,10.16,9,7.821,7.844,414,7.844,7.821,7.836,,
2023-03-03,10.22,10.22,240,10.22,10.22,10.2,13,7.883,7.883,240,7.883,7.883,7.867,,
2023-03-06,10.22,10.2,548,10.22,10.2,10.21,7,7.883,7.867,548,7.883,7.867,7.875,,
2023-03-07,10.14,10.14,129,10.14,10.14,10.15,9,7.821,7.821,129,7.821,7.821,7.829,,
2023-03-08,10.19,10.19,407,10.19,10.19,10.18,7,7.86,7.86,407,7.86,7.86,7.852,,
2023-03-09,9.999,9.619,458,10.01,9.619,9.999,11,7.712,7.419,458,7.721,7.419,7.712,,
2023-03-10,9.565,9.395,610,9.565,9.395,9.51,4,7.378,7.246,610,7.378,7.246,7.335,,
2023-03-13,9.695,9.735,957,9.735,9.685,9.699,15,7.478,7.509,957,7.509,7.47,7.481,,
2023-03-14,10.08,10.08,316,10.08,10.08,10.08,10,7.775,7.775,316,7.775,7.775,7.775,,
2023-03-15,9.925,9.925,397,9.925,9.925,9.913,7,7.655,7.655,397,7.655,7.655,7.646,,
2023-03-16,10.23,10.26,147,10.26,10.23,10.21,12,7.89,7.914,147,7.914,7.89,7.875,,
2023-03-17,10.58,10.58,1778,10.58,10.58,10.52,84,8.16,8.16,1778,8.16,8.16,8.114,,
2023-03-20,10.72,10.6,370,10.72,10.57,10.67,11,8.312,8.219,370,8.312,8.196,8.273,0.05538,
2023-03-21,10.95,10.95,120,10.95,10.95,10.93,8,8.49,8.49,120,8.49,8.49,8.475,,
2023-03-22,10.56,10.56,107,10.56,10.56,11.1,6,8.188,8.188,107,8.188,8.188,8.607,,
2023-03-23,10.74,10.84,445,10.84,10.74,10.73,5,8.327,8.405,445,8.405,8.327,8.32,,
2023-03-24,10.72,10.69,2742,10.72,10.61,10.67,27,8.312,8.289,2742,8.312,8.227,8.273,,
2023-03-27,10.47,10.47,376,10.47,10.47,10.51,11,8.118,8.118,376,8.118,8.118,8.149,,
2023-03-28,10.53,10.53,410,10.53,10.52,10.53,8,8.165,8.165,410,8.165,8.157,8.165,,
2023-03-29,10.82,10.88,304,10.88,10.82,10.86,8,8.39,8.436,304,8.436,8.39,8.421,,
2023-03-30,10.97,10.95,219,10.97,10.95,10.95,8,8.506,8.49,219,8.506,8.49,8.49,,
2023-03-31,11.23,11.23,142,11.23,11.23,11.21,6,8.707,8.707,142,8.707,8.707,8.692,,
