Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.71,21.7,4079,21.71,21.68,21.69,48,20.21,20.2,4079,20.21,20.18,20.19,,
2023-03-02,21.61,21.66,6390,21.69,21.61,21.68,61,20.12,20.17,6390,20.19,20.12,20.18,,
2023-03-03,21.73,21.71,5952,21.74,21.71,21.73,64,20.23,20.21,5952,20.24,20.21,20.23,,
2023-03-06,21.76,21.71,9201,21.78,21.67,21.74,117,20.26,20.21,9201,20.28,20.17,20.24,,
2023-03-07,21.75,21.71,1927,21.75,21.71,21.74,16,20.25,20.21,1927,20.25,20.21,20.24,,
2023-03-08,21.73,21.71,2222,21.73,21.71,21.72,5,20.23,20.21,2222,20.23,20.21,20.22,,
2023-03-09,21.78,21.77,4488,21.83,21.77,21.8,39,20.28,20.27,4488,20.32,20.27,20.3,,
2023-03-10,21.92,21.92,2012,21.92,21.91,21.91,15,20.41,20.41,2012,20.41,20.4,20.4,,
2023-03-13,22.11,22.02,10122,22.12,22,22.04,71,20.58,20.5,10122,20.59,20.48,20.52,,
2023-03-14,21.97,21.96,2598,22.02,21.94,21.96,25,20.45,20.44,2598,20.5,20.43,20.44,,
2023-03-15,22.19,22.07,7595,22.19,22.06,22.1,44,20.66,20.55,7595,20.66,20.54,20.57,,
2023-03-16,22.05,22.04,9835,22.14,22.02,22.06,56,20.53,20.52,9835,20.61,20.5,20.54,,
2023-03-17,22.22,22.16,17261,22.25,22.16,22.22,46,20.69,20.63,17261,20.71,20.63,20.69,,
2023-03-20,22.08,21.99,9151,22.1,21.99,22.05,61,20.6,20.52,9151,20.62,20.52,20.58,0.05066,
2023-03-21,22.08,21.96,13094,22.08,21.96,22.02,76,20.6,20.49,13094,20.6,20.49,20.55,,
2023-03-22,22.01,22.09,6675,22.09,22.01,22.03,62,20.54,20.61,6675,20.61,20.54,20.56,,
2023-03-23,22.15,22.09,6019,22.19,22.09,22.16,72,20.67,20.61,6019,20.71,20.61,20.68,,
2023-03-24,22.19,22.13,5973,22.22,22.11,22.19,45,20.71,20.65,5973,20.73,20.63,20.71,,
2023-03-27,22.14,22.09,7238,22.21,22.09,22.17,57,20.66,20.61,7238,20.72,20.61,20.69,,
2023-03-28,22.12,22.15,6800,22.21,22.12,22.16,46,20.64,20.67,6800,20.72,20.64,20.68,,
2023-03-29,22.14,22.16,3750,22.18,22.14,22.17,15,20.66,20.68,3750,20.7,20.66,20.69,,
2023-03-30,22.18,22.21,2661,22.21,22.14,22.17,16,20.7,20.72,2661,20.72,20.66,20.69,,
2023-03-31,22.23,22.24,4906,22.3,22.23,22.27,35,20.74,20.75,4906,20.81,20.74,20.78,,
