Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,19.95,19.9,76642,19.98,19.86,19.93,186,19.95,19.9,76642,19.98,19.86,19.93,,
2023-03-02,19.87,20,78248,20.02,19.84,19.94,156,19.87,20,78248,20.02,19.84,19.94,,
2023-03-03,20.09,20.15,87337,20.2,19.97,20.13,202,20.09,20.15,87337,20.2,19.97,20.13,,
2023-03-06,20.17,20.2,61093,20.27,20.13,20.2,229,20.17,20.2,61093,20.27,20.13,20.2,,
2023-03-07,20.17,20.03,74995,20.17,19.96,20.05,287,20.17,20.03,74995,20.17,19.96,20.05,,
2023-03-08,20.03,20.06,56738,20.06,19.95,20.01,183,20.03,20.06,56738,20.06,19.95,20.01,,
2023-03-09,20.07,19.86,46507,20.1,19.8,19.95,175,20.07,19.86,46507,20.1,19.8,19.95,,
2023-03-10,19.85,19.7,617279,19.87,19.67,19.74,2798,19.85,19.7,617279,19.87,19.67,19.74,,
2023-03-13,19.64,19.75,534257,19.83,19.64,19.74,747,19.64,19.75,534257,19.83,19.64,19.74,,
2023-03-14,19.81,19.86,107941,19.89,19.72,19.79,197,19.81,19.86,107941,19.89,19.72,19.79,,
2023-03-15,19.75,19.79,402229,19.81,19.65,19.75,186,19.75,19.79,402229,19.81,19.65,19.75,,
2023-03-16,19.75,20.01,232411,20.02,19.74,19.93,270,19.75,20.01,232411,20.02,19.74,19.93,,
2023-03-17,19.95,19.91,98847,19.97,19.83,19.89,220,19.95,19.91,98847,19.97,19.83,19.89,,
2023-03-20,19.9,19.94,243033,20.02,19.86,19.93,136,19.9,19.94,243033,20.02,19.86,19.93,,
2023-03-21,20.07,20.1,63538,20.14,19.98,20.06,122,20.07,20.1,63538,20.14,19.98,20.06,,
2023-03-22,20.1,19.91,70434,20.2,19.91,20.07,148,20.1,19.91,70434,20.2,19.91,20.07,,
2023-03-23,19.94,20.01,106767,20.15,19.91,20.02,278,19.94,20.01,106767,20.15,19.91,20.02,,
2023-03-24,19.95,20.07,65954,20.07,19.87,19.99,151,19.95,20.07,65954,20.07,19.87,19.99,,
2023-03-27,20.16,20.08,58414,20.16,19.97,20.08,165,20.16,20.08,58414,20.16,19.97,20.08,,
2023-03-28,20.02,20.04,109408,20.06,19.95,20.01,325,20.02,20.04,109408,20.06,19.95,20.01,,
2023-03-29,20.13,20.16,80080,20.24,20.06,20.14,297,20.13,20.16,80080,20.24,20.06,20.14,,
2023-03-30,20.28,20.27,650456,20.28,20.18,20.2,397,20.28,20.27,650456,20.28,20.18,20.2,,
2023-03-31,20.24,20.44,83650,20.44,20.24,20.32,214,20.24,20.44,83650,20.44,20.24,20.32,,
