Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,20.03,20.04,5619,20.08,20.02,20.04,48,17.1,17.11,5619,17.14,17.09,17.11,0.11898,
2023-03-02,20.02,20.03,1316,20.03,20.01,20.02,10,17.09,17.1,1316,17.1,17.09,17.09,,
2023-03-03,20.01,20.04,16614,20.04,20,20.02,123,17.09,17.11,16614,17.11,17.08,17.09,,
2023-03-06,20.23,20.05,23389,20.23,20.02,20.06,157,17.27,17.12,23389,17.27,17.09,17.13,,
2023-03-07,20.05,20.05,4566,20.07,20.03,20.04,34,17.12,17.12,4566,17.14,17.1,17.11,,
2023-03-08,20.03,20.03,502,20.03,20.03,20.04,4,17.1,17.1,502,17.1,17.1,17.11,,
2023-03-09,20.02,20.04,1830,20.05,20.02,20.05,4,17.09,17.11,1830,17.12,17.09,17.12,,
2023-03-10,20.11,20.12,3610,20.12,20.08,20.11,24,17.17,17.18,3610,17.18,17.14,17.17,,
2023-03-13,20.13,20.18,12348,20.2,20.13,20.17,66,17.19,17.23,12348,17.25,17.19,17.22,,
2023-03-14,20.21,20.19,423,20.22,20.19,20.22,3,17.26,17.24,423,17.26,17.24,17.26,,
2023-03-15,20.27,20.25,782,20.27,20.25,20.27,5,17.31,17.29,782,17.31,17.29,17.31,,
2023-03-16,20.22,20.22,1638,20.26,20.22,20.23,10,17.26,17.26,1638,17.3,17.26,17.27,,
2023-03-17,20.27,20.28,2689,20.28,20.2,20.24,18,17.31,17.32,2689,17.32,17.25,17.28,,
2023-03-20,20.27,20.24,1355,20.27,20.24,20.25,9,17.31,17.28,1355,17.31,17.28,17.29,,
2023-03-21,20.24,20.24,812,20.24,20.24,20.24,2,17.28,17.28,812,17.28,17.28,17.28,,
2023-03-22,20.19,20.26,2526,20.31,20.19,20.23,21,17.24,17.3,2526,17.34,17.24,17.27,,
2023-03-23,20.29,20.3,1826,20.33,20.29,20.31,14,17.32,17.33,1826,17.36,17.32,17.34,,
2023-03-24,20.36,20.36,250,20.36,20.36,20.35,3,17.38,17.38,250,17.38,17.38,17.38,,
2023-03-27,20.32,20.32,891,20.33,20.3,20.32,6,17.35,17.35,891,17.36,17.33,17.35,,
2023-03-28,20.3,20.29,4338,20.31,20.26,20.28,27,17.33,17.32,4338,17.34,17.3,17.32,,
2023-03-29,20.22,20.24,166,20.24,20.22,20.22,3,17.26,17.28,166,17.28,17.26,17.26,,
2023-03-30,20.27,20.25,2213,20.28,20.25,20.27,17,17.31,17.29,2213,17.32,17.29,17.31,,
2023-03-31,20.29,20.28,3557,20.3,20.26,20.28,23,17.32,17.32,3557,17.33,17.3,17.32,,
