Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,48.24,48.07,11699,48.68,47.84,48.37,106,46.75,46.59,11699,47.18,46.36,46.88,,
2023-03-02,47.25,48.08,1825,48.13,47.25,47.86,44,45.79,46.6,1825,46.65,45.79,46.38,,
2023-03-03,48.85,48.98,13839,49.46,48.74,49.06,137,47.34,47.47,13839,47.93,47.24,47.55,,
2023-03-06,49.43,49.03,5125,49.56,48.97,49.35,72,47.9,47.52,5125,48.03,47.46,47.83,,
2023-03-07,48.34,47.88,2129,48.34,47.78,48.19,57,46.85,46.4,2129,46.85,46.31,46.7,,
2023-03-08,48.38,48.58,2610,48.58,48.15,48.28,41,46.89,47.08,2610,47.08,46.66,46.79,,
2023-03-09,48.45,47.23,5896,48.51,47.23,47.85,78,46.96,45.77,5896,47.01,45.77,46.37,,
2023-03-10,47.07,46.47,3141,47.19,46.42,46.74,75,45.62,45.04,3141,45.73,44.99,45.3,,
2023-03-13,45.72,46.47,2303,47.04,45.72,46.56,66,44.31,45.04,2303,45.59,44.31,45.12,,
2023-03-14,47.4,47.32,39770,47.4,46.72,47.06,205,45.94,45.86,39770,45.94,45.28,45.61,,
2023-03-15,46.25,46.74,3002,46.74,46.19,46.33,50,44.82,45.3,3002,45.3,44.76,44.9,,
2023-03-16,47.07,48.23,1043,48.27,47.07,47.55,37,45.62,46.74,1043,46.78,45.62,46.08,,
2023-03-17,47.68,47.68,942,47.87,47.68,47.76,63,46.21,46.21,942,46.39,46.21,46.29,,
2023-03-20,47.61,48.04,3085,48.04,47.61,47.84,48,46.14,46.56,3085,46.56,46.14,46.36,,
2023-03-21,48.38,48.99,13502,49.06,48.28,48.99,90,46.89,47.48,13502,47.55,46.79,47.48,,
2023-03-22,49.08,48.52,2182,49.5,48.52,49.2,90,47.57,47.02,2182,47.97,47.02,47.68,,
2023-03-23,49.17,49.09,2274,49.83,49.09,49.52,38,47.65,47.58,2274,48.29,47.58,47.99,,
2023-03-24,48.34,48.79,9958,48.79,48.34,48.65,45,46.95,47.39,9958,47.39,46.95,47.25,0.1058,
2023-03-27,48.92,48.64,7525,48.92,48.21,48.59,92,47.51,47.24,7525,47.51,46.82,47.19,,
2023-03-28,48.17,48.33,3306,48.41,47.95,48.17,51,46.78,46.94,3306,47.02,46.57,46.78,,
2023-03-29,48.99,49.71,17886,49.71,48.99,49.43,60,47.58,48.28,17886,48.28,47.58,48.01,,
2023-03-30,50.03,50.19,3925,50.48,50.03,50.16,80,48.59,48.75,3925,49.03,48.59,48.72,,
2023-03-31,50.46,50.98,10423,50.98,50.41,50.84,132,49.01,49.51,10423,49.51,48.96,49.38,,
