Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,62.39,62.42,20591,62.57,62.23,62.38,181,59.83,59.86,20591,60,59.68,59.82,,
2023-03-02,62.13,62.83,23132,62.95,62.03,62.55,152,59.58,60.25,23132,60.37,59.48,59.98,,
2023-03-03,63.12,63.63,59380,63.65,62.89,63.37,130,60.53,61.02,59380,61.04,60.31,60.77,,
2023-03-06,63.62,63.36,24489,63.83,63.28,63.5,209,61.01,60.76,24489,61.21,60.68,60.89,,
2023-03-07,63.34,62.43,81494,63.4,62.33,62.5,357,60.74,59.87,81494,60.8,59.77,59.94,,
2023-03-08,62.49,62.55,39493,62.59,62.07,62.39,302,59.93,59.98,39493,60.02,59.52,59.83,,
2023-03-09,62.46,61.34,38070,62.57,61.14,61.73,229,59.9,58.82,38070,60,58.63,59.2,,
2023-03-10,61.14,59.96,19923,61.16,59.74,60.46,198,58.75,57.61,19923,58.77,57.4,58.09,0.1221,
2023-03-13,59.19,59.35,31025,60,58.87,59.33,219,56.87,57.03,31025,57.65,56.57,57.01,,
2023-03-14,60.27,60.29,88452,60.64,59.77,60.35,252,57.91,57.93,88452,58.27,57.43,57.99,,
2023-03-15,59.32,59.31,28514,59.36,58.72,59.12,225,57,56.99,28514,57.04,56.42,56.81,,
2023-03-16,59.05,60.18,36271,60.35,58.99,59.85,178,56.74,57.83,36271,57.99,56.68,57.51,,
2023-03-17,59.9,59.27,70320,59.9,59.03,59.51,209,57.56,56.95,70320,57.56,56.72,57.18,,
2023-03-20,59.55,60.1,19420,60.13,59.55,59.93,156,57.22,57.75,19420,57.78,57.22,57.59,,
2023-03-21,60.71,60.8,13365,60.86,60.42,60.63,149,58.34,58.42,13365,58.48,58.06,58.26,,
2023-03-22,60.76,59.57,45196,60.81,59.49,60.5,196,58.38,57.24,45196,58.43,57.16,58.13,,
2023-03-23,59.83,59.47,33445,60.28,58.98,59.53,159,57.49,57.14,33445,57.92,56.67,57.2,,
2023-03-24,59.14,59.85,40534,59.86,58.84,59.23,171,56.83,57.51,40534,57.52,56.54,56.91,,
2023-03-27,60.39,60.31,30515,60.55,60.12,60.32,202,58.03,57.95,30515,58.18,57.77,57.96,,
2023-03-28,60.22,60.34,30430,60.58,60.22,60.37,194,57.86,57.98,30430,58.21,57.86,58.01,,
2023-03-29,60.96,61.27,41773,61.27,60.88,61.06,231,58.58,58.87,41773,58.87,58.5,58.67,,
2023-03-30,61.6,61.46,38511,61.65,61.27,61.45,217,59.19,59.06,38511,59.24,58.87,59.05,,
2023-03-31,61.83,62.32,55563,62.43,61.78,61.98,147,59.41,59.88,55563,59.99,59.36,59.56,,
