Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.88,22.84,657,22.9,22.84,22.88,7,21.32,21.29,657,21.34,21.29,21.32,,
2023-03-02,22.73,22.89,458,22.89,22.73,22.77,2,21.18,21.33,458,21.33,21.18,21.22,,
2023-03-03,23.16,23.2,106,23.2,23.16,23.15,3,21.58,21.62,106,21.62,21.58,21.58,,
2023-03-06,23.13,23.13,44,23.13,23.13,23.14,2,21.56,21.56,44,21.56,21.56,21.57,,
2023-03-07,22.76,22.76,0,22.76,22.76,,NaN,21.21,21.21,0,21.21,21.21,,,
2023-03-08,22.86,22.86,0,22.86,22.86,,NaN,21.31,21.31,0,21.31,21.31,,,
2023-03-09,22.65,22.65,50,22.65,22.65,22.79,1,21.11,21.11,50,21.11,21.11,21.24,,
2023-03-10,22.43,22.43,35,22.43,22.43,22.44,1,20.9,20.9,35,20.9,20.9,20.91,,
2023-03-13,22.31,22.31,31,22.31,22.31,22.34,1,20.79,20.79,31,20.79,20.79,20.82,,
2023-03-14,22.4,22.47,462,22.47,22.4,22.4,2,20.88,20.94,462,20.94,20.88,20.88,,
2023-03-15,21.84,21.85,107,21.85,21.84,21.84,4,20.35,20.36,107,20.36,20.35,20.35,,
2023-03-16,22.13,22.21,326,22.21,22.13,22.13,2,20.62,20.7,326,20.7,20.62,20.62,,
2023-03-17,22.1,22.04,300,22.1,22.04,22.09,2,20.6,20.54,300,20.6,20.54,20.59,,
2023-03-20,22.28,22.28,0,22.28,22.28,,NaN,20.76,20.76,0,20.76,20.76,,,
2023-03-21,22.55,22.55,29,22.55,22.55,22.51,1,21.02,21.02,29,21.02,21.02,20.98,,
2023-03-22,22.52,22.52,0,22.52,22.52,,NaN,20.99,20.99,0,20.99,20.99,,,
2023-03-23,22.54,22.54,1,22.54,22.54,22.8,1,21.01,21.01,1,21.01,21.01,21.25,,
2023-03-24,22.44,22.44,72,22.44,22.44,22.4,1,20.91,20.91,72,20.91,20.91,20.88,,
2023-03-27,22.54,22.62,469,22.62,22.54,22.56,2,21.01,21.08,469,21.08,21.01,21.03,,
2023-03-28,22.68,22.68,0,22.68,22.68,,NaN,21.14,21.14,0,21.14,21.14,,,
2023-03-29,22.92,22.92,0,22.92,22.92,,NaN,21.36,21.36,0,21.36,21.36,,,
2023-03-30,23.08,23.08,22,23.08,23.08,23.08,1,21.61,21.61,22,21.61,21.61,21.61,0.1085,
2023-03-31,23.18,23.16,200,23.18,23.14,23.16,2,21.71,21.69,200,21.71,21.67,21.69,,
