Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,25.72,25.74,2082,25.75,25.64,25.72,24,25.09,25.11,2082,25.12,25.02,25.09,,
2023-03-02,25.66,25.8,1476,25.8,25.66,25.72,24,25.03,25.17,1476,25.17,25.03,25.09,,
2023-03-03,25.81,25.92,3489,25.92,25.78,25.84,46,25.18,25.29,3489,25.29,25.15,25.21,,
2023-03-06,26,25.92,39309,26,25.87,25.93,189,25.37,25.29,39309,25.37,25.24,25.3,,
2023-03-07,25.83,25.58,3997,25.83,25.54,25.66,65,25.2,24.96,3997,25.2,24.92,25.03,,
2023-03-08,25.35,25.43,4637,25.43,25.31,25.38,96,24.73,24.81,4637,24.81,24.69,24.76,,
2023-03-09,25.31,25.1,8688,25.31,25.1,25.14,24,24.69,24.49,8688,24.69,24.49,24.53,,
2023-03-10,25.05,24.87,4326,25.14,24.85,25.05,43,24.44,24.26,4326,24.53,24.24,24.44,,
2023-03-13,24.72,24.67,2627,24.75,24.65,24.76,29,24.12,24.07,2627,24.15,24.05,24.16,,
2023-03-14,25,24.98,377,25,24.98,24.92,13,24.39,24.37,377,24.39,24.37,24.31,,
2023-03-15,24.57,24.72,3657,24.72,24.5,24.6,33,23.97,24.12,3657,24.12,23.9,24,,
2023-03-16,24.93,25.02,5025,25.06,24.88,24.96,46,24.32,24.41,5025,24.45,24.27,24.35,,
2023-03-17,24.86,24.57,8276,24.86,24.49,24.64,73,24.25,23.97,8276,24.25,23.89,24.04,,
2023-03-20,24.98,25,947,25.01,24.97,24.95,17,24.37,24.39,947,24.4,24.36,24.34,,
2023-03-21,25.13,25.16,10743,25.21,25.06,25.13,66,24.52,24.55,10743,24.6,24.45,24.52,,
2023-03-22,25.1,24.73,533,25.18,24.73,25.12,13,24.49,24.13,533,24.57,24.13,24.51,,
2023-03-23,24.65,24.53,856,24.76,24.53,24.7,18,24.05,23.93,856,24.16,23.93,24.1,,
2023-03-24,24.52,24.77,2974,24.77,24.5,24.56,30,24.02,24.26,2974,24.26,24,24.06,0.0987,
2023-03-27,24.98,24.94,1863,25.01,24.94,25,18,24.47,24.43,1863,24.5,24.43,24.49,,
2023-03-28,25.07,25.04,2812,25.07,24.98,25.03,30,24.56,24.53,2812,24.56,24.47,24.52,,
2023-03-29,25.2,25.21,3888,25.22,25.14,25.18,51,24.69,24.7,3888,24.7,24.63,24.67,,
2023-03-30,25.26,25.33,1385,25.33,25.23,25.28,21,24.74,24.81,1385,24.81,24.71,24.76,,
2023-03-31,25.34,25.56,1919,25.56,25.34,25.47,24,24.82,25.04,1919,25.04,24.82,24.95,,
