Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,23.4,23.28,14107,23.47,23.28,23.4,53,20.26,20.16,14107,20.32,20.16,20.26,0.099589,
2023-03-02,23.16,23.19,434,23.19,23.16,23.16,11,20.05,20.08,434,20.08,20.05,20.05,,
2023-03-03,23.46,23.48,1005,23.48,23.46,23.44,18,20.31,20.33,1005,20.33,20.31,20.29,,
2023-03-06,23.55,23.41,5145,23.55,23.4,23.49,49,20.39,20.27,5145,20.39,20.26,20.34,,
2023-03-07,23.29,23.31,381,23.31,23.28,23.3,9,20.16,20.18,381,20.18,20.16,20.17,,
2023-03-08,23.34,23.23,1317,23.38,23.21,23.32,32,20.21,20.11,1317,20.24,20.09,20.19,,
2023-03-09,23.24,23.24,536,23.24,23.24,23.26,22,20.12,20.12,536,20.12,20.12,20.14,,
2023-03-10,23.45,23.46,13242,23.46,23.44,23.45,48,20.3,20.31,13242,20.31,20.29,20.3,,
2023-03-13,23.55,23.44,8045,23.55,23.43,23.49,95,20.39,20.29,8045,20.39,20.29,20.34,,
2023-03-14,23.5,23.38,11913,23.58,23.38,23.5,51,20.35,20.24,11913,20.42,20.24,20.35,,
2023-03-15,23.4,23.47,5571,23.47,23.37,23.42,45,20.26,20.32,5571,20.32,20.23,20.28,,
2023-03-16,23.37,23.4,2968,23.4,23.37,23.38,29,20.23,20.26,2968,20.26,20.23,20.24,,
2023-03-17,23.42,23.36,189,23.42,23.36,23.42,2,20.28,20.22,189,20.28,20.22,20.28,,
2023-03-20,23.33,23.31,65725,23.39,23.29,23.3,72,20.2,20.18,65725,20.25,20.16,20.17,,
2023-03-21,23.46,23.45,5633,23.48,23.41,23.44,71,20.31,20.3,5633,20.33,20.27,20.29,,
2023-03-22,23.64,23.64,9,23.64,23.64,23.51,4,20.47,20.47,9,20.47,20.47,20.35,,
2023-03-23,23.68,23.71,17440,23.71,23.48,23.59,77,20.5,20.53,17440,20.53,20.33,20.42,,
2023-03-24,23.69,23.63,2192,23.72,23.63,23.68,9,20.51,20.46,2192,20.54,20.46,20.5,,
2023-03-27,23.61,23.5,2978123,23.61,23.5,23.61,57,20.44,20.35,2978123,20.44,20.35,20.44,,
2023-03-28,23.47,23.45,2283,23.51,23.45,23.47,16,20.32,20.3,2283,20.35,20.3,20.32,,
2023-03-29,23.55,23.55,38,23.55,23.55,23.53,8,20.39,20.39,38,20.39,20.39,20.37,,
2023-03-30,23.65,23.69,468,23.69,23.64,23.65,11,20.48,20.51,468,20.51,20.47,20.48,,
2023-03-31,23.79,23.85,1914,23.85,23.78,23.79,17,20.6,20.65,1914,20.65,20.59,20.6,,
