Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,20.95,20.89,63475,21.01,20.74,20.85,655,20.74,20.68,63475,20.8,20.53,20.64,,
2023-03-02,20.7,21.04,122304,21.08,20.6,20.81,1263,20.49,20.83,122304,20.87,20.4,20.6,,
2023-03-03,21.08,21.42,74064,21.46,21.08,21.34,660,20.87,21.21,74064,21.25,20.87,21.13,,
2023-03-06,21.42,21.3,107930,21.75,21.3,21.54,2038,21.21,21.09,107930,21.53,21.09,21.33,,
2023-03-07,21.31,20.94,33185,21.41,20.9,21.1,483,21.1,20.73,33185,21.2,20.69,20.89,,
2023-03-08,20.86,21.08,75879,21.09,20.82,20.92,558,20.65,20.87,75879,20.88,20.61,20.71,,
2023-03-09,21.13,20.5,131667,21.35,20.49,20.78,808,20.92,20.3,131667,21.14,20.29,20.57,,
2023-03-10,20.36,19.73,159017,20.37,19.6,19.91,1123,20.16,19.53,159017,20.17,19.41,19.71,,
2023-03-13,19.66,19.28,296512,19.66,18.93,19.43,2536,19.46,19.09,296512,19.46,18.74,19.24,,
2023-03-14,19.86,19.97,84392,20.09,19.74,19.93,835,19.66,19.77,84392,19.89,19.54,19.73,,
2023-03-15,19.47,19.75,85532,19.8,19.39,19.58,895,19.28,19.55,85532,19.6,19.2,19.39,,
2023-03-16,19.61,20.19,112088,20.19,19.5,19.95,799,19.42,19.99,112088,19.99,19.31,19.75,,
2023-03-17,20.17,19.92,107719,20.17,19.78,19.96,891,19.97,19.72,107719,19.97,19.58,19.76,,
2023-03-20,19.92,20.02,245750,20.21,19.9,20,1128,19.72,19.82,245750,20.01,19.7,19.8,,
2023-03-21,20.37,20.72,66261,20.78,20.32,20.59,1046,20.17,20.51,66261,20.57,20.12,20.39,,
2023-03-22,20.67,20.09,70613,20.83,20.08,20.48,994,20.46,19.89,70613,20.62,19.88,20.28,,
2023-03-23,19.88,19.81,139349,20.29,19.64,20,785,19.68,19.61,139349,20.09,19.44,19.8,,
2023-03-24,19.56,19.71,156968,19.76,19.38,19.6,1406,19.37,19.51,156968,19.56,19.19,19.41,,
2023-03-27,19.84,19.82,107033,19.94,19.6,19.77,1191,19.64,19.62,107033,19.74,19.41,19.57,,
2023-03-28,19.68,19.69,75940,19.76,19.56,19.65,473,19.48,19.49,75940,19.56,19.37,19.45,,
2023-03-29,19.94,20.17,164686,20.22,19.9,20.09,977,19.74,19.97,164686,20.02,19.7,19.89,,
2023-03-30,20.43,20.36,63335,20.55,20.28,20.42,613,20.23,20.16,63335,20.35,20.08,20.22,,
2023-03-31,20.46,20.83,62198,20.86,20.46,20.74,633,20.26,20.62,62198,20.65,20.26,20.53,,
