Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.77,22.8,4375,22.83,22.7,22.75,48,20.75,20.77,4375,20.8,20.68,20.73,,
2023-03-02,22.64,22.78,11802,22.79,22.61,22.7,47,20.63,20.76,11802,20.77,20.6,20.68,,
2023-03-03,22.95,23.13,26811,23.15,22.9,22.97,131,20.91,21.08,26811,21.09,20.87,20.93,,
2023-03-06,23.11,23.04,6149,23.13,23.03,23.09,83,21.06,20.99,6149,21.08,20.98,21.04,,
2023-03-07,23.05,22.66,4380,23.05,22.61,22.7,50,21,20.65,4380,21,20.6,20.68,,
2023-03-08,22.69,22.75,10499,22.88,22.67,22.75,96,20.67,20.73,10499,20.85,20.66,20.73,,
2023-03-09,22.75,22.55,10276,22.78,22.5,22.71,84,20.73,20.55,10276,20.76,20.5,20.69,,
2023-03-10,22.43,22.3,36262,22.56,22.28,22.4,135,20.44,20.32,36262,20.56,20.3,20.41,,
2023-03-13,22.05,22.11,9716,22.26,22.05,22.11,72,20.09,20.15,9716,20.28,20.09,20.15,,
2023-03-14,22.29,22.27,3337,22.29,22.18,22.25,53,20.31,20.29,3337,20.31,20.21,20.27,,
2023-03-15,21.49,21.6,15707,21.6,21.34,21.46,169,19.58,19.68,15707,19.68,19.44,19.55,,
2023-03-16,21.41,21.8,6672,21.8,21.41,21.58,57,19.51,19.86,6672,19.86,19.51,19.66,,
2023-03-17,21.39,21.29,8182,21.39,21.27,21.33,66,19.69,19.6,8182,19.69,19.58,19.63,0.219,
2023-03-20,21.51,21.62,3284,21.66,21.49,21.57,26,19.8,19.9,3284,19.94,19.78,19.85,,
2023-03-21,21.94,21.96,9130,21.99,21.82,21.91,93,20.19,20.21,9130,20.24,20.08,20.17,,
2023-03-22,21.95,21.89,4108,22.08,21.89,21.98,53,20.2,20.15,4108,20.32,20.15,20.23,,
2023-03-23,22.04,21.81,5718,22.08,21.74,21.98,80,20.29,20.07,5718,20.32,20.01,20.23,,
2023-03-24,21.54,21.68,7997,21.68,21.52,21.6,48,19.83,19.95,7997,19.95,19.81,19.88,,
2023-03-27,21.86,21.93,2603,21.93,21.83,21.86,32,20.12,20.18,2603,20.18,20.09,20.12,,
2023-03-28,21.94,21.98,6976,22.01,21.94,21.98,22,20.19,20.23,6976,20.26,20.19,20.23,,
2023-03-29,22.17,22.23,19245,22.27,22.17,22.23,77,20.41,20.46,19245,20.5,20.41,20.46,,
2023-03-30,22.51,22.56,7796,22.56,22.45,22.52,47,20.72,20.76,7796,20.76,20.66,20.73,,
2023-03-31,22.61,22.64,10706,22.69,22.61,22.64,77,20.81,20.84,10706,20.88,20.81,20.84,,
