Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,46.63,46.89,50790,47.26,46.63,46.98,474,44.66,44.91,50790,45.26,44.66,44.99,,
2023-03-02,46.76,47.39,106315,47.5,46.5,46.95,480,44.78,45.39,106315,45.49,44.53,44.96,,
2023-03-03,47.7,48.13,47486,48.13,47.39,47.77,417,45.68,46.09,47486,46.09,45.39,45.75,,
2023-03-06,48.07,47.19,70983,48.07,47.14,47.57,574,46.04,45.19,70983,46.04,45.15,45.56,,
2023-03-07,47.05,46.28,48894,47.05,46.17,46.53,484,45.06,44.32,48894,45.06,44.22,44.56,,
2023-03-08,46.23,46.5,43376,46.65,46.19,46.35,409,44.27,44.53,43376,44.68,44.24,44.39,,
2023-03-09,46.6,45.36,566932,46.73,45.23,45.59,572,44.63,43.44,566932,44.75,43.32,43.66,,
2023-03-10,45.38,44.33,47802,45.38,44.1,44.64,506,43.46,42.46,47802,43.46,42.24,42.75,,
2023-03-13,43.89,43.83,68499,44.37,43.48,44.01,523,42.03,41.98,68499,42.49,41.64,42.15,,
2023-03-14,44.63,44.43,474200,44.93,43.95,44.29,941,42.74,42.55,474200,43.03,42.09,42.42,,
2023-03-15,43.39,42.91,74609,43.39,42.31,42.77,585,41.56,41.1,74609,41.56,40.52,40.96,,
2023-03-16,42.5,43.4,84089,43.48,42.36,43.26,589,40.7,41.56,84089,41.64,40.57,41.43,,
2023-03-17,43.06,42.52,26925,43.06,42.44,42.66,344,41.43,40.91,26925,41.43,40.83,41.04,0.199,
2023-03-20,42.74,43.39,99190,43.41,42.74,43.3,404,41.12,41.75,99190,41.77,41.12,41.66,,
2023-03-21,43.93,43.95,87456,44.1,43.68,43.81,530,42.27,42.29,87456,42.43,42.03,42.15,,
2023-03-22,43.98,43.13,57015,44.12,43.13,43.45,398,42.31,41.5,57015,42.45,41.5,41.8,,
2023-03-23,43.44,43.1,67339,44.01,42.77,43.39,503,41.79,41.47,67339,42.34,41.15,41.75,,
2023-03-24,42.77,43.47,43535,43.51,42.47,43.09,617,41.15,41.82,43535,41.86,40.86,41.46,,
2023-03-27,43.83,43.77,39714,44.09,43.48,43.84,366,42.17,42.11,39714,42.42,41.83,42.18,,
2023-03-28,43.75,44.05,33683,44.13,43.75,44.02,355,42.09,42.38,33683,42.46,42.09,42.35,,
2023-03-29,44.56,44.62,33422,44.62,44.43,44.5,343,42.87,42.93,33422,42.93,42.75,42.81,,
2023-03-30,45.03,44.87,26286,45.06,44.71,44.87,295,43.32,43.17,26286,43.35,43.02,43.17,,
2023-03-31,44.96,45.61,41234,45.61,44.96,45.32,496,43.26,43.88,41234,43.88,43.26,43.6,,
