Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,51.22,51.36,146331,51.46,51.03,51.25,514,24.72,24.79,292662,24.84,24.63,24.74,,
2023-03-02,50.96,51.59,132668,51.69,50.82,51.24,524,24.6,24.9,265336,24.95,24.53,24.73,,
2023-03-03,51.89,52.25,154689,52.3,51.55,52.05,735,25.05,25.22,309378,25.25,24.88,25.13,,
2023-03-06,52.27,51.33,156944,52.27,51.18,51.75,767,25.23,24.78,313888,25.23,24.71,24.98,,
2023-03-07,51.4,50.75,185219,51.43,50.63,50.92,1002,24.81,24.5,370438,24.83,24.44,24.58,,
2023-03-08,50.83,50.81,215479,51.04,50.47,50.69,1107,24.54,24.53,430958,24.64,24.36,24.47,,
2023-03-09,51.03,49.57,215670,51.03,49.53,50.27,1023,24.63,23.93,431340,24.63,23.91,24.27,,
2023-03-10,49.33,48.27,384766,49.36,47.83,48.6,1458,23.81,23.3,769532,23.83,23.09,23.46,,
2023-03-13,47.29,47.21,423035,48.03,46.8,47.44,1646,22.83,22.79,846070,23.19,22.59,22.9,,
2023-03-14,48.48,48.01,194783,48.73,47.52,48.36,885,23.4,23.18,389566,23.52,22.94,23.34,,
2023-03-15,46.84,47.09,462318,47.13,46.3,46.74,1501,22.61,22.73,924636,22.75,22.35,22.56,,
2023-03-16,46.69,47.77,327041,47.97,46.33,47.47,1219,22.54,23.06,654082,23.16,22.36,22.91,,
2023-03-17,47.32,46.55,227582,47.32,46.39,46.66,1148,22.84,22.47,455164,22.84,22.39,22.52,,
2023-03-20,46.81,47.12,258953,47.63,46.8,47.23,1119,22.6,22.75,517906,22.99,22.59,22.8,,
2023-03-21,47.91,47.96,215473,48.19,47.75,47.91,924,23.13,23.15,430946,23.26,23.05,23.13,,
2023-03-22,47.81,46.56,147259,47.95,46.56,47.53,624,23.15,22.54,294518,23.21,22.54,23.01,0.1402,
2023-03-23,46.98,46.23,208806,47.36,45.85,46.75,832,22.74,22.38,417612,22.93,22.2,22.63,,
2023-03-24,45.85,46.65,366230,46.66,45.52,46.21,985,22.2,22.58,732460,22.59,22.04,22.37,,
2023-03-27,47.24,47.17,369761,47.4,46.85,46.99,756,22.87,22.84,739522,22.95,22.68,22.75,,
2023-03-28,47.03,47.26,131352,47.48,47.01,47.22,637,22.77,22.88,262704,22.99,22.76,22.86,,
2023-03-29,47.71,47.72,1371354,47.78,47.35,47.45,1143,23.1,23.1,2742708,23.13,22.92,22.97,,
2023-03-30,48.18,47.81,228850,48.26,47.7,47.98,913,23.33,23.15,457700,23.36,23.09,23.23,,
2023-03-31,48.2,48.69,226574,48.74,48.17,48.5,790,23.34,23.57,453148,23.6,23.32,23.48,,
