Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,29.37,29.22,74976,29.37,29.02,29.18,389,27.43,27.29,74976,27.43,27.1,27.25,,
2023-03-02,29.1,29.04,299900,29.21,28.78,29.09,676,27.18,27.12,299900,27.28,26.88,27.17,,
2023-03-03,29.3,29.52,344572,29.61,29.18,29.49,1297,27.37,27.57,344572,27.66,27.25,27.54,,
2023-03-06,29.63,29.56,575233,29.73,29.43,29.6,1527,27.67,27.61,575233,27.77,27.49,27.65,,
2023-03-07,29.62,29.07,101168,29.62,29.03,29.22,707,27.66,27.15,101168,27.66,27.11,27.29,,
2023-03-08,29.25,29.31,54830,29.36,29.08,29.27,231,27.32,27.38,54830,27.42,27.16,27.34,,
2023-03-09,29.24,28.85,286940,29.27,28.79,29.01,892,27.31,26.95,286940,27.34,26.89,27.09,,
2023-03-10,28.95,28.66,101092,28.99,28.59,28.75,473,27.04,26.77,101092,27.08,26.7,26.85,,
2023-03-13,28.41,28.57,146251,28.8,28.31,28.64,847,26.53,26.68,146251,26.9,26.44,26.75,,
2023-03-14,28.72,28.61,247463,28.73,28.4,28.58,708,26.82,26.72,247463,26.83,26.53,26.69,,
2023-03-15,27.97,27.81,140022,27.97,27.52,27.76,626,26.12,25.97,140022,26.12,25.7,25.93,,
2023-03-16,27.89,28.34,61693,28.34,27.69,28.12,475,26.05,26.47,61693,26.47,25.86,26.26,,
2023-03-17,28.3,28.14,100004,28.3,28.06,28.17,626,26.43,26.28,100004,26.43,26.21,26.31,,
2023-03-20,28.09,28.29,41874,28.31,28.06,28.22,253,26.24,26.42,41874,26.44,26.21,26.36,,
2023-03-21,28.51,28.67,44431,28.67,28.44,28.55,389,26.63,26.78,44431,26.78,26.56,26.67,,
2023-03-22,28.97,28.72,59795,29.16,28.59,28.84,324,27.06,26.82,59795,27.23,26.7,26.94,,
2023-03-23,29.24,28.92,86574,29.31,28.78,29.07,365,27.31,27.01,86574,27.38,26.88,27.15,,
2023-03-24,28.7,28.79,158366,28.81,28.49,28.74,432,26.81,26.89,158366,26.91,26.61,26.84,,
2023-03-27,28.75,28.77,129880,28.84,28.67,28.77,787,26.85,26.87,129880,26.94,26.78,26.87,,
2023-03-28,29.08,29.06,309321,29.16,28.96,29.04,1066,27.16,27.14,309321,27.23,27.05,27.12,,
2023-03-29,29.12,29.14,170509,29.21,28.99,29.11,851,27.29,27.31,170509,27.37,27.17,27.28,0.0986982,
2023-03-30,29.52,29.39,94751,29.52,29.26,29.38,490,27.67,27.54,94751,27.67,27.42,27.53,,
2023-03-31,29.5,29.4,82923,29.5,29.26,29.37,460,27.65,27.55,82923,27.65,27.42,27.52,,
