Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,33.35,33.35,7612,33.42,33.16,33.29,74,32.18,32.18,7612,32.25,32,32.12,,
2023-03-02,33.01,33.42,8060,33.48,33.01,33.35,111,31.85,32.25,8060,32.31,31.85,32.18,,
2023-03-03,33.55,33.79,6894,33.83,33.52,33.72,66,32.37,32.61,6894,32.64,32.35,32.54,,
2023-03-06,33.61,33.34,2944,33.61,33.21,33.39,100,32.43,32.17,2944,32.43,32.05,32.22,,
2023-03-07,33.23,33.04,9768,33.35,33,33.09,169,32.07,31.88,9768,32.18,31.84,31.93,,
2023-03-08,33,33.04,107700,33.3,32.85,33.04,268,31.84,31.88,107700,32.13,31.7,31.88,,
2023-03-09,33.08,32.36,12185,33.08,32.36,32.55,144,31.92,31.23,12185,31.92,31.23,31.41,,
2023-03-10,32.18,31.59,14762,32.24,31.43,31.78,173,31.05,30.48,14762,31.11,30.33,30.67,,
2023-03-13,31.03,30.99,11890,31.37,30.71,31.07,175,29.94,29.9,11890,30.27,29.63,29.98,,
2023-03-14,31.72,31.56,65428,31.91,31.34,31.6,265,30.61,30.45,65428,30.79,30.24,30.49,,
2023-03-15,31.22,30.99,8579,31.22,30.63,30.86,112,30.13,29.9,8579,30.13,29.56,29.78,,
2023-03-16,30.81,31.5,7130,31.52,30.71,31.22,91,29.73,30.4,7130,30.42,29.63,30.13,,
2023-03-17,31.42,30.72,27723,31.42,30.68,30.82,107,30.45,29.77,27723,30.45,29.73,29.87,0.134,
2023-03-20,31.01,31.22,13805,31.31,31.01,31.23,84,30.05,30.26,13805,30.34,30.05,30.26,,
2023-03-21,31.69,31.68,17077,31.9,31.57,31.68,152,30.71,30.7,17077,30.91,30.59,30.7,,
2023-03-22,31.61,30.89,9240,31.66,30.89,31.45,115,30.63,29.94,9240,30.68,29.94,30.48,,
2023-03-23,31.13,30.86,8306,31.38,30.67,31.08,101,30.17,29.91,8306,30.41,29.72,30.12,,
2023-03-24,30.72,31.1,8785,31.1,30.51,30.81,72,29.77,30.14,8785,30.14,29.57,29.86,,
2023-03-27,31.4,31.42,8341,31.52,31.25,31.41,88,30.43,30.45,8341,30.55,30.28,30.44,,
2023-03-28,31.42,31.44,10263,31.54,31.27,31.4,93,30.45,30.47,10263,30.57,30.3,30.43,,
2023-03-29,31.77,31.7,11578,31.77,31.55,31.67,103,30.79,30.72,11578,30.79,30.57,30.69,,
2023-03-30,32,31.75,12233,32.01,31.61,31.87,99,31.01,30.77,12233,31.02,30.63,30.88,,
2023-03-31,32.27,32.27,6787,32.29,32.01,32.15,69,31.27,31.27,6787,31.29,31.02,31.16,,
