Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,104.23,103.37,87062,104.32,103.1,103.56,1903,102.52,101.67,87062,102.61,101.41,101.86,,
2023-03-02,102.97,104.57,109068,104.82,102.76,103.56,1878,101.28,102.85,109068,103.1,101.07,101.86,,
2023-03-03,105.09,106.78,139134,106.78,105.09,106.02,2288,103.37,105.03,139134,105.03,103.37,104.28,,
2023-03-06,107.39,107.17,354371,108.62,107.06,107.99,2722,105.63,105.41,354371,106.84,105.3,106.22,,
2023-03-07,107.11,105.81,127076,107.48,105.54,106.26,2108,105.35,104.07,127076,105.72,103.81,104.52,,
2023-03-08,106.01,106.67,91275,106.78,105.6,106.28,1596,104.27,104.92,91275,105.03,103.87,104.54,,
2023-03-09,106.83,104.93,431164,107.88,104.77,105.46,2565,105.08,103.21,431164,106.11,103.05,103.73,,
2023-03-10,104.74,102.97,514489,104.97,102.48,103.13,4853,103.02,101.28,514489,103.25,100.8,101.44,,
2023-03-13,102.17,103.44,391988,104.83,101.59,103.68,4093,100.49,101.74,391988,103.11,99.92,101.98,,
2023-03-14,104.77,105.67,173303,106.13,104.29,105.25,2366,103.05,103.94,173303,104.39,102.58,103.52,,
2023-03-15,104.67,105.75,315502,105.8,104,104.96,3615,102.95,104.02,315502,104.06,102.29,103.24,,
2023-03-16,105.33,108.52,208188,108.67,105.01,107.37,3113,103.6,106.74,208188,106.89,103.29,105.61,,
2023-03-17,108.58,108.01,351445,109.33,107.43,107.94,2975,107.03,106.47,351445,107.77,105.89,106.4,0.232,
2023-03-20,107.95,108.38,204041,108.55,107.19,107.98,2844,106.41,106.83,204041,107,105.66,106.44,,
2023-03-21,109,109.6,163232,109.76,108.22,109,2880,107.44,108.03,163232,108.19,106.67,107.44,,
2023-03-22,109.54,108.31,297406,111.59,108.31,109.74,3073,107.97,106.76,297406,110,106.76,108.17,,
2023-03-23,109.68,109.86,323847,111.38,108.86,109.96,3904,108.11,108.29,323847,109.79,107.3,108.39,,
2023-03-24,109.44,110.01,215475,110.01,108.67,109.3,2803,107.88,108.44,215475,108.44,107.12,107.74,,
2023-03-27,110.29,109.28,258840,110.66,109.08,109.85,2784,108.71,107.72,258840,109.08,107.52,108.28,,
2023-03-28,109.08,108.82,163583,109.13,107.92,108.38,2286,107.52,107.26,163583,107.57,106.38,106.83,,
2023-03-29,110.05,111.12,161679,111.3,109.99,110.66,2336,108.48,109.53,161679,109.71,108.42,109.08,,
2023-03-30,111.94,112.16,227149,112.42,111.49,112.01,2664,110.34,110.56,227149,110.81,109.9,110.41,,
2023-03-31,112.16,114,216370,114.06,112.03,113.28,3453,110.56,112.37,216370,112.43,110.43,111.66,,
