Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,27.8,28.11,36674754,28.34,27.72,28.15,128371,27.03,27.34,36674754,27.56,26.96,27.37,,
2023-03-02,28,28.17,14682639,28.21,27.84,28.08,61310,27.23,27.39,14682639,27.43,27.07,27.31,,
2023-03-03,28.51,28.63,15765104,28.64,28.2,28.49,63302,27.72,27.84,15765104,27.85,27.42,27.7,,
2023-03-06,28.35,28.08,16153009,28.49,27.89,28.14,66978,27.57,27.31,16153009,27.7,27.12,27.36,,
2023-03-07,27.72,26.89,34513146,27.8,26.73,27.04,118510,26.96,26.15,34513146,27.03,25.99,26.29,,
2023-03-08,26.92,26.81,23261208,27.37,26.68,26.94,89419,26.18,26.07,23261208,26.62,25.94,26.2,,
2023-03-09,27.06,26.68,20881066,27.33,26.59,26.89,80369,26.31,25.94,20881066,26.58,25.86,26.15,,
2023-03-10,27.31,27.21,35771868,27.96,27.15,27.53,153003,26.56,26.46,35771868,27.19,26.4,26.77,,
2023-03-13,28.51,29.11,56734845,29.3,28.35,29.03,240895,27.72,28.31,56734845,28.49,27.57,28.23,,
2023-03-14,29.04,29.34,23994502,29.49,28.76,29.19,104763,28.24,28.53,23994502,28.68,27.97,28.39,,
2023-03-15,29.84,29.34,34850065,29.84,28.95,29.33,171215,29.02,28.53,34850065,29.02,28.15,28.52,,
2023-03-16,29.46,29.17,31426632,29.51,28.51,28.96,131089,28.65,28.37,31426632,28.7,27.72,28.16,,
2023-03-17,29.75,30.6,63755616,31.04,29.37,30.45,232918,28.93,29.76,63755616,30.18,28.56,29.61,,
2023-03-20,31.04,31.13,28448339,31.32,30.77,31.06,130670,30.18,30.27,28448339,30.46,29.92,30.2,,
2023-03-21,30.64,30.01,35543388,30.65,29.65,29.97,148076,29.8,29.18,35543388,29.81,28.83,29.14,,
2023-03-22,30.14,30.58,30877748,31.2,30.06,30.57,126492,29.31,29.74,30877748,30.34,29.23,29.73,,
2023-03-23,30.91,31.33,27971384,31.72,30.67,31.35,131559,30.06,30.47,27971384,30.85,29.82,30.49,,
2023-03-24,31.41,31.57,28436786,31.82,31.13,31.54,127966,30.54,30.7,28436786,30.94,30.27,30.67,,
2023-03-27,30.88,31.54,17080538,31.57,30.76,31.28,89866,30.03,30.67,17080538,30.7,29.91,30.42,,
2023-03-28,31.72,32.33,24570143,32.37,31.45,32.11,106406,30.85,31.44,24570143,31.48,30.58,31.23,,
2023-03-29,32.04,32.06,17265284,32.39,31.9,32.09,74886,31.16,31.18,17265284,31.5,31.02,31.21,,
2023-03-30,32.37,32.53,18711674,32.64,32.12,32.45,80788,31.48,31.63,18711674,31.74,31.23,31.56,,
2023-03-31,32.63,32.36,18467742,32.74,32.1,32.41,82501,31.73,31.47,18467742,31.84,31.22,31.52,,
