Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,15.7,15.75,19268,15.8,15.46,15.71,100,15.23,15.28,19268,15.33,15,15.24,,
2023-03-02,15.66,15.75,8543,15.75,15.57,15.68,66,15.19,15.28,8543,15.28,15.1,15.21,,
2023-03-03,15.81,15.95,11136,16.02,15.81,15.91,153,15.34,15.47,11136,15.54,15.34,15.43,,
2023-03-06,15.95,15.56,29457,15.95,15.47,15.61,236,15.47,15.09,29457,15.47,15.01,15.14,,
2023-03-07,15.34,14.92,23012,15.34,14.89,15.08,180,14.88,14.47,23012,14.88,14.44,14.63,,
2023-03-08,14.83,14.8,26712,15.07,14.73,14.86,127,14.39,14.36,26712,14.62,14.29,14.41,,
2023-03-09,14.88,14.7,40131,15.07,14.65,14.82,123,14.43,14.26,40131,14.62,14.21,14.38,,
2023-03-10,14.82,14.99,33978,15.35,14.82,15.05,191,14.38,14.54,33978,14.89,14.38,14.6,,
2023-03-13,15.67,15.84,47230,16.03,15.6,15.86,299,15.2,15.37,47230,15.55,15.13,15.38,,
2023-03-14,15.82,16.06,6707,16.07,15.82,16,90,15.35,15.58,6707,15.59,15.35,15.52,,
2023-03-15,16.22,16.02,25707,16.34,15.93,16.09,175,15.73,15.54,25707,15.85,15.45,15.61,,
2023-03-16,16.11,15.86,9660,16.11,15.66,15.82,122,15.63,15.38,9660,15.63,15.19,15.35,,
2023-03-17,16.11,16.79,30878,16.96,16.02,16.65,248,15.63,16.29,30878,16.45,15.54,16.15,,
2023-03-20,17.05,17.17,48194,17.19,16.94,17.09,232,16.54,16.66,48194,16.67,16.43,16.58,,
2023-03-21,16.95,16.61,33068,17.02,16.47,16.63,269,16.44,16.11,33068,16.51,15.98,16.13,,
2023-03-22,16.73,17.03,53582,17.32,16.68,16.88,236,16.23,16.52,53582,16.8,16.18,16.37,,
2023-03-23,17.11,17.37,40915,17.54,17.1,17.38,282,16.6,16.85,40915,17.01,16.59,16.86,,
2023-03-24,17.49,17.37,25384,17.55,17.3,17.42,169,16.97,16.85,25384,17.02,16.78,16.9,,
2023-03-27,17.12,17.39,24821,17.41,16.95,17.3,136,16.61,16.87,24821,16.89,16.44,16.78,,
2023-03-28,17.39,17.84,52990,17.86,17.34,17.77,171,16.87,17.31,52990,17.32,16.82,17.24,,
2023-03-29,17.76,17.76,15699,17.99,17.76,17.86,154,17.23,17.23,15699,17.45,17.23,17.32,,
2023-03-30,17.91,18.13,29395,18.14,17.87,18.06,207,17.37,17.59,29395,17.6,17.33,17.52,,
2023-03-31,18.18,17.98,18025,18.2,17.89,18.05,157,17.63,17.44,18025,17.65,17.35,17.51,,
