Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,53.94,53.72,24973,54.03,53.66,53.77,120,52.19,51.97,24973,52.27,51.92,52.02,,
2023-03-02,53.5,54.13,38771,54.26,53.49,53.9,154,51.76,52.37,38771,52.5,51.75,52.15,,
2023-03-03,54.37,55.03,31359,55.05,54.37,54.84,181,52.6,53.24,31359,53.26,52.6,53.06,,
2023-03-06,55.17,55.11,22883,55.44,55.06,55.26,146,53.38,53.32,22883,53.64,53.27,53.46,,
2023-03-07,55.07,54.27,27820,55.07,54.21,54.48,140,53.28,52.51,27820,53.28,52.45,52.71,,
2023-03-08,54.28,54.31,118262,54.43,54.04,54.25,190,52.52,52.54,118262,52.66,52.28,52.49,,
2023-03-09,54.51,53.31,26590,54.62,53.19,53.92,143,52.74,51.58,26590,52.84,51.46,52.17,,
2023-03-10,52.9,52.51,13409,53.18,52.37,52.79,91,51.18,50.8,13409,51.45,50.67,51.07,,
2023-03-13,51.89,52.49,36220,53.06,51.86,52.73,145,50.2,50.78,36220,51.34,50.17,51.02,,
2023-03-14,53.26,53.44,92623,53.56,52.81,53.33,164,51.53,51.7,92623,51.82,51.09,51.6,,
2023-03-15,52.69,53.07,73305,53.09,52.34,52.77,391,50.98,51.35,73305,51.36,50.64,51.05,,
2023-03-16,52.68,54.03,151364,54.06,52.68,53.88,251,50.97,52.27,151364,52.3,50.97,52.13,,
2023-03-17,53.79,53.43,24843,53.99,53.24,53.44,109,52.04,51.69,24843,52.24,51.51,51.7,,
2023-03-20,53.52,53.87,39099,53.9,53.48,53.74,234,51.78,52.12,39099,52.15,51.74,51.99,,
2023-03-21,54.43,54.59,38208,54.69,54.18,54.43,203,52.66,52.82,38208,52.91,52.42,52.66,,
2023-03-22,54.52,53.73,30504,55.04,53.71,54.41,122,52.75,51.98,30504,53.25,51.96,52.64,,
2023-03-23,54.25,53.86,33034,54.57,53.61,54.04,162,52.49,52.11,33034,52.8,51.87,52.28,,
2023-03-24,53.51,54.18,33796,54.18,53.34,53.83,187,51.77,52.42,33796,52.42,51.61,52.08,,
2023-03-27,54.29,54.04,34651,54.37,53.96,54.16,243,52.73,52.48,34651,52.8,52.41,52.6,0.20673,
2023-03-28,53.93,53.94,583747,54.04,53.68,53.93,415,52.38,52.39,583747,52.48,52.13,52.38,,
2023-03-29,54.34,54.73,111941,54.76,54.34,54.55,386,52.78,53.15,111941,53.18,52.78,52.98,,
2023-03-30,55.03,55.06,47643,55.11,54.86,55.02,293,53.45,53.47,47643,53.52,53.28,53.44,,
2023-03-31,55.13,55.86,247446,55.87,55.13,55.76,284,53.54,54.25,247446,54.26,53.54,54.15,,
