Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,25.15,25.07,3806,25.15,25.07,25.11,22,19.44,19.38,3806,19.44,19.38,19.41,,
2023-03-02,25.07,25.05,12377,25.13,25.05,25.08,102,19.38,19.36,12377,19.42,19.36,19.38,,
2023-03-03,25.05,25.09,30633,25.15,25,25.03,146,19.36,19.39,30633,19.44,19.32,19.35,,
2023-03-06,25.12,25.12,10175,25.15,25.06,25.13,68,19.41,19.41,10175,19.44,19.37,19.42,,
2023-03-07,25.09,25.13,4225,25.14,25.07,25.09,27,19.39,19.42,4225,19.43,19.38,19.39,,
2023-03-08,25.15,25.15,4973,25.15,25.08,25.11,51,19.44,19.44,4973,19.44,19.38,19.41,,
2023-03-09,25.1,25.01,16297,25.14,24.95,25.02,100,19.4,19.33,16297,19.43,19.28,19.34,,
2023-03-10,25,24.91,12887,25.21,24.77,24.97,130,19.32,19.25,12887,19.48,19.14,19.3,,
2023-03-13,24.8,24.38,24732,24.81,23.71,24.43,175,19.17,18.84,24732,19.18,18.32,18.88,,
2023-03-14,24.74,24.79,14306,24.94,24.36,24.63,106,19.12,19.16,14306,19.28,18.83,19.04,,
2023-03-15,24.52,24.71,6784,24.76,24.51,24.59,50,18.95,19.1,6784,19.14,18.94,19.01,,
2023-03-16,24.71,24.76,6433,24.76,24.58,24.71,26,19.1,19.14,6433,19.14,19,19.1,,
2023-03-17,24.75,24.76,4977,25.1,24.61,24.74,62,19.13,19.14,4977,19.4,19.02,19.12,,
2023-03-20,24.61,24.73,4538,24.81,24.46,24.53,36,19.02,19.11,4538,19.18,18.9,18.96,,
2023-03-21,24.42,24.76,6933,24.76,24.23,24.51,49,18.87,19.14,6933,19.14,18.73,18.94,,
2023-03-22,24.76,24.58,4123,24.76,24.56,24.64,36,19.14,19,4123,19.14,18.98,19.04,,
2023-03-23,24.58,24.17,23371,24.6,24.01,24.25,122,19,18.68,23371,19.01,18.56,18.74,,
2023-03-24,24.4,24.9,16860,24.98,24.34,24.59,114,18.86,19.24,16860,19.31,18.81,19.01,,
2023-03-27,25.01,25.06,24588,25.1,24.86,25,107,19.33,19.37,24588,19.4,19.21,19.32,,
2023-03-28,25.06,25.06,11297,25.12,25.01,25.04,72,19.37,19.37,11297,19.41,19.33,19.35,,
2023-03-29,25.06,25.01,11451,25.06,24.97,25.02,76,19.37,19.33,11451,19.37,19.3,19.34,,
2023-03-30,25.01,25.01,16235,25.02,24.98,25.01,88,19.33,19.33,16235,19.34,19.31,19.33,,
2023-03-31,25.01,25.01,22592,25.02,24.87,25,97,19.33,19.33,22592,19.34,19.22,19.32,,
