Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,33.24,33.09,106399,33.24,33.07,33.13,661,29.85,29.72,106399,29.85,29.7,29.75,,
2023-03-02,32.94,33.03,94731,33.04,32.94,32.98,373,29.58,29.66,94731,29.67,29.58,29.62,,
2023-03-03,33.12,33.24,61919,33.3,33.09,33.2,250,29.75,29.85,61919,29.91,29.72,29.82,,
2023-03-06,33.39,33.22,76215,33.39,33.2,33.3,409,29.99,29.83,76215,29.99,29.82,29.91,,
2023-03-07,33.28,33.17,56283,33.31,33.11,33.19,305,29.89,29.79,56283,29.92,29.74,29.81,,
2023-03-08,33.23,33.07,252411,33.29,32.98,33.08,782,29.84,29.7,252411,29.9,29.62,29.71,,
2023-03-09,33.12,33.2,70594,33.24,33.06,33.15,414,29.75,29.82,70594,29.85,29.69,29.77,,
2023-03-10,33.48,33.6,58267,33.67,33.48,33.57,213,30.07,30.18,58267,30.24,30.07,30.15,,
2023-03-13,33.97,33.79,87537,34.06,33.72,33.86,410,30.51,30.35,87537,30.59,30.28,30.41,,
2023-03-14,33.65,33.57,150891,33.69,33.48,33.6,895,30.22,30.15,150891,30.26,30.07,30.18,,
2023-03-15,33.93,33.87,73764,34.07,33.73,33.93,599,30.47,30.42,73764,30.6,30.29,30.47,,
2023-03-16,33.95,33.7,267972,34,33.65,33.85,299,30.49,30.27,267972,30.54,30.22,30.4,,
2023-03-17,33.91,33.96,31694,34.05,33.88,33.98,170,30.45,30.5,31694,30.58,30.43,30.52,,
2023-03-20,33.98,33.83,63423,33.99,33.8,33.87,499,30.52,30.38,63423,30.53,30.36,30.42,,
2023-03-21,33.81,33.75,48816,33.81,33.65,33.73,280,30.36,30.31,48816,30.36,30.22,30.29,,
2023-03-22,33.75,34.08,47362,34.16,33.68,33.85,196,30.31,30.61,47362,30.68,30.25,30.4,,
2023-03-23,34.07,34.15,131979,34.22,33.97,34.09,740,30.6,30.67,131979,30.73,30.51,30.62,,
2023-03-24,34.3,34.22,41264,34.3,34.15,34.22,188,30.8,30.73,41264,30.8,30.67,30.73,,
2023-03-27,33.98,33.85,20272,34.03,33.84,33.93,121,30.52,30.4,20272,30.56,30.39,30.47,,
2023-03-28,33.87,33.8,181552,33.91,33.78,33.83,585,30.42,30.36,181552,30.45,30.34,30.38,,
2023-03-29,33.8,33.85,84187,33.93,33.77,33.88,370,30.36,30.4,84187,30.47,30.33,30.43,,
2023-03-30,33.71,33.77,68672,33.84,33.71,33.8,250,30.37,30.43,68672,30.49,30.37,30.46,0.111039,
2023-03-31,33.84,34.01,63529,34.04,33.83,33.93,219,30.49,30.65,63529,30.67,30.48,30.57,,
