Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,100.96,100.98,70652,101.3,100.66,100.96,358,97.16,97.18,70652,97.49,96.87,97.16,,
2023-03-02,100.37,100.92,61442,101.13,99.64,100.38,374,96.59,97.12,61442,97.32,95.89,96.6,,
2023-03-03,101.32,102.36,30340,102.45,101.32,102.14,283,97.51,98.51,30340,98.6,97.51,98.3,,
2023-03-06,102.47,101.66,31603,102.67,101.61,101.9,458,98.61,97.83,31603,98.81,97.79,98.07,,
2023-03-07,101.3,99.92,10529,101.62,99.84,100.39,215,97.49,96.16,10529,97.8,96.08,96.61,,
2023-03-08,100.07,100.54,645178,100.71,100.01,100.39,2811,96.3,96.76,645178,96.92,96.25,96.61,,
2023-03-09,99.59,95.64,157577,99.59,95.41,96.7,1616,95.84,92.04,157577,95.84,91.82,93.06,,
2023-03-10,94.87,90.73,326491,94.87,90.33,92.3,2025,91.3,87.32,326491,91.3,86.93,88.83,,
2023-03-13,87.72,87.5,176576,89.42,85.01,87.03,1826,84.42,84.21,176576,86.06,81.81,83.76,,
2023-03-14,90.25,90.26,463108,91.09,89.2,90.71,1605,86.85,86.86,463108,87.66,85.84,87.3,,
2023-03-15,88.06,89.31,269369,89.31,87.05,88.51,1336,84.75,85.95,269369,85.95,83.77,85.18,,
2023-03-16,88.28,90.24,198276,91.25,87.46,90.03,1687,84.96,86.84,198276,87.82,84.17,86.64,,
2023-03-17,89.26,88.35,51591,89.26,87.48,88.33,632,85.9,85.03,51591,85.9,84.19,85.01,,
2023-03-20,88.36,89.44,146873,90.15,88.36,89.41,907,85.04,86.07,146873,86.76,85.04,86.05,,
2023-03-21,91.55,91.97,76374,92.15,91.34,92.01,614,88.11,88.51,76374,88.68,87.9,88.55,,
2023-03-22,91.6,90.14,71005,92.33,90.14,91.66,968,88.15,86.75,71005,88.86,86.75,88.21,,
2023-03-23,89.84,88.99,940672,90.61,88.31,89.55,8084,86.87,86.05,940672,87.62,85.39,86.59,0.428995,
2023-03-24,87.74,87.87,47747,87.93,86.31,87.23,897,84.84,84.97,47747,85.03,83.46,84.35,,
2023-03-27,89.07,89.32,78253,89.99,88.85,89.24,1842,86.13,86.37,78253,87.02,85.92,86.29,,
2023-03-28,89.33,89.33,63680,89.45,88.67,89.08,1339,86.38,86.38,63680,86.5,85.74,86.14,,
2023-03-29,89.99,90.39,30214,90.39,89.42,89.96,790,87.02,87.41,30214,87.41,86.47,86.99,,
2023-03-30,91.09,90.18,27670,91.26,89.69,90.28,713,88.08,87.2,27670,88.25,86.73,87.3,,
2023-03-31,90.57,91.68,51097,91.68,90.43,90.96,885,87.58,88.65,51097,88.65,87.44,87.96,,
