Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,100.34,100.75,360455,101.18,99.98,100.66,2593,96.19,96.58,360455,96.99,95.84,96.49,,
2023-03-02,99.9,101.15,245008,101.38,99.68,100.54,2341,95.76,96.96,245008,97.18,95.55,96.38,,
2023-03-03,101.62,102.37,2989462,102.65,100.91,102,9325,97.41,98.13,2989462,98.4,96.73,97.78,,
2023-03-06,102.26,99.72,393387,102.57,99.29,100.38,4373,98.03,95.59,393387,98.32,95.18,96.22,,
2023-03-07,99.72,98.74,380186,100.01,98.43,98.87,3369,95.59,94.65,380186,95.87,94.35,94.78,,
2023-03-08,98.82,98.88,485062,99.1,98.06,98.39,3521,94.73,94.79,485062,95,94,94.32,,
2023-03-09,98.93,96.44,345139,99.13,96.42,97.42,2929,94.83,92.45,345139,95.03,92.43,93.39,,
2023-03-10,96.03,93.93,499093,96.03,92.97,94.18,4407,92.05,90.04,499093,92.05,89.12,90.28,,
2023-03-13,91.83,91.37,594160,93.17,90.76,91.95,4806,88.03,87.59,594160,89.31,87,88.14,,
2023-03-14,94.16,93.03,540207,94.74,92.02,92.98,2917,90.26,89.18,540207,90.82,88.21,89.13,,
2023-03-15,90.54,91.59,2520542,91.69,89.83,90.75,6866,86.79,87.8,2520542,87.89,86.11,86.99,,
2023-03-16,90.57,92.79,587554,93.53,89.74,92.19,4914,86.82,88.95,587554,89.66,86.02,88.37,,
2023-03-17,91.85,90,424461,91.86,89.8,90.36,3585,88.05,86.27,424461,88.06,86.08,86.62,,
2023-03-20,90.75,91.11,484319,92.53,90.75,91.5,3747,86.99,87.34,484319,88.7,86.99,87.71,,
2023-03-21,92.63,92.61,3566264,93.79,92.15,92.63,11144,88.8,88.78,3566264,89.91,88.33,88.8,,
2023-03-22,92.63,90.22,347468,93.05,90.16,91.78,2921,88.8,86.48,347468,89.2,86.43,87.98,,
2023-03-23,90.42,88.86,268437,91.3,88.23,89.61,2811,86.99,85.49,268437,87.84,84.89,86.22,0.32973,
2023-03-24,88.09,89.95,395655,90.06,87.45,89.16,2715,84.75,86.54,395655,86.65,84.14,85.78,,
2023-03-27,91.03,90.87,543325,91.39,90.29,90.84,3973,87.58,87.43,543325,87.93,86.87,87.4,,
2023-03-28,90.62,91.13,331474,91.56,90.34,90.97,2284,87.19,87.68,331474,88.09,86.92,87.52,,
2023-03-29,92.09,91.78,331491,92.12,91.01,91.54,2579,88.6,88.3,331491,88.63,87.56,88.07,,
2023-03-30,92.55,91.84,294337,92.78,91.46,91.93,2713,89.04,88.36,294337,89.27,88,88.45,,
2023-03-31,92.46,93.63,315955,93.68,92.45,93.1,2745,88.96,90.08,315955,90.13,88.95,89.57,,
