Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,54.54,54.5,16506,54.74,54.36,54.51,79,52.7,52.67,16506,52.9,52.53,52.67,,
2023-03-02,54.16,54.9,13173,55.02,54.16,54.6,95,52.34,53.05,13173,53.17,52.34,52.76,,
2023-03-03,55.11,55.8,13600,55.8,55.1,55.47,119,53.25,53.92,13600,53.92,53.25,53.6,,
2023-03-06,56.02,55.83,7488,56.21,55.81,55.98,73,54.13,53.95,7488,54.32,53.93,54.1,,
2023-03-07,55.71,55,14790,55.82,54.96,55.29,69,53.83,53.15,14790,53.94,53.11,53.43,,
2023-03-08,55.02,55.06,19571,55.17,54.75,54.95,67,53.17,53.21,19571,53.31,52.91,53.1,,
2023-03-09,55.28,53.97,10831,55.37,53.96,54.71,90,53.42,52.15,10831,53.51,52.14,52.87,,
2023-03-10,53.85,53.14,5987,53.85,53,53.37,80,52.04,51.35,5987,52.04,51.22,51.57,,
2023-03-13,52.47,53.08,10768,53.66,52.47,53.3,59,50.7,51.29,10768,51.85,50.7,51.51,,
2023-03-14,53.91,53.92,6690,54.02,53.45,53.78,67,52.1,52.1,6690,52.2,51.65,51.97,,
2023-03-15,53.05,53.6,12802,53.6,52.88,53.34,101,51.26,51.8,12802,51.8,51.1,51.54,,
2023-03-16,53.3,54.51,14178,54.53,53.3,54.12,85,51.51,52.67,14178,52.69,51.51,52.3,,
2023-03-17,54.48,53.92,6753,54.48,53.79,53.95,83,52.65,52.1,6753,52.65,51.98,52.13,,
2023-03-20,53.94,54.39,15841,54.39,53.94,54.26,138,52.12,52.56,15841,52.56,52.12,52.43,,
2023-03-21,55,55.11,12899,55.11,54.78,54.89,112,53.15,53.25,12899,53.25,52.94,53.04,,
2023-03-22,55.07,54.15,10819,55.47,54.15,55,104,53.22,52.33,10819,53.6,52.33,53.15,,
2023-03-23,54.29,54.13,20371,54.85,53.75,54.27,175,52.67,52.52,20371,53.22,52.15,52.65,0.215252,
2023-03-24,53.67,54.41,9965,54.41,53.67,54.21,75,52.07,52.79,9965,52.79,52.07,52.59,,
2023-03-27,54.68,54.52,27999,54.88,54.47,54.63,141,53.05,52.89,27999,53.24,52.85,53,,
2023-03-28,54.38,54.44,10238,54.5,54.21,54.36,108,52.76,52.82,10238,52.88,52.59,52.74,,
2023-03-29,55.14,55.22,19513,55.24,54.9,55.08,190,53.5,53.57,19513,53.59,53.26,53.44,,
2023-03-30,55.55,55.58,15571,55.67,55.33,55.54,103,53.89,53.92,15571,54.01,53.68,53.88,,
2023-03-31,55.61,56.43,14134,56.43,55.61,56.04,95,53.95,54.75,14134,54.75,53.95,54.37,,
