Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.44,21.45,370,21.45,21.44,21.44,2,19.64,19.65,370,19.65,19.64,19.64,,
2023-03-02,21.5,21.5,0,21.5,21.5,,NaN,19.69,19.69,0,19.69,19.69,,,
2023-03-03,21.65,21.65,0,21.65,21.65,,NaN,19.87,19.87,0,19.87,19.87,,0.0356,
2023-03-06,21.53,21.53,22,21.53,21.53,21.59,2,19.75,19.75,22,19.75,19.75,19.81,,
2023-03-07,21.27,21.27,1,21.27,21.27,21.41,1,19.52,19.52,1,19.52,19.52,19.64,,
2023-03-08,21.22,21.22,8,21.22,21.22,21.28,5,19.47,19.47,8,19.47,19.47,19.53,,
2023-03-09,21.41,21.41,121,21.41,21.41,21.4,4,19.64,19.64,121,19.64,19.64,19.64,,
2023-03-10,21.89,21.89,104,21.89,21.89,21.89,2,20.09,20.09,104,20.09,20.09,20.09,,
2023-03-13,22.33,22.33,2,22.33,22.33,22.38,2,20.49,20.49,2,20.49,20.49,20.53,,
2023-03-14,22.42,22.59,453,22.59,22.42,22.45,8,20.57,20.73,453,20.73,20.57,20.6,,
2023-03-15,22.92,22.92,1,22.92,22.92,22.85,1,21.03,21.03,1,21.03,21.03,20.97,,
2023-03-16,22.64,22.64,2,22.64,22.64,23.12,1,20.77,20.77,2,20.77,20.77,21.21,,
2023-03-17,22.78,22.78,1,22.78,22.78,22.75,1,20.9,20.9,1,20.9,20.9,20.87,,
2023-03-20,22.87,22.87,1,22.87,22.87,22.84,1,20.98,20.98,1,20.98,20.98,20.96,,
2023-03-21,22.6,22.6,11,22.6,22.6,22.51,1,20.74,20.74,11,20.74,20.74,20.65,,
2023-03-22,22.98,22.98,113,22.98,22.98,22.83,4,21.09,21.09,113,21.09,21.09,20.95,,
2023-03-23,23.16,23.16,18,23.16,23.16,23.12,2,21.25,21.25,18,21.25,21.25,21.21,,
2023-03-24,23.17,23.17,0,23.17,23.17,,NaN,21.26,21.26,0,21.26,21.26,,,
2023-03-27,23.01,23.01,2,23.01,23.01,23.03,2,21.11,21.11,2,21.11,21.11,21.13,,
2023-03-28,22.93,22.93,1,22.93,22.93,22.96,1,21.04,21.04,1,21.04,21.04,21.07,,
2023-03-29,22.84,22.84,2,22.84,22.84,22.77,1,20.96,20.96,2,20.96,20.96,20.89,,
2023-03-30,22.82,22.82,17,22.82,22.82,22.8,3,20.94,20.94,17,20.94,20.94,20.92,,
2023-03-31,22.94,22.94,12,22.94,22.94,22.83,2,21.05,21.05,12,21.05,21.05,20.95,,
