Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,39.6,39.76,17832,39.98,39.55,39.74,152,38.82,38.98,17832,39.19,38.77,38.96,,
2023-03-02,39.4,39.95,11079,39.96,39.33,39.69,111,38.62,39.16,11079,39.17,38.55,38.91,,
2023-03-03,40.14,40.59,9784,40.67,40.02,40.39,108,39.35,39.79,9784,39.87,39.23,39.59,,
2023-03-06,40.79,39.93,50874,40.89,39.82,40.28,184,39.99,39.14,50874,40.08,39.03,39.49,,
2023-03-07,40.72,39.54,13239,40.72,39.52,39.72,157,39.92,38.76,13239,39.92,38.74,38.94,,
2023-03-08,39.66,39.61,8830,39.67,39.4,39.51,110,38.88,38.83,8830,38.89,38.62,38.73,,
2023-03-09,39.82,38.62,10584,39.82,38.62,39.18,118,39.03,37.86,10584,39.03,37.86,38.41,,
2023-03-10,38.31,37.48,17478,38.31,37.11,37.57,217,37.55,36.74,17478,37.55,36.38,36.83,,
2023-03-13,37.75,37.24,21412,37.75,37.04,37.39,191,37.01,36.51,21412,37.01,36.31,36.65,,
2023-03-14,37.9,38.05,39165,38.47,37.54,38.09,193,37.15,37.3,39165,37.71,36.8,37.34,,
2023-03-15,37.56,37.45,24709,37.56,36.82,37.16,207,36.82,36.71,24709,36.82,36.09,36.43,,
2023-03-16,37.15,37.96,99847,38.05,36.88,37.5,237,36.42,37.21,99847,37.3,36.15,36.76,,
2023-03-17,37.98,37.21,16563,37.98,36.96,37.19,199,37.23,36.48,16563,37.23,36.23,36.46,,
2023-03-20,37.72,37.54,27135,37.87,37.32,37.61,181,36.98,36.8,27135,37.12,36.58,36.87,,
2023-03-21,38.01,38.19,25745,38.46,38.01,38.18,197,37.26,37.44,25745,37.7,37.26,37.43,,
2023-03-22,38.37,37.35,34231,38.41,37.35,38.04,172,37.61,36.61,34231,37.65,36.61,37.29,,
2023-03-23,37.9,37.2,15774,37.9,37.05,37.58,127,37.23,36.54,15774,37.23,36.4,36.92,0.078611,
2023-03-24,36.75,37.25,11285,37.32,36.75,37,133,36.1,36.59,11285,36.66,36.1,36.35,,
2023-03-27,37.61,37.69,46628,37.87,37.38,37.63,252,36.95,37.02,46628,37.2,36.72,36.97,,
2023-03-28,37.37,37.52,132114,37.83,37.34,37.51,677,36.71,36.86,132114,37.16,36.68,36.85,,
2023-03-29,37.99,38.03,54963,38.16,37.74,37.89,149,37.32,37.36,54963,37.49,37.07,37.22,,
2023-03-30,38.75,38.2,39624,38.75,38.02,38.18,283,38.07,37.53,39624,38.07,37.35,37.51,,
2023-03-31,38.61,39,12366,39,38.47,38.86,144,37.93,38.31,12366,38.31,37.79,38.17,,
