Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,64.71,64.72,268520,64.98,64.6,64.82,409,61.52,61.53,268520,61.78,61.42,61.63,,
2023-03-02,64.52,65.23,214070,65.34,64.5,64.83,752,61.34,62.02,214070,62.12,61.32,61.64,,
2023-03-03,65.34,66.08,167702,66.15,65.32,65.63,909,62.12,62.82,167702,62.89,62.1,62.4,,
2023-03-06,66.2,66.16,120266,66.43,66.07,66.19,481,62.94,62.9,120266,63.16,62.81,62.93,,
2023-03-07,66.14,65.01,278608,66.14,64.9,65.65,568,62.88,61.81,278608,62.88,61.7,62.42,,
2023-03-08,64.96,64.9,120066,65.08,64.58,64.9,499,61.76,61.7,120066,61.87,61.4,61.7,,
2023-03-09,65.11,63.71,223296,65.23,63.47,64.46,719,61.9,60.57,223296,62.02,60.34,61.28,,
2023-03-10,63.53,63.07,158210,64.1,62.84,63.4,623,60.4,59.96,158210,60.94,59.74,60.28,,
2023-03-13,62.37,62.6,141338,63.49,62.28,62.83,440,59.3,59.52,141338,60.36,59.21,59.73,,
2023-03-14,63.58,63.56,316843,63.84,62.88,63.41,749,60.45,60.43,316843,60.69,59.78,60.29,,
2023-03-15,62.42,62.84,302842,62.84,62.02,62.53,1045,59.34,59.74,302842,59.74,58.96,59.45,,
2023-03-16,62.35,63.56,105012,63.59,62.25,63.16,357,59.28,60.43,105012,60.46,59.18,60.05,,
2023-03-17,63.27,62.47,113611,63.28,62.33,62.63,559,60.15,59.39,113611,60.16,59.26,59.54,,
2023-03-20,62.83,63.29,138139,63.35,62.79,63.2,499,59.73,60.17,138139,60.23,59.7,60.09,,
2023-03-21,64.05,64.05,98047,64.15,63.71,63.94,509,60.89,60.89,98047,60.99,60.57,60.79,,
2023-03-22,64.12,62.89,109020,64.3,62.89,63.71,546,60.96,59.79,109020,61.13,59.79,60.57,,
2023-03-23,62.99,62.47,125352,63.35,62.06,62.64,613,60.18,59.69,125352,60.53,59.3,59.85,0.310506,
2023-03-24,62.02,62.87,122302,62.91,61.93,62.65,386,59.26,60.07,122302,60.11,59.17,59.86,,
2023-03-27,63.34,63.42,100269,63.68,63.16,63.41,517,60.52,60.59,100269,60.84,60.35,60.59,,
2023-03-28,63.23,63.38,212509,63.53,63.19,63.34,812,60.41,60.56,212509,60.7,60.37,60.52,,
2023-03-29,63.85,64.19,143535,64.19,63.85,64.1,492,61.01,61.33,143535,61.33,61.01,61.24,,
2023-03-30,64.56,64.42,106702,64.57,64.18,64.35,535,61.68,61.55,106702,61.69,61.32,61.48,,
2023-03-31,64.68,65.13,77042,65.19,64.63,64.88,369,61.8,62.23,77042,62.29,61.75,61.99,,
