Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,97.29,97.01,25667,97.5,96.73,97.28,205,94.4,94.13,25667,94.61,93.86,94.39,,
2023-03-02,96.55,97.71,33426,97.92,96.42,97.3,331,93.68,94.81,33426,95.01,93.56,94.41,,
2023-03-03,98.14,99.31,11769,99.39,98.14,98.81,215,95.23,96.36,11769,96.44,95.23,95.88,,
2023-03-06,99.52,99.3,26140,100.05,99.18,99.61,299,96.57,96.35,26140,97.08,96.24,96.65,,
2023-03-07,99.21,97.79,39685,99.21,97.65,98.45,376,96.27,94.89,39685,96.27,94.75,95.53,,
2023-03-08,97.79,97.89,54600,98.12,97.36,97.68,663,94.89,94.98,54600,95.21,94.47,94.78,,
2023-03-09,97.98,96.02,32698,98.41,95.79,97,341,95.07,93.17,32698,95.49,92.95,94.12,,
2023-03-10,95.82,94.46,39099,96.19,94.12,94.68,518,92.98,91.66,39099,93.33,91.33,91.87,,
2023-03-13,93.38,94.29,67806,95.33,93.04,94.27,874,90.61,91.49,67806,92.5,90.28,91.47,,
2023-03-14,95.62,95.89,38618,96.3,94.73,95.71,420,92.78,93.04,38618,93.44,91.92,92.87,,
2023-03-15,94.6,95.11,94155,95.19,93.85,94.54,1058,91.79,92.29,94155,92.36,91.06,91.73,,
2023-03-16,94.67,96.8,110815,96.89,94.51,96.22,624,91.86,93.93,110815,94.01,91.7,93.36,,
2023-03-17,96.56,95.64,19379,96.57,95.37,95.65,277,93.69,92.8,19379,93.7,92.54,92.81,,
2023-03-20,95.89,96.5,28348,96.63,95.75,96.3,387,93.04,93.64,28348,93.76,92.91,93.44,,
2023-03-21,97.4,97.84,27848,98.02,97.18,97.55,339,94.51,94.94,27848,95.11,94.3,94.65,,
2023-03-22,98.1,96.19,48396,98.57,96.19,97.67,325,95.19,93.33,48396,95.64,93.33,94.77,,
2023-03-23,96.57,96.1,35183,97.45,95.39,96.62,410,94.04,93.58,35183,94.9,92.89,94.09,0.344794,
2023-03-24,95.59,96.56,32467,96.56,95.21,95.95,410,93.09,94.03,32467,94.03,92.72,93.44,,
2023-03-27,97.17,96.85,32575,97.41,96.66,96.98,435,94.63,94.31,32575,94.86,94.13,94.44,,
2023-03-28,96.67,96.65,18240,96.82,96.22,96.54,226,94.14,94.12,18240,94.28,93.7,94.01,,
2023-03-29,97.62,98.05,38104,98.11,97.46,97.69,322,95.06,95.48,38104,95.54,94.91,95.13,,
2023-03-30,98.71,98.59,34007,98.78,98.26,98.63,333,96.12,96.01,34007,96.19,95.69,96.05,,
2023-03-31,98.8,100.11,31218,100.15,98.8,99.52,338,96.21,97.49,31218,97.53,96.21,96.91,,
